coreproject,pmid,title,authors,publication_date,citation_count,relative_citation_ratio,reason
P30CA016056,12025811,,,,,,No publication info
P30CA046592,15602803,,,,,,No publication info
P30CA021765,21225868,,,,,,No publication info
P30CA016672,23847722,,,,,,No publication info
P30CA016672,23936751,,,,,,No publication info
P30CA016086,24078863,,,,,,No publication info
P30CA016672,24105490,,,,,,No publication info
P30CA014520,24163578,,,,,,No publication info
P30CA016520,24432303,,,,,,No publication info
P30CA016056,25270325,,,,,,No publication info
P30CA006516,25309719,,,,,,No publication info
P30CA030199,25513185,,,,,,No publication info
U10CA031946,25513250,,,,,,No publication info
U10CA031946,25513417,,,,,,No publication info
P30CA021765,25513462,,,,,,No publication info
P30CA068485,25513479,,,,,,No publication info
P50CA098131,25513479,,,,,,No publication info
P30CA008748,27961881,,,,,,No publication info
P30CA022453,28650309,,,,,,No publication info
D43TW009340,29624560,,,,,,No publication info
D43TW009343,29624560,,,,,,No publication info
P30CA016086,30239492,,,,,,No publication info
P30CA008748,30516617,,,,,,No publication info
U10CA180888,31026409,,,,,,No publication info
P30CA225520,31578277,,,,,,No publication info
R01CA159859,31597162,,,,,,No publication info
U10CA180868,31843973,,,,,,No publication info
P30CA008748,31895117,,,,,,No publication info
P30CA016059,31925074,,,,,,No publication info
P30CA016359,31974201,,,,,,No publication info
U54CA224019,31993221,,,,,,No publication info
D43TW009340,32015243,,,,,,No publication info
U54CA203000,32123530,,,,,,No publication info
P30CA022453,32140264,,,,,,No publication info
D43TW009343,32255862,,,,,,No publication info
P30CA013696,32265416,,,,,,No publication info
P50CA244431,32332490,,,,,,No publication info
P30CA042014,32496836,,,,,,No publication info
U10CA180888,32497219,,,,,,No publication info
U10CA180899,32761120,,,,,,No publication info
P30CA086862,33186921,,,,,,No publication info
R01CA201380,33385237,,,,,,No publication info
U01CA217851,33574267,,,,,,No publication info
U01CA239055,33574288,,,,,,No publication info
P30CA016672,33574288,,,,,,No publication info
U24CA215109,33574288,,,,,,No publication info
U01CA231840,33579955,,,,,,No publication info
P30CA072720,33579997,,,,,,No publication info
P50CA098252,33580043,,,,,,No publication info
P30CA023074,33594147,,,,,,No publication info
P30CA168524,33594168,,,,,,No publication info
R01CA164273,33594217,,,,,,No publication info
U24CA195858,33597657,,,,,,No publication info
U54CA224019,34233275,,,,,,No publication info
U01CA217862,34233275,,,,,,No publication info
U54CA224018,34236997,,,,,,No publication info
R01CA234181,34236997,,,,,,No publication info
P30CA086862,34275044,,,,,,No publication info
P30CA014520,34275044,,,,,,No publication info
P30CA021765,34515884,,,,,,No publication info
P30CA016056,34545100,,,,,,No publication info
R01CA155010,34661150,,,,,,No publication info
P30CA030199,34971195,,,,,,No publication info
P30CA086862,34987280,,,,,,No publication info
P30CA014520,34987280,,,,,,No publication info
P30CA046934,35301330,,,,,,No publication info
P30CA036727,35552283,,,,,,No publication info
P30CA177558,35552707,,,,,,No publication info
P30CA033572,35553416,,,,,,No publication info
P30CA134274,35554194,,,,,,No publication info
R01CA257505,35554228,,,,,,No publication info
P30CA021765,35554471,,,,,,No publication info
U54CA243124,35556265,,,,,,No publication info
P30CA046592,35617517,,,,,,No publication info
R01CA259046,35820070,,,,,,No publication info
P30CA076292,35820070,,,,,,No publication info
U54CA233444,36480292,,,,,,No publication info
U54CA233465,36480292,,,,,,No publication info
U54CA233396,36480292,,,,,,No publication info
P30CA076292,36480307,,,,,,No publication info
R01CA160069,36626643,,,,,,No publication info
P30CA016359,36775350,,,,,,No publication info
P50CA196530,36775354,,,,,,No publication info
P30CA016359,36775354,,,,,,No publication info
U01CA199222,36775407,,,,,,No publication info
P30CA072720,36775439,,,,,,No publication info
P30CA013148,36775449,,,,,,No publication info
P30CA008748,36928571,,,,,,No publication info
P30CA015704,36967168,,,,,,No publication info
P30CA016058,36967185,,,,,,No publication info
P30CA125123,36967185,,,,,,No publication info
P30CA036727,36967186,,,,,,No publication info
U10CA180820,37166477,,,,,,No publication info
U10CA180868,37166477,,,,,,No publication info
P30CA008748,37199733,,,,,,No publication info
P50CA062924,37501622,,,,,,No publication info
P30CA068485,37696623,,,,,,No publication info
P30CA016042,1279509,Expression and regulation of L-selectin on eosinophils from human adults and neonates.,J B Smith; R D Kunjummen; T K Kishimoto; D C Anderson,1992-10-01,25.0,0.67,Published before 2000
P30CA043703,1280555,Streptavidin-based quantitative staining of intracellular antigens for flow cytometric analysis.,P Srivastava; T L Sladek; M N Goodman; J W Jacobberger,1992-01-01,14.0,0.42,Published before 2000
P30CA043703,1281066,"Reticulocyte quantification by flow cytometry, image analysis, and manual counting.",K J Schimenti; K Lacerna; A Wamble; L Maston; C Iaffaldano; M Straight; A Rabinovitch; H M Lazarus; J W Jacobberger,1992-01-01,38.0,1.44,Published before 2000
P30CA015704,1281564,Bleomycin-detectable iron in plasma of bone-marrow transplant patients--its correlation with liver injury.,C A Foerder; A A Tobin; G B McDonald; R A Zager,1992-12-01,9.0,0.31,Published before 2000
P30CA042014,1282437,"Development of a sensitive reverse transcriptase PCR assay, RT-RPCR, utilizing rapid cycle times.",S S Tan; J H Weis,1992-11-01,49.0,1.0,Published before 2000
