program.program_id,api_source_search,queried_project_id,grant_id,earliest_fiscal_year
accsis,3,11,28,2018
acsr,1,1,5,2019
admiral,1,1,5,2020
alchemist,3,3,70,2000
approaches_to_identify_and_care_for_individuals_with_inherited_cancer_syndromes,2,6,11,2018
artnet,2,6,20,2022
betrnet,3,4,40,2011
c3i,1,1,1,2019
cap_it,2,3,8,2022
cascade,4,13,33,2022
ccbir,1,4,13,2021
ccdi,108,80,134,2014
ccss,2,1,9,2017
cgci,2,2,2,2013
cibmtr_data_resource,3,1,13,2013
cidc,2,5,9,2017
cimac,2,4,12,2017
cirp,3,9,46,2017
collaborative_consortia_for_the_study_of_hiv_associated_cancers,1,3,17,2017
communication_and_decision_making_for_individuals_with_inherited_cancer_syndromes,2,6,27,2019
cp_ctnet,3,6,34,2019
cptac,4,15,62,2016
csbc,6,56,268,2016
csrn,3,9,9,2024
ctd_2,2,19,77,2017
cusp2ct,2,5,13,2022
enicto,2,5,16,2022
etctn,6,32,296,2003
fusonc2,2,9,16,2018
gdan,4,24,111,2016
hamrcs,2,10,41,2020
htan,4,12,35,2018
imat,108,1018,2400,2000
impact,2,4,4,2018
improving_outcomes_for_pediatric_adolescent_and_young_adult_cancer_survivors,1,8,27,2019
iotn,8,29,89,2018
isc3,2,7,39,2019
itcr,26,143,397,2016
metabolic_dysregulation_and_cancer_risk_program,2,6,18,2022
metnet,1,6,8,2023
omf,4,71,270,2015
optimizing_the_management_and_outcomes_for_cancer_survivors_transitioning_to_follow_up_care,1,5,26,2020
pache,5,46,211,2018
pacmen,2,6,19,2017
pcdc,2,6,19,2017
pdmc,1,10,52,2017
pdxnet,4,8,51,2017
pe_cgs,2,6,29,2020
pep_ctn,3,2,13,2009
pi_ddn,3,7,13,2018
pivot,3,10,57,2015
precinct,2,6,19,2022
prospr,2,4,24,2018
psrc,2,7,23,2022
respond,1,1,5,2019
sclc,5,21,101,2017
spore_brain_cancer_duke,1,1,11,2014
spore_brain_cancer_northwestern,1,1,7,2018
spore_brain_cancer_texas,1,1,18,2008
spore_brain_cancer_ucla,1,1,11,2017
spore_breast_cancer_baylor,1,1,11,2014
spore_breast_cancer_df_hcc,1,1,10,2013
spore_breast_cancer_mayo,1,1,21,2005
spore_breast_cancer_msk,1,1,5,2020
spore_breast_cancer_unc,1,1,33,2000
spore_breast_cancer_vanderbilt,1,1,28,2003
spore_cervical_cancer,1,1,26,2003
spore_endometrial_cancer,1,1,4,2023
spore_epigenetics,1,1,4,2021
spore_gastrointestinal,1,1,15,2007
spore_gastrointestinal_cancer_jhu,1,1,31,2000
spore_gastrointestinal_cancer_mda,1,1,5,2019
spore_head_and_neck_cancer_colorado,1,1,7,2021
spore_head_and_neck_cancer_pittsburg,1,1,30,2004
spore_head_and_neck_cancer_wisconsin,1,1,5,2016
spore_head_and_neck_cancer_yale,1,1,5,2020
spore_health_disparities_baylor,1,1,3,2021
spore_health_disparities_hawaii,1,1,2,2023
spore_health_disparities_wsu,1,1,3,2021
spore_hyperactive_ras,1,1,9,2015
spore_in_bladder_cancer,1,1,6,2018
spore_in_brain_cancer_ucsf,1,1,28,2002
spore_in_gastrointestinal_cancer_vanderbilt,1,1,7,2019
spore_in_hepatocellular_carcinoma,1,1,5,2019
