program_id,search_type,failure_type,search_value
all_of_us,nofo,No results found,NOT-OD-15-159
all_of_us,nofo,No results found,OT-PM-16-002
all_of_us,nofo,No results found,OT-PM-16-003
all_of_us,nofo,No results found,OT-PM-17-002
all_of_us,nofo,No results found,OT-PM-18-002
all_of_us,nofo,No results found,OT-PM-18-003
all_of_us,nofo,No results found,OT-PM-19-001
all_of_us,nofo,No results found,OT-PM-20-001
all_of_us,nofo,No results found,OTA-17-002
all_of_us,nofo,No results found,OTA-18-001
all_of_us,nofo,No results found,OTA-19-002
all_of_us,nofo,No results found,OTA-19-003
all_of_us,nofo,No results found,OTA-19-004
all_of_us,nofo,No results found,OTA-20-001
all_of_us,nofo,No results found,OTA-20-009
all_of_us,nofo,No results found,OTA-22-006
all_of_us,nofo,No results found,OTA-23-002
all_of_us,nofo,No results found,OTA-23-003
all_of_us,nofo,No results found,OTA23-001
all_of_us,nofo,No results found,RFA-HG-21-041
all_of_us,nofo,No results found,RFA-HG-23-018
all_of_us,nofo,No results found,RFA-LM-21-002
all_of_us,nofo,No results found,RFA-PM-16-001
all_of_us,nofo,No results found,RFA-PM-16-002
all_of_us,nofo,No results found,RFA-PM-16-003
all_of_us,nofo,No results found,RFA-PM-23-001
all_of_us,nofo,No results found,RFA-RM-21-001
all_of_us,nofo,No results found,RFA-RM-21-003
all_of_us,nofo,No results found,RFA-RM-21-005
all_of_us,nofo,No results found,RFA-RM-21-006
cap_it,nofo,No results found,RFA-CA-21-039
ccdi,award,No results found,1F30CA260911-02
ccdi,award,No results found,1F30CA260911-03
ccdi,award,No results found,1K08CA259610-02
ccdi,award,No results found,1K08CA259610-03
ccdi,award,No results found,1OT2OD027852-01
ccdi,award,No results found,1U01CA263967-02
ccdi,award,No results found,1U01CA263967-03
ccdi,award,No results found,1U01CA263981-02
ccdi,award,No results found,1U24CA263963-02
ccdi,award,No results found,1U24CA263963-03
ccdi,award,No results found,1U24CA263963-04
ccdi,award,No results found,1U24CA263963-05
ccdi,award,No results found,276130
ccdi,award,No results found,2U01CA199288-07
ccdi,award,No results found,3K07CA211956-05W1
ccdi,award,No results found,3U01CA248226-02
ccdi,award,No results found,3U01CA249245-01A1
ccdi,award,No results found,3U54CA231637-01W1
ccdi,award,No results found,3U54CA231652-01W1
ccdi,award,400 API Error,600.035.2
ccdi,award,400 API Error,600.300.20.01
ccdi,award,400 API Error,600.300.21.01
ccdi,award,No results found,600000
ccdi,award,No results found,75N91019D00024-0-759102000021-0
ccdi,award,No results found,75N91020F00003
ccdi,award,No results found,75N91020F00035
ccdi,award,No results found,7UM1CA228823-04S1
ccdi,award,No results found,HHSN261201400004I/75N91020F00001
ccdi,award,No results found,HHSN261201800007I
ccdi,award,No results found,HHSN261201800011I
ccdi,award,No results found,HHSN261201800013I
ccdi,award,No results found,HHSN261201800014I
ccdi,award,No results found,HHSN261201800016I
ccdi,award,No results found,HHSN261201800032I
ccdi,award,No results found,K99CA263021-02
ccdi,award,No results found,PUR316201200124W*1PUR261201300028I*2REQ5790900*2
ccdi,award,No results found,PUR6159453*16159453ACO20029-001-00000
ccdi,award,No results found,PUR6456092*2
ccdi,award,No results found,PUR6512769*1
ccdi,award,No results found,PUR6794296*1
ccdi,award,No results found,PUR6794300*1
ccdi,award,No results found,PUR6807932*1
cusp2ct,nofo,No results found,RFA-CA-21-058
dceg,award,No results found,INACTIVE-4
dceg,award,No results found,ZIACP000150-8
dceg,award,No results found,ZIACP005779-12
dceg,award,No results found,ZIACP005780-11
dceg,award,No results found,ZIACP005781-12
dceg,award,No results found,ZIACP005805-11
dceg,award,No results found,ZIACP010101-10
dceg,award,No results found,ZIACP010105-10
dceg,award,No results found,ZIACP010108-10
dceg,award,No results found,ZIACP010110-10
dceg,award,No results found,ZIACP010111-10
dceg,award,No results found,ZIACP010112-10
dceg,award,No results found,ZIACP010113-10
dceg,award,No results found,ZIACP010114-10
dceg,award,No results found,ZIACP010115-10
dceg,award,No results found,ZIACP010117-10
dceg,award,No results found,ZIACP010118-10
dceg,award,No results found,ZIACP010130-10
dceg,award,No results found,ZIACP010137-8
dceg,award,No results found,ZIACP010138-3
dceg,award,No results found,ZIACP010139-3
dceg,award,No results found,ZIACP010140-3
dceg,award,No results found,ZIACP010141-3
dceg,award,No results found,ZIACP010143-3
dceg,award,No results found,ZIACP010146-3
dceg,award,No results found,ZIACP010147-3
dceg,award,No results found,ZIACP010148-4
dceg,award,No results found,ZIACP010149-5
dceg,award,No results found,ZIACP010151-9
dceg,award,No results found,ZIACP010153-10
dceg,award,No results found,ZIACP010154-3
dceg,award,No results found,ZIACP010155-3
dceg,award,No results found,ZIACP010156-3
dceg,award,No results found,ZIACP010157-3
dceg,award,No results found,ZIACP010159-3
dceg,award,No results found,ZIACP010162-3
dceg,award,No results found,ZIACP010163-3
dceg,award,No results found,ZIACP010164-3
dceg,award,No results found,ZIACP010165-3
dceg,award,No results found,ZIACP010166-3
dceg,award,No results found,ZIACP010171-6
dceg,award,No results found,ZIACP010172-5
dceg,award,No results found,ZIACP010173-4
dceg,award,No results found,ZIACP010174-4
dceg,award,No results found,ZIACP010175-3
dceg,award,No results found,ZIACP010177-10
dceg,award,No results found,ZIACP010179-3
dceg,award,No results found,ZIACP010181-23
dceg,award,No results found,ZIACP010185-21
dceg,award,No results found,ZIACP010186-5
dceg,award,No results found,ZIACP010189-2
dceg,award,No results found,ZIACP010194-8
dceg,award,No results found,ZIACP010200-15
dceg,award,No results found,ZIACP010201-18
dceg,award,No results found,ZIACP010202-17
dceg,award,No results found,ZIACP010214-14
dceg,award,No results found,ZIACP010221-9
dceg,award,No results found,ZIACP010227-11
dceg,award,No results found,ZIACP010228-9
dceg,award,No results found,ZIACP010229-7
dceg,award,No results found,ZIACP010230-7
dceg,award,No results found,ZIACP010576-2
dceg,award,No results found,ZIACP101231-7
dceg,award,No results found,ZIACP101232-3
dceg,award,No results found,ZIACP101233-5
dceg,award,No results found,ZIACP101234-4
dceg,award,No results found,ZIACP101235-4
dceg,award,No results found,ZIACP101236-4
dceg,award,No results found,ZIACP101237-4
dceg,award,No results found,ZIACP101238-3
dceg,award,No results found,ZIACP101239-1
dceg,award,No results found,ZIACP101240-1
dceg,award,No results found,ZIACP101241-1
dceg,award,No results found,ZICCP010191-23
dceg,award,No results found,ZICCP010192-18
dceg,award,No results found,ZICCP010223-14
dceg,award,No results found,ZICCP010226-12
htan,nofo,No results found,RFA-CA-21-037
idg,nofo,No results found,RM16-025
idg,nofo,No results found,RM16-026
imat,nofo,No results found,PAR-98-067
imat,nofo,No results found,RFA-CA-07-009
imat,nofo,No results found,RFA-CA-07-018
imat,nofo,No results found,RFA-CA-07-023
imat,nofo,No results found,RFA-CA-07-024
imat,nofo,No results found,RFA-CA-07-038
imat,nofo,No results found,RFA-CA-07-040
imat,nofo,No results found,RFA-CA-07-042
imat,nofo,No results found,RFA-CA-08-010
imat,nofo,No results found,RFA-CA-08-014
imat,nofo,No results found,RFA-CA-21-006
imat,nofo,No results found,RFA-CA-22-003
itcr,nofo,No results found,RFA-CA-20-060
itcr,nofo,No results found,RFA-CA-21-018
itcr,nofo,No results found,RFA-CA-21-019
ppcr,award,No results found,C06CA059267
sennet,nofo,No results found,RM21-008
