api_source_search,core_project_num,program,grant_count
award_P50CA098131,P50CA098131,SPOREinBreastCancer,26
award_R01CA239701,R01CA239701,ADMIRALStudyAdmixtureanalysisofacutelymphoblasticleukemiainAfricanAmericanchildren,4
award_U10CA180821,U10CA180821,TheAdjuvantLungCancerEnrichmentMarkerIdentificationandSequencingTrialsALCHEMIST,35
nofo_CA-17-015,U01CA224145,CONSORTIUMFORPANCREATICDUCTALADENOCARCINOMAPDACTRANSLATIONALSTUDIES,3
nofo_CA-17-015,U01CA224146,CONSORTIUMFORPANCREATICDUCTALADENOCARCINOMAPDACTRANSLATIONALSTUDIES,3
nofo_CA-17-015,U01CA224175,CONSORTIUMFORPANCREATICDUCTALADENOCARCINOMAPDACTRANSLATIONALSTUDIES,3
nofo_CA-17-015,U01CA224193,CONSORTIUMFORPANCREATICDUCTALADENOCARCINOMAPDACTRANSLATIONALSTUDIES,4
nofo_CA-17-015,U01CA224348,CONSORTIUMFORPANCREATICDUCTALADENOCARCINOMAPDACTRANSLATIONALSTUDIES,3
nofo_CA-17-016,U24CA224020,CONSORTIUMFORPANCREATICDUCTALADENOCARCINOMAPDACTRANSLATIONALSTUDIES,3
nofo_PA20-272,P50CA098131,AllofUs,1
nofo_PA20-272,R01CA210561,AllofUs,1
nofo_PA20-272,R01CA239701,AllofUs,2
nofo_PA20-272,R01CA251141,AllofUs,1
nofo_PA20-272,R01CA252378,AllofUs,1
nofo_PA20-272,R01CA258113,AllofUs,1
nofo_PA20-272,R01CA258248,AllofUs,1
nofo_PA20-272,R01CA271498,AllofUs,1
nofo_PA20-272,U01CA199000,AllofUs,1
nofo_PA20-272,U01CA199221,AllofUs,1
nofo_PA20-272,U01CA199287,AllofUs,1
nofo_PA20-272,U01CA199288,AllofUs,1
nofo_PA20-272,U01CA199297,AllofUs,1
nofo_PA20-272,U01CA224193,AllofUs,1
nofo_PA20-272,U10CA180821,AllofUs,8
nofo_PA20-272,U24CA055727,AllofUs,1
nofo_PA20-272,U24CA163056,AllofUs,1
nofo_PA20-272,U24CA180922,AllofUs,1
nofo_PA20-272,U24CA180996,AllofUs,1
nofo_PA20-272,U24CA209923,AllofUs,1
nofo_PA20-272,U24CA224316,AllofUs,1
nofo_PA20-272,U24CA268108,AllofUs,1
nofo_PA20-272,U2CCA233254,AllofUs,1
nofo_PA20-272,U2CCA233280,AllofUs,1
