program_name,program_acronym,focus_area,doc,contact_pi,contact_pi_email,contact_nih,contact_nih_email,nofo,award,program_link,data_link,cancer_type,core_project_count,grant_count,total_nci_funding
Cellular Cancer Biology Imaging Research,CCBIR,,DCB,"PROVENZANO, PAOLO; BACKMAN, VADIM; WIRTZ, DENIS; DANUSER, GAUDENZ",pprovenz@umn.edu; v-backman@northwestern.edu; WIRTZ@JHU.EDU; gaudenz.danuser@utsouthwestern.edu,"BECKER, STEVEN",beckersteven@mail.nih.gov,RFA-CA-21-002,,https://www.cancer.gov/about-nci/organization/dcb/research-programs/ccbir,,This program focuses on cancer broadly - not limited to a primary cancer type,4,8,12810400
Barrett’s Esophagus Translational Research Network (BETRNet),BETRNet,"DCC,Clinical Networks",DCP,,,"RICHMOND, ELLEN S.; YASSIN, RIHAB R.",er115z@nih.gov; ry38k@nih.gov,RFA-CA-16-007; RFA-CA-16-006; RFA-CA-10-014,,https://prevention.cancer.gov/major-programs/barretts-esophagus-translational-research-network-betrnet,,Esophageal Cancer,4,40,38637870
Fusion Oncoproteins in Childhood Cancers (FusOnc2),FusOnc2,"Pediatric/AYA,Cancer Moonshot",DCB,"Keren Witkin, Ph.D.",witkinkeren@mail.nih.gov,"Smith,Malcolm",Malcolm.Smith@nih.gov,RFA-CA-17-049;RFA-CA-19-016,,https://www.cancer.gov/research/key-initiatives/moonshot-cancer-initiative/implementation/childhood-cancer-research#fusion-oncoproteins-in-childhood-cancers-fusonc2-consortium,,This program focuses on cancer broadly - not limited to a primary cancer type,9,16,73063983
The Early Detection Research Network (EDRN),EDRN,"DCC,Clinical Networks",DCP,,,"MARQUEZ, GUILLERMO; SORBARA, LYNN R",gm186p@nih.gov; lynns@mail.nih.gov,CA-14-017;CA-21-034;CA-21-033;CA-21-035;CA-14-015;CA-14-016;CA-16-009,,https://edrn.nci.nih.gov/,https://edrn.nci.nih.gov/data-and-resources/data/,This program focuses on cancer broadly - not limited to a primary cancer type,32,149,130748148
Cancer Prevention-Interception Targeted Agent Discovery Program,CAP-IT,DCC,DCP,,,"Sei, Shizuko",shizuko.sei@nih.gov,RFA-CA-21-038;RFA-CA-22-055;RFA-CA-21-039,,https://prevention.cancer.gov/major-programs/cancer-prevention-interception-targeted-agent-discovery-program,,This program focuses on cancer broadly - not limited to a primary cancer type,2,2,2412236
 Small Cell Lung Cancer (SCLC) Consortium ,SCLC,DCC,DCP,,,"UJHAZY, PETER",ujhazyp@mail.nih.gov,PAR21-346;PAR-16-049;PAR-16-050;PAR-16-051;PAR-19-361,,https://prevention.cancer.gov/major-programs/small-cell-lung-cancer-sclc-consortium,,Lung Cancer,21,93,53617109
Acquired Resistance to Therapy Network (ARTNet),ARTNet,"DCC,Cancer Moonshot,Clinical Networks",DCTD,,,"hildesheim, jeff",hildesheimj@mail.nih.gov,RFA-CA-21-052;RFA-CA-21-053,,https://www.cancer.gov/about-nci/organization/dcb/research-programs/artnet,,This program focuses on cancer broadly - not limited to a primary cancer type,6,6,7357128
SPORE in Bladder Cancer,SPORE in Bladder Cancer,SPORE,DCTD,"BAJORIN, DEAN F",,"Arnold, Julia T",jarnold@mail.nih.gov,,P50CA221745,https://trp.cancer.gov/spores/abstracts/mskcc_bladder.htm,,Bladder Cancer,1,5,10900913
SPORE: Targeted Therapies for Glioma,SPORE: Targeted Therapies for Glioma,SPORE,DCTD,"BATCHELOR, TRACY T",,"Hubbard, Leah",leah.hubbard@nih.gov,,P50CA165962,https://trp.cancer.gov/spores/abstracts/brigham_and_women_brain.htm,,Brain Cancer,1,13,21143737
The Memorial Sloan Kettering Cancer Center SPORE in Leukemia,SPORE in Leukemia,SPORE,DCTD,"ABDEL-WAHAB, OMAR ",,"Kuzmin, Igor A",kuzmini@mail.nih.gov,,P50CA254838,https://trp.cancer.gov/spores/abstracts/mskcc_leukemia.htm,,Leukemia,1,3,6158913
