full_phs,error_message,error_code,response_code
phs003456.v1.p1,Bad Gateway server error (502 Error),NA,502
phs003880.v1.p1,Bad Gateway server error (502 Error),NA,502
phs003710.v1.p1,Bad Gateway server error (502 Error),NA,502
phs003292.v1.p1,Bad Gateway server error (502 Error),NA,502
phs003253.v1.p1,Bad Gateway server error (502 Error),NA,502
phs002371.v7.p2,Bad Gateway server error (502 Error),NA,502
phs001570.v4.p1,Bad Gateway server error (502 Error),NA,502
phs003865.v1.p1,Bad Gateway server error (502 Error),NA,502
phs003762.v1.p1,Bad Gateway server error (502 Error),NA,502
phs002813.v1.p1,Bad Gateway server error (502 Error),NA,502
phs003630.v1.p1,Bad Gateway server error (502 Error),NA,502
phs003464.v1.p1,Bad Gateway server error (502 Error),NA,502
phs003164.v2.p1,Bad Gateway server error (502 Error),NA,502
phs002289.v2.p1,Bad Gateway server error (502 Error),NA,502
phs003342.v1.p1,No data found for study with accession phs003342.v1,1,404
phs000531.v18.p6,No data found for study with accession phs000531.v18,1,404
phs002612.v1.p1,Bad Gateway server error (502 Error),NA,502
phs002639.v1.p1,Bad Gateway server error (502 Error),NA,502
phs002066.v2.p1,Bad Gateway server error (502 Error),NA,502
phs001689.v1.p1,Bad Gateway server error (502 Error),NA,502
phs002587.v1.p1,Bad Gateway server error (502 Error),NA,502
phs002441.v1.p1,Bad Gateway server error (502 Error),NA,502
phs002064.v1.p1,Bad Gateway server error (502 Error),NA,502
phs001938.v3.p1,Bad Gateway server error (502 Error),NA,502
phs002457.v1.p1,Bad Gateway server error (502 Error),NA,502
phs002238.v1.p1,Bad Gateway server error (502 Error),NA,502
phs002340.v1.p1,Bad Gateway server error (502 Error),NA,502
phs002346.v1.p1,Bad Gateway server error (502 Error),NA,502
phs002407.v1.p1,Bad Gateway server error (502 Error),NA,502
phs002434.v1.p1,No data found for study with accession phs002434.v1,1,404
phs001081.v2.p2,No data found for study with accession phs001081.v2,1,404
phs002012.v1.p1,No data found for study with accession phs002012.v1,1,404
phs002011.v1.p1,No data found for study with accession phs002011.v1,1,404
phs000877.v2.p1,No data found for study with accession phs000877.v2,1,404
phs001499.v1.p1,No data found for study with accession phs001499.v1,1,404
phs001589.v1.p1,No data found for study with accession phs001589.v1,1,404
phs001263.v1.p1,No data found for study with accession phs001263.v1,1,404
phs000604.v1.p1,No data found for study with accession phs000604.v1,1,404
phs003728.v1.p1,No data found for study with accession phs003728.v1,1,404
phs002712.v1.p1,No data found for study with accession phs002712.v1,1,404
phs002223.v1.p1,No data found for study with accession phs002223.v1,1,404
phs000696.v1.p1,No data found for study with accession phs000696.v1,1,404
phs000329.v1.p1,No data found for study with accession phs000329.v1,1,404
phs000124.v3.p1,No data found for study with accession phs000124.v3,1,404
