accession,name,description,Parent study,Study Disease/Focus,Study Design,Study Markerset,Study Molecular Data Type,Study Content,Ancestry (computed),NIH Institute,Study Consent,Release Date,Embargo Release Date,Related Terms,Collections
"phs003348.v1.p1","A genotype-phenotype study of tumors from patients with inherited    mutations in DNA repair genes","This study investigated the genomic landscape of tumors from patients with inherited mutations in DNA repair genes. The aim of this study was to determine the relationship between locus-specific loss  of heterozygosity (LOH) and genomic signatures of homologous recombination-based DNA repair (HR) deficiency in tumors associated with pathogenic","Not Applicable","Neoplasms","Tumor vs. Matched-Normal","Not Provided","WXS","4 phenotype datasets, 25 variables, 39 samples sequenced, 39 subjects, 39 samples","","NCI","GRU --- General Research Use","2024-08-28","2024-08-28","BRCA1- and BRCA2-associated hereditary breast and ovarian cancer; BRCA1- and BRCA2-associated hereditary breast and ovarian cancer (HBOC); Breast and ovarian cancer; Familial Breast and Ovarian Cancer Syndrome; Familial Breast/Ovarian Cancer (BRCA1, BRCA2); HBOC Syndrome",""
"phs003640.v1.p1","The Somatic Mutational Landscape of Thyroid Cancer in Patients with    Germline PTEN Mutations","PTEN hamartoma tumor syndrome (PHTS) is associated with a high rate of thyroid cancer and benign thyroid disease, yet nothing is known of the genomic landscape of PHTS-associated thyroid tumors.  In this study, exome sequencing was performed on 58 thyroid tumors (28 cancers, 30 benign nodules) from 19 patients with PHTS, sequenced in","Not Applicable","Hamartoma Syndrome, Multiple","Tumor vs. Matched-Normal","WES_markerset_grc37","SNV Aggregate (.MAF), WXS","4 phenotype datasets, 16 variables, 1 molecular datasets, 68 samples sequenced, 16 subjects, 68 samples","","NCI","DS-CWDN-COL-NPU --- Disease-Specific (Cowden Syndrome or another condition within the PTEN Hamartoma Tumor Syndrome, COL, NPU), DS-CWDN --- Disease-Specific (Cowden Syndrome or another condition within the PTEN Hamartoma Tumor Syndrome)","2024-08-26","2024-08-26","BANNAYAN-RILEY-RUVALCABA SYNDROME; BANNAYAN-ZONANA SYNDROME; BBRS; BZS; CD; CS",""
"phs003717.v1.p1","Molecular Analysis of Alliance A031201 Study","This is the first study examining the relationship between clonal hematopoiesis and clinical outcomes in prostate cancer patients. We used a targeted gene sequencing panel to identify patients in the  A031201 clinical trial with and without clonal hematopoiesis. We found that clonal hematopoiesis did not affect overall or progression free survival","Not Applicable","Prostatic Neoplasms","Case Set","Not Provided","Targeted-Capture","4 phenotype datasets, 13 variables, 957 samples sequenced, 957 subjects, 957 samples","","NCI","DS-PC --- Disease-Specific (Prostate Cancer)","2024-08-23","2024-08-23","NGP - New growth of prostate; Neoplasm of Prostate; Neoplasm of the Prostate; Neoplasm, Prostate; Neoplasm, Prostatic; Neoplasms, Prostate",""
"phs003704.v1.p1","Botensilimab, an Fc-enhanced Anti-CTLA-4 Antibody, is Effective Against    Tumors Poorly Responsive to Conventional Immunotherapy","This study explores the genomic landscape associated with a novel Fc-engineered anti-CTLA-4 antibody (botensilimab) in advanced solid tumors. We seek to understand if enhancing the Fc-region affinity of anti-CTLA-4 antibodies  can improve anti-tumor efficacy and expand clinical benefit to tumors poorly responsive to conventional immunotherapy. As part of an ongoing","Not Applicable","Immunotherapy","Clinical Trial","Not Provided","RNA-Seq","4 phenotype datasets, 12 variables, 95 samples sequenced, 70 subjects, 95 samples","","NCI","GRU-NPU --- General Research Use (NPU)","2024-08-23","2024-08-23","Sarcoma; CRC; Cancer of Large Bowel; Cancer of Large Intestine; Cancer of the Large Bowel; Cancer of the Large Intestine",""
"phs003683.v1.p1","Somatic Mutations in Individual Skin Cells","Ultraviolet (UV) radiation is the primary cause of melanoma through the acquisition of driver mutations in melanocytes. It also plays a significant role in oncogenesis in other skin cells, such  as keratinocytes. However, the mutational profiles vary widely among different skin cancers, and the early mutational processes in different cell","Not Applicable","Carcinoma, Squamous Cell","Cross-Sectional","Not Provided","RNA-Seq, WXS","4 phenotype datasets, 15 variables, 347 samples sequenced, 16 subjects, 347 samples","","NCI","GRU --- General Research Use","2024-08-22","2024-08-22","Skin Neoplasms; Carcinoma, Epidermoid; Carcinoma, Planocellular; Carcinoma, Squamous; Carcinomas, Epidermoid; Carcinomas, Planocellular",""
"phs003676.v1.p1","Chromothripsis in Small Cell Lung Carcinoma Associated with Carcinoid    Transformation","Small cell lung carcinoma (SCLC) is typically associated with tobacco exposure and inactivation of RB1 and TP53 genes. We performed detailed clinicopathologic, genomic, and transcriptomic profiling of an atypical subset  of SCLC in never/light smokers that lacked RB1 and TP53 co-inactivation and found that most cases were associated with chromothripsis &#x02013;","Not Applicable","Carcinoma, Small Cell","Case Set","Not Provided","RNA-Seq, WGS","4 phenotype datasets, 13 variables, 29 samples sequenced, 12 subjects, 29 samples","","NCI","GRU --- General Research Use","2024-08-22","2024-08-22","Carcinoid Tumor; Chromothripsis; Carcinoid; Carcinoid tumor (disease); Carcinoid tumors; Carcinoid tumour","dbGaP Collection: Compilation of Individual-Level Genomic Data for    General Research Use (phs000688.v1.p1)"
"phs002922.v2.p1","Genomic and Transcriptomic Sequencing of CAR-T-Treated Patients","Chimeric Antigen Receptor (CAR)-T cell therapy has revolutionized the treatment of hematologic malignancies. Approximately half of patients with refractory large B-cell lymphomas achieve durable responses from CD19-targeting CAR-T treatment; however,  failure mechanisms are identified in only a fraction of cases. Here we use next-generation sequencing technologies to characterize the genomic and","Not Applicable","Lymphoma, B-Cell","Prospective Longitudinal Cohort","Not Provided","OTHER","4 phenotype datasets, 16 variables, 95 samples sequenced, 58 subjects, 155 samples","","NCI","HMB --- Health/Medical/Biomedical","2024-08-22","2022-10-06","",""
"phs003697.v1.p1","Evolving Cell States and Oncogenic Drivers during the Progression of    IDH-Mutant Gliomas","The study aims to understand the changes in cell states during the progression of IDH mutant gliomas. We generated scATAC-seq data from tumor samples of patients with IDH mutant gliomas,  ranging from grade 2 to grade 4, including both IDH mutant oligodendroglioma and IDH mutant astrocytoma samples. Additionally, we have generated","Not Applicable","Glioma","Methods","Not Provided","ATAC-seq, RNA-Seq","3 phenotype datasets, 12 variables, 15 samples sequenced, 11 subjects, 15 samples","","NCI","GRU --- General Research Use","2024-08-15","2024-08-15","Glial Cell Tumor; Glial Cell Tumors; Glial Neoplasm; Glial Tumor; Neoplasm of Neuroglia; Neoplasm of the Neuroglia",""
"phs002366.v2.p2","Lung Cancer Genetic Study Among Asian Never Smokers","The Lung Cancer Genetic Study Among Asian Never Smokers includes data from four population-based studies conducted among Asian women: the Shanghai Women's Health Study (SWHS), the Hwasun Cancer Epidemiology Study  (HCES1 and HCES2), the Female Lung Cancer Consortium in Asia (FLCCA, including sFLCA), and the Guangzhou Lung Cancer Study (GLCS). Shanghai Women's","Not Applicable","Lung Neoplasms","Case-Control","WES_markerset_grc37, MEGA_Consortium_Array","SNP Genotypes (Array), SNP/CNV Genotypes (NGS), WXS","4 phenotype datasets, 17 variables, 2 molecular datasets, 1195 samples sequenced, 8310 subjects, 8369 samples","","NCI","HMB-PUB-NPU --- Health/Medical/Biomedical (PUB, NPU), HMB-PUB --- Health/Medical/Biomedical (PUB), DS-LC --- Disease-Specific (Lung Cancer), GRU-NPU --- General Research Use (NPU)","2024-08-13","2024-08-13","Lung Tumor; Lung cancer; Lung neoplasm; Lung tumour; Neoplasm of Lung; Neoplasm of the Lung",""
"phs001524.v3.p2","The Genetic Basis of Aggressive Prostate Cancer, The Role of Rare    Variation","In this study, we will apply a multi-staged approach to reveal genes harboring rare variants that are associated with aggressive PCa. Whole-exome sequencing (Aim 1a) of 2,774 aggressive cases and  2,776 non-aggressive cases of European ancestry will be conducted followed by rare variant analysis of single sites and gene burden testing to","Not Applicable","Prostatic Neoplasms","Case Set","WES_markerset_grc37","SNP/CNV Genotypes (NGS), Targeted-Capture, WXS","4 phenotype datasets, 29 variables, 3 molecular datasets, 21898 samples sequenced, 21745 subjects, 21898 samples","","NCI","GRU --- General Research Use, DS-PC-MDS --- Disease-Specific (Prostate Cancer, MDS), CADM --- Cancer in all age groups, other diseases in adults only, and methods, DS-CA-PUB --- Disease-Specific (Cancer, PUB), HMB-PUB --- Health/Medical/Biomedical (PUB), DS-PC --- Disease-Specific (Prostate Cancer), MHNSI-MDS --- Men's Health and Nutrition in Serious Illnesses (MDS), DS-CA-NPU-GSO --- Disease-Specific (Cancer, NPU, GSO), DS-PC-NPU-MDS --- Disease-Specific (Prostate Cancer, NPU, MDS)","2024-08-12","2024-08-12","NGP - New growth of prostate; Neoplasm of Prostate; Neoplasm of the Prostate; Neoplasm, Prostate; Neoplasm, Prostatic; Neoplasms, Prostate",""
