accession,name,description,Parent study,Study Disease/Focus,Study Design,Study Markerset,Study Molecular Data Type,Study Content,Ancestry (computed),NIH Institute,Study Consent,Release Date,Embargo Release Date,Related Terms,Collections
"phs001888.v1.p1","Genomic Characterization CS-MATCH-0007 Arm H","The CS-MATCH-0007 protocol is a collaboration between the Center for Cancer Genomics (CCG) and the Division of Cancer Treatment and Diagnosis (DCTD) to perform whole-exome sequencing and RNA sequencing using  pre-and post-treatment tumor biopsy specimens from all patients enrolled on a treatment arm of the NCI-MATCH Clinical Trial (EAY131). The goal","Not Applicable","Neoplasms","Clinical Trial","Not Provided","Not Provided","3 phenotype datasets, 379 variables,  SRA, 21 subjects, 21 samples","","NCI","GRU-COL --- General Research Use (COL)","2023-09-25","2023-09-25","Cancer of skin pigment cells; MM - malignant melanoma; Malignant Melanoma; Malignant Melanomas; Melanoma; Melanoma, Malignant",""
"phs000218.v26.p8","National Cancer Institute (NCI) TARGET: Therapeutically Applicable    Research to Generate Effective Treatments","The Therapeutically Applicable Research to Generate Effective Treatments (TARGET) Initiative seeks to accelerate research in novel marker and drug development, along with understanding the molecular basis of pediatric malignancy, through  identification of genomic changes associated with the following childhood cancers: Acute Lymphoblastic Leukemia (ALL) - A fast-growing type of blood","Not Applicable","Neoplasms","Tumor vs. Matched-Normal","Not Provided","Not Provided","2 phenotype datasets, 7 variables, 11287 samples sequenced, 6363 subjects, 13179 samples, 9 substudies","","NCI","DS-PEDCR --- Disease-Specific (Pediatric Cancer Research)","2023-09-20","2012-04-10","Acute Lymphoblastic Leukemia; Clear Cell Sarcomas; Rhabdoid Tumor; ALL, Childhood; Childhood ALL; Childhood Precursor Lymphoblastic Leukemia","NCI's Collection of Datasets for Pediatric and Adolescent and Young    Adults Research (phs003964.v2.p2)"
"phs000471.v23.p8","TARGET: Kidney, Wilms Tumor (WT)","There are 130 fully characterized patient cases with high risk Wilms tumor (all tumor/normal pairs; 8 with additional samples for analysis 3 with tumor adjacent normal, 5 with relapse sample)  that will make up the TARGET WT dataset. Each case will have gene expression, tumor and paired normal copy number analyses, methylation and whole","National Cancer Institute (NCI) TARGET: Therapeutically Applicable Research to Generate Effective Treatments (phs000218.v26.p8)","Wilms Tumor","Tumor vs. Matched-Normal","Not Provided","RNA-Seq, Targeted-Capture, WGS, WXS, miRNA-Seq","2 phenotype datasets, 8 variables, 987 samples sequenced, 653 subjects, 1018 samples","","NCI","DS-PEDCR --- Disease-Specific (Pediatric Cancer Research)","2023-09-20","2012-04-10","Embryonal adenosarcoma; Embryonal nephroma; Kidney Nephroblastoma; NEPHROBLASTOMA; Nephroblastoma (Wilms tumor); Nephroblastomas",""
"phs000470.v23.p8","TARGET: Kidney, Rhabdoid Tumor (RT)","To further explore some more aggressive subtypes in pediatric cancer already under study in OCG, CGCI is partnering with TARGET initiative to support extensive sequencing analysis of three hard to  treat childhood cancers: refractory to treatment cases of acute myeloid leukemia and two rare kidney tumors; clear cell sarcoma of the kidney","National Cancer Institute (NCI) TARGET: Therapeutically Applicable Research to Generate Effective Treatments (phs000218.v26.p8)","Rhabdoid Tumor","Tumor vs. Matched-Normal","Not Provided","Bisulfite-Seq, ChIP-Seq, RNA-Seq, WGS, miRNA-Seq","2 phenotype datasets, 8 variables, 234 samples sequenced, 70 subjects, 236 samples","","NCI","DS-PEDCR --- Disease-Specific (Pediatric Cancer Research)","2023-09-20","2012-04-10","",""
"phs000469.v23.p8","TARGET: Cancer Model Systems (MDLS): Cell Lines and Xenografts (including    PPTP)","As part of the TARGET initiative, some disease projects characterized tumor cell lines or xenografts, with or without matched normal comparators, as well as some normal non-involved tissues. MDLS includes  acute leukemia cell lines and xenografts with matched primary and/or relapsed tumor information, neuroblastoma cell line and xenografts with matched","National Cancer Institute (NCI) TARGET: Therapeutically Applicable Research to Generate Effective Treatments (phs000218.v26.p8)","Xenograft Model Antitumor Assays","Tumor vs. Matched-Normal","Not Provided","Bisulfite-Seq, ChIP-Seq, RNA-Seq, Targeted-Capture, WGS, WXS, miRNA-Seq","2 phenotype datasets, 8 variables, 180 samples sequenced, 132 subjects, 183 samples","","NCI","DS-PEDCR --- Disease-Specific (Pediatric Cancer Research)","2023-09-20","2012-04-10","Not Provided",""
"phs000468.v23.p8","TARGET: Osteosarcoma (OS)","There are 93 fully characterized patient cases that make up the TARGET OS dataset, each with gene expression, tumor and paired normal copy number analyses, methylation, miRNA profiles, along with  comprehensive next-generation sequencing to include mRNA-seq and exome sequencing (whole genome sequencing where available). There are additional","National Cancer Institute (NCI) TARGET: Therapeutically Applicable Research to Generate Effective Treatments (phs000218.v26.p8)","Osteosarcoma","Tumor vs. Matched-Normal","Not Provided","RNA-Seq, WGS, WXS","2 phenotype datasets, 8 variables, 624 samples sequenced, 310 subjects, 744 samples","","NCI","DS-PEDCR --- Disease-Specific (Pediatric Cancer Research)","2023-09-20","2012-04-10","Bone cell cancer; OSRC; OSTEOSARCOMA; Osteoblastic osteosarcoma; Osteoblastic sarcoma; Osteochondrosarcoma",""
"phs000467.v23.p8","TARGET: Neuroblastoma (NBL)","There are 214 fully characterized patient cases with neuroblastoma (all tumor/normal pairs, 10 with relapse sample as well) that will make up the TARGET NBL dataset, along with some cell  lines and xenografts. The dataset includes 24 4S cases as well. Each fully characterized case has gene expression, tumor and paired normal copy","National Cancer Institute (NCI) TARGET: Therapeutically Applicable Research to Generate Effective Treatments (phs000218.v26.p8)","Neuroblastoma","Tumor vs. Matched-Normal","Not Provided","RNA-Seq, Targeted-Capture, WGS, WXS, miRNA-Seq","2 phenotype datasets, 29 variables, 1852 samples sequenced, 1204 subjects, 1977 samples","","NCI","DS-PEDCR --- Disease-Specific (Pediatric Cancer Research)","2023-09-20","2012-04-10","Not Provided",""
"phs000466.v23.p8","TARGET: Kidney, Clear Cell Sarcoma of the Kidney (CCSK)","To further explore some more aggressive subtypes in pediatric cancer already under study in OCG, CGCI is partnering with TARGET initiative to support extensive sequencing analysis of three hard to  treat childhood cancers: refractory to treatment cases of acute myeloid leukemia and two rare kidney tumors; clear cell sarcoma of the kidney (CCSK","National Cancer Institute (NCI) TARGET: Therapeutically Applicable Research to Generate Effective Treatments (phs000218.v26.p8)","Sarcoma, Clear Cell","Tumor vs. Matched-Normal","Not Provided","RNA-Seq, WGS","2 phenotype datasets, 8 variables, 39 samples sequenced, 14 subjects, 45 samples","","NCI","DS-PEDCR --- Disease-Specific (Pediatric Cancer Research)","2023-09-20","2012-04-10","Clear Cell Sarcomas; Clear Cell Sarcoma; Clear Cell Sarcoma of Soft Parts; Clear Cell Sarcoma of Tendons and Aponeuroses; Malignant Melanoma of Soft Parts; Malignant melanoma of soft tissue",""
"phs000465.v23.p8","TARGET: Acute Myeloid Leukemia (AML)","There are 200+ fully characterized patient cases with AML (all tumor/normal pairs, 100 with relapse sample as well) that make up the TARGET AML dataset, each with gene expression, tumor  and paired normal copy number analyses, methylation and comprehensive next-generation sequencing to include whole genome sequencing, mRNA-seq","National Cancer Institute (NCI) TARGET: Therapeutically Applicable Research to Generate Effective Treatments (phs000218.v26.p8)","Leukemia, Myeloid, Acute","Tumor vs. Matched-Normal","Not Provided","RNA-Seq, Targeted-Capture, WGS, WXS, miRNA-Seq","2 phenotype datasets, 8 variables, 4014 samples sequenced, 2505 subjects, 5460 samples","","NCI","DS-PEDCR --- Disease-Specific (Pediatric Cancer Research)","2023-09-20","2012-04-10","AML; AML - Acute Myeloid Leukemia; AML - Acute myeloblastic leukemia; AML - acute myeloid leukaemia; AML adult; ANLL",""
"phs000464.v23.p8","TARGET: Acute Lymphoblastic Leukemia (ALL) Expansion Phase 2","There are 175 fully characterized patient cases with relapsed precursor B-cell ALL (all tumor/normal pairs, 85 with relapse sample as well) that will make up Phase II of the TARGET  ALL dataset, each with gene expression, tumor and paired normal copy number analyses, and comprehensive next-generation sequencing to include whole","National Cancer Institute (NCI) TARGET: Therapeutically Applicable Research to Generate Effective Treatments (phs000218.v26.p8)","Precursor Cell Lymphoblastic Leukemia-Lymphoma","Tumor vs. Matched-Normal","Not Provided","RNA-Seq, WGS, WXS, miRNA-Seq","2 phenotype datasets, 24 variables, 3309 samples sequenced, 1199 subjects, 3461 samples","","NCI","DS-PEDCR --- Disease-Specific (Pediatric Cancer Research)","2023-09-20","2012-04-10","Acute Lymphoblastic Leukemia; ALL, Childhood; Childhood ALL; Childhood Precursor Lymphoblastic Leukemia; L1 Lymphocytic Leukemia; Leukemia, L1 Lymphocytic",""
"phs000463.v23.p8","TARGET: Acute Lymphoblastic Leukemia (ALL) Pilot Phase 1","There are 189 fully characterized patient cases that make up the pilot phase (Phase I) of the TARGET ALL dataset, each with gene expression, tumor and paired normal copy number  analyses, and at least one type of sequencing (Sanger and/or next-generation) data available. There are 230 cases with partial molecular","National Cancer Institute (NCI) TARGET: Therapeutically Applicable Research to Generate Effective Treatments (phs000218.v26.p8)","Precursor Cell Lymphoblastic Leukemia-Lymphoma","Tumor vs. Matched-Normal","Not Provided","RNA-Seq, WGS","2 phenotype datasets, 8 variables, 48 samples sequenced, 289 subjects, 65 samples","","NCI","DS-PEDCR --- Disease-Specific (Pediatric Cancer Research)","2023-09-20","2012-04-10","Acute Lymphoblastic Leukemia; ALL, Childhood; Childhood ALL; Childhood Precursor Lymphoblastic Leukemia; L1 Lymphocytic Leukemia; Leukemia, L1 Lymphocytic",""
"phs002005.v1.p1","MP2PRT: Comprehensive Genomic Profiling to Identify Alterations    Associated with Relapse for NCI Standard Risk (SR) B-Lineage ALL and    NCI High Risk (HR) B-Lineage ALL with Favorable Genetic Features","The Molecular Profiling to Predict Response to Treatment (MP2PRT) program is part of the NCI's Cancer Moonshot Initiative. The aim of this program is the retrospective characterization and analysis of  biospecimens collected from completed NCI-sponsored trials of the National Clinical Trials Network and the NCI Community Oncology Research Program.","Not Applicable","Precursor Cell Lymphoblastic Leukemia-Lymphoma","Case-Control","Not Provided","Not Provided","2 phenotype datasets, 4 variables, 1510 subjects, 1510 samples","","NCI","GRU --- General Research Use","2023-08-16","2023-08-16","Acute Lymphoblastic Leukemia; ALL, Childhood; Childhood ALL; Childhood Precursor Lymphoblastic Leukemia; L1 Lymphocytic Leukemia; Leukemia, L1 Lymphocytic",""
"phs002151.v1.p1","Genomic Characterization CS-MATCH-0007 Arm N","The CS-MATCH-0007 protocol is part of a collaboration between the Center for Cancer Genomics (CCG) and the Division of Cancer Treatment and Diagnosis (DCTD) to perform whole-exome sequencing and RNA  sequencing using pre-and post-treatment tumor biopsy specimens from patients enrolled on a treatment arm of the NCI-MATCH Clinical Trial (EAY131).","Not Applicable","Neoplasms","Clinical Trial","Not Provided","Not Provided","3 phenotype datasets, 327 variables, 21 subjects, 21 samples","","NCI","GRU-COL --- General Research Use (COL)","2023-07-25","2023-07-25","Blastoma; CA; CA - Cancer; Cancer; MT; Malignancies",""
"phs002028.v1.p1","Genomic Characterization CS-MATCH-0007 Arm B","The CS-MATCH-0007 protocol is part of a collaboration between the Center for Cancer Genomics (CCG) and the Division of Cancer Treatment and Diagnosis (DCTD) to perform whole-exome sequencing and RNA  sequencing using pre-and post-treatment tumor biopsy specimens from patients enrolled on a treatment arm of the NCI-MATCH Clinical Trial (EAY131).","Not Applicable","Neoplasms","Clinical Trial","Not Provided","Not Provided","3 phenotype datasets, 362 variables, 33 subjects, 33 samples","","NCI","GRU-COL --- General Research Use (COL)","2023-07-25","2023-07-25","Blastoma; CA; CA - Cancer; Cancer; MT; Malignancies",""
"phs000235.v21.p6","National Cancer Institute Cancer Genome Characterization Initiative    (CGCI)","The Office of Cancer Genomics at the National Cancer Institute sponsored a series of studies as part of the Cancer Genome Characterization Initiative (CGCI) to assess novel emerging sequencing technologies  in cancer. The CGCI program included comprehensive characterization of the genetic aberrations found in different pediatric and/or adult tumors. CGCI","Not Applicable","Neoplasms","Tumor vs. Matched-Normal","Not Provided","Not Provided","2 phenotype datasets, 5 variables, 257 samples sequenced, 762 subjects, 884 samples, 6 substudies","","NCI","DS-CA-MDS --- Disease-Specific (Cancer, MDS), GRU --- General Research Use, GRU-IRB --- General Research Use (IRB)","2023-07-11","2013-06-20","Lung Neoplasms; Lymphoma, AIDS-Related; Lymphoma, Follicular; Lymphoma, Non-Hodgkin; Lung Tumor; Lung cancer","NCI's Collection of Datasets for General Research Use (phs003014.v1.p1); NCI's Collection of Studies for General Cancer Research (phs003967.v1.p1)"
"phs000532.v18.p6","National Cancer Institute (NCI) Cancer Genome Characterization Initiative    (CGCI): Non-Hodgkin Lymphoma","The Office of Cancer Genomics (OCG) at the National Cancer Institute sponsored a series of studies as part of the Cancer Genome Characterization Initiative (CGCI) to assess novel emerging sequencing  technologies in cancer. The CGCI program included comprehensive characterization of the genetic aberrations found in different pediatric and/or adult","National Cancer Institute Cancer Genome Characterization Initiative (CGCI) (phs000235.v21.p6)","Lymphoma, Non-Hodgkin","Tumor vs. Matched-Normal","Not Provided","RNA-Seq, WGS, WXS","2 phenotype datasets, 33 variables, 207 samples sequenced, 118 subjects, 207 samples","","NCI","DS-CA-MDS --- Disease-Specific (Cancer, MDS), GRU --- General Research Use, GRU-IRB --- General Research Use (IRB)","2023-07-11","2013-06-20","Lymphoma, Follicular; Brill - Symmers' disease; Brill Symmers Disease; Brill-Symmers Disease; Disease, Brill-Symmers; FOLLICULAR LYMPHOMA, SOMATIC",""
"phs000531.v18.p6","National Cancer Institute (NCI) Cancer Genome Characterization Initiative    (CGCI): Medulloblastoma","The Office of Cancer Genomics (OCG) at the National Cancer Institute sponsored a series of studies as part of the Cancer Genome Characterization Initiative (CGCI) to assess novel emerging sequencing  technologies in cancer. The CGCI program includes comprehensive characterization of the genetic aberrations found in different pediatric and/or adult","National Cancer Institute Cancer Genome Characterization Initiative (CGCI) (phs000235.v21.p6)","Medulloblastoma","Tumor vs. Matched-Normal","Not Provided","Not Provided","Not Provided","","NCI","DS-CA-MDS --- Disease-Specific (Cancer, MDS), GRU --- General Research Use, GRU-IRB --- General Research Use (IRB)","2023-07-11","2013-06-20","Arachnoidal Cerebellar Sarcoma, Circumscribed; Circumscribed arachnoidal cerebellar sarcoma; Desmoplastic Medulloblastomas; Desmoplastic Nodular Medulloblastoma; Desmoplastic medulloblastoma; Medulloblastoma, Desmoplastic",""
"phs000530.v18.p6","National Cancer Institute (NCI) Cancer Genome Characterization Initiative    (CGCI): HIV+ Tumor Molecular Characterization Project - Lung Cancer    (HTMCP - LC)","The Office of Cancer Genomics at the National Cancer Institute sponsored a series of studies as part of the Cancer Genome Characterization Initiative (CGCI) to assess novel emerging sequencing technologies  in cancer. The CGCI program included comprehensive characterization of the genetic aberrations found in different pediatric and/or adult tumors. All","National Cancer Institute Cancer Genome Characterization Initiative (CGCI) (phs000235.v21.p6)","Lymphoma, AIDS-Related","Tumor vs. Matched-Normal","Not Provided","RNA-Seq, WGS, miRNA-Seq","2 phenotype datasets, 8 variables, 39 samples sequenced, 39 subjects, 65 samples","","NCI","DS-CA-MDS --- Disease-Specific (Cancer, MDS), GRU --- General Research Use, GRU-IRB --- General Research Use (IRB)","2023-07-11","2013-06-20","Lung Neoplasms; Lung Tumor; Lung cancer; Lung neoplasm; Lung tumour; Neoplasm of Lung",""
"phs000529.v18.p6","National Cancer Institute (NCI) Cancer Genome Characterization Initiative    (CGCI): HIV+ Tumor Molecular Characterization Project - Diffuse Large    B-Cell Lymphoma (HTMCP - DLBCL)","The Office of Cancer Genomics at the National Cancer Institute sponsored a series of studies as part of the Cancer Genome Characterization Initiative (CGCI) to assess novel emerging sequencing technologies  in cancer. The CGCI program includes comprehensive characterization of the genetic aberrations found in different pediatric and/or adult tumors. All","National Cancer Institute Cancer Genome Characterization Initiative (CGCI) (phs000235.v21.p6)","Lymphoma, AIDS-Related","Tumor vs. Matched-Normal","Not Provided","RNA-Seq, WGS, miRNA-Seq","2 phenotype datasets, 8 variables, 11 samples sequenced, 70 subjects, 77 samples","","NCI","DS-CA-MDS --- Disease-Specific (Cancer, MDS), GRU --- General Research Use, GRU-IRB --- General Research Use (IRB)","2023-07-11","2013-06-20","Lymphoma, Non-Hodgkin; AIDS Associated Lymphoma; AIDS Lymphoma; AIDS Related Lymphoma; AIDS-Associated Lymphoma; AIDS-Associated Lymphomas",""
"phs000528.v18.p6","National Cancer Institute (NCI) Cancer Genome Characterization Initiative    (CGCI): HIV+ Tumor Molecular Characterization Project - Cervical    Cancer (HTMCP - CC)","The Office of Cancer Genomics at the National Cancer Institute sponsored a series of studies as part of the Cancer Genome Characterization Initiative (CGCI) to assess novel emerging sequencing technologies  in cancer. The CGCI program includes comprehensive characterization of the genetic aberrations found in different pediatric and/or adult tumors. All","National Cancer Institute Cancer Genome Characterization Initiative (CGCI) (phs000235.v21.p6)","Lymphoma, AIDS-Related","Tumor vs. Matched-Normal","Not Provided","Not Provided","212 samples","","NCI","DS-CA-MDS --- Disease-Specific (Cancer, MDS), GRU --- General Research Use, GRU-IRB --- General Research Use (IRB)","2023-07-11","2013-06-20","AIDS Associated Lymphoma; AIDS Lymphoma; AIDS Related Lymphoma; AIDS-Associated Lymphoma; AIDS-Associated Lymphomas; AIDS-Related Lymphoma",""
"phs000527.v18.p6","National Cancer Institute (NCI) Cancer Genome Characterization Initiative    (CGCI): Burkitt Lymphoma Genome Sequencing Project (BLGSP)","The Office of Cancer Genomics at the National Cancer Institute sponsored a series of studies as part of the Cancer Genome Characterization Initiative (CGCI) to assess novel emerging sequencing technologies  in cancer. The CGCI program included comprehensive characterization of the genetic aberrations found in different pediatric and/or adult tumors. All","National Cancer Institute Cancer Genome Characterization Initiative (CGCI) (phs000235.v21.p6)","Lymphoma, Non-Hodgkin","Tumor vs. Matched-Normal","Not Provided","Not Provided","323 samples","","NCI","DS-CA-MDS --- Disease-Specific (Cancer, MDS), GRU --- General Research Use, GRU-IRB --- General Research Use (IRB)","2023-07-11","2013-06-20","Interdigitating cell sarcoma; Reticulosarcomas; Reticulum Cell Sarcoma; Reticulum Cell Sarcomas; Reticulum cell sarcoma morphology; Reticulum-Cell Sarcoma",""
"phs003279.v1.p1","MAITS in HCC","Hepatocellular Carcinoma (HCC) is a leading cause of cancer-related death and can be considered a prototype of inflammation-derived cancer arising from chronic liver injury. The cell composition of the HCC  tumor immune microenvironment (TiME) has a major impact on cancer biology as the TiME can have divergent capacities on tumor initiation, progress","Not Applicable","Hepatocellular carcinoma; Mucosal-Associated Invariant T Cells;    tumor-associated macrophages; single-cell sequencing","Tumor vs. Matched-Normal","RNAseq_probe_set_grc38","RNA Seq (NGS)","3 phenotype datasets, 10 variables, 1 molecular datasets, 8 subjects, 36 samples","","NCI","GRU --- General Research Use","2023-05-18","2023-05-18","Not Provided","dbGaP Collection: Compilation of Individual-Level Genomic Data for    General Research Use (phs000688.v1.p1)"
"phs003111.v1.p1","Childhood Cancer Data Initiative (CCDI): Clonal Evolution During    Metastatic Spread in High-Risk Neuroblastoma","The goal of this study is to deliver a detailed characterization of the patterns of disease dissemination at diagnosis, during progression and in response to therapy in high-risk neuroblastoma. Longitudinal  and spatially distinct tumors were collected from patients. Clinical data includes diagnosis and treatment information. Biospecimen data includes","Not Applicable","Rare Diseases","Tumor vs. Matched-Normal","Not Provided","RNA-Seq, WGS","2 phenotype datasets, 7 variables, 195 samples sequenced, 129 subjects, 487 samples","","NCI","HMB --- Health/Medical/Biomedical","2023-02-28","2023-02-28","Rare Disease; Blastoma; CA; CA - Cancer; Cancer; MT","NCI's Collection of Datasets for Pediatric and Adolescent and Young    Adults Research (phs003964.v2.p2)"
"phs001904.v1.p1","Genomic Characterization CS-MATCH-0007 Arm Y","The CS-MATCH-0007 protocol is a collaboration between the Center for Cancer Genomics (CCG) and the Division of Cancer Treatment and Diagnosis (DCTD) to perform whole-exome sequencing and RNA sequencing using  pre-and post-treatment tumor biopsy specimens from all patients enrolled on a treatment arm of the NCI-MATCH Clinical Trial (EAY131). The goal","Not Applicable","Neoplasms","Clinical Trial","Not Provided","Not Provided","3 phenotype datasets, 380 variables,  SRA, 31 subjects, 31 samples","","NCI","GRU-COL --- General Research Use (COL)","2023-02-07","2023-02-07","Blastoma; CA; CA - Cancer; Cancer; MT; Malignancies",""
"phs001926.v1.p1","Genomic Characterization CS-MATCH-0007 Arm Q","The CS-MATCH-0007 protocol is part of a collaboration between the Center for Cancer Genomics (CCG) and the Division of Cancer Treatment and Diagnosis (DCTD) to perform whole-exome sequencing and RNA  sequencing using pre-and post-treatment tumor biopsy specimens from patients enrolled on a treatment arm of the NCI-MATCH Clinical Trial (EAY131).","Not Applicable","Neoplasms","Clinical Trial","Not Provided","Not Provided","3 phenotype datasets, 312 variables,  SRA, 35 subjects, 35 samples","","NCI","GRU-COL --- General Research Use (COL)","2023-01-10","2023-01-10","Blastoma; CA; CA - Cancer; Cancer; MT; Malignancies",""
"phs002518.v1.p1","Childhood Cancer Data Initiative (CCDI): OncoKids - NGS Panel for    Pediatric Malignancies","This study aimed to systematically collect clinical, registry and genomic data on pediatric cancer patients, and to contribute to the CCDI Pediatric Data Ecosystem. Clinical, treatment and outcome data on  1,039 pediatric cancer patients whose molecular profile was characterized on OncoKids gene panel at Children's Hospital Los Angeles was abstracted","Not Applicable","Neoplasms","Clinical Genetic Testing","Not Provided","AMPLICON","2 phenotype datasets, 5 variables, 2246 samples sequenced, 1039 subjects, 2246 samples","","NCI","GRU --- General Research Use","2022-12-07","2022-12-07","Blastoma; CA; CA - Cancer; Cancer; MT; Malignancies","NCI's Collection of Datasets for Pediatric and Adolescent and Young    Adults Research (phs003964.v2.p2)"
"phs002652.v1.p1","Identification of Somatic Changes in Tumors from Fanconi Anemia Patients","This study focused on the identification of genomic signatures present in tumors from Fanconi anemia patients. Fanconi anemia is a rare hereditary disease caused by defects in DNA interstrand crosslink  repair. The primary patient phenotypes are bone marrow failure and cancer predisposition. We concentrated on squamous cell carcinomas and used whole","Not Applicable","Fanconi Anemia","Tumor vs. Matched-Normal","MethylationEPIC","Methylation (CpG), OTHER, RNA-Seq, Synthetic-Long-Read, WGS, WXS","6 phenotype datasets, 56 variables, 1 molecular datasets, 1 images, 131 samples sequenced, 46 subjects, 137 samples","","NCI","GRU --- General Research Use","2022-11-14","2022-11-14","DNA Damage; Genomic Instability; DNA Injuries; DNA Injury; DNA Lesion; DNA Lesions","dbGaP Collection: Compilation of Individual-Level Genomic Data for    General Research Use (phs000688.v1.p1)"
"phs001239.v1.p1","Integrative Analysis of Lung Adenocarcinoma in EAGLE (Phase 2)","We performed whole genome sequencing and whole exome sequencing of 31 lung adenocarcinoma (LUAD) samples from the Environment And Genetics in Lung cancer Etiology (EAGLE) study. Lung adenocarcinoma cases only  Note for data in GDC: Molecular profiling data from CDDP EAGLE-1 study can be found at The NCI's Genomic Data Commons (GDC","Not Applicable","Adenocarcinoma of Lung","Case Set","Not Provided","Not Provided","2 phenotype datasets, 5 variables, 50 subjects, 150 samples","","NCI","DS-LDS-MDS --- Disease-Specific (Lung disease or smoking, MDS)","2022-10-18","2022-10-18","ADENOCARCINOMA OF LUNG; Adenocarcinoma of lung, somatic; Adenocarcinoma of the Lung; Adenocarcinoma, Lung; Adenocarcinomas, Lung; Lung Adenocarcinoma",""
"phs001859.v1.p1","Genomic Characterization CS-MATCH-0007 Arm Z1D","The CS-MATCH-0007 protocol is a collaboration between the Center for Cancer Genomics (CCG) and the Division of Cancer Treatment and Diagnosis (DCTD) to perform whole-exome sequencing and RNA sequencing using  pre-and posttreatment tumor biopsy specimens from all patients enrolled on a treatment arm of the NCI-MATCH Clinical Trial (EAY131). The goal","Not Applicable","Neoplasms","Clinical Trial","Not Provided","Not Provided","3 phenotype datasets, 387 variables,  SRA, 36 subjects, 36 samples","","NCI","GRU-COL --- General Research Use (COL)","2022-10-17","2022-10-17","Turcot syndrome; Blastoma; CA; CA - Cancer; Cancer; MT",""
"phs003011.v1.p1","APOLLO1: Proteogenomic Analysis of Lung Adenocarcinoma","APOLLO is a proteogenomic study seeking to describe the major genome, transcriptome, proteome and phosphoproteome alterations, subtypes, and molecular predictors of patient outcomes. This study includes 87 lung adenocarcinomas and  matched normal tissues from the Lung Cancer Biospecimen Resource Network (https://lungbio.sites.virginia.edu/). Tumor tissues were profiled by whole","Not Applicable","Adenocarcinoma of Lung","Tumor vs. Matched-Normal","Not Provided","Not Provided","2 phenotype datasets, 5 variables, 87 subjects, 261 samples","","NCI","GRU --- General Research Use","2022-10-03","2022-10-03","ADENOCARCINOMA OF LUNG; Adenocarcinoma of lung, somatic; Adenocarcinoma of the Lung; Adenocarcinoma, Lung; Adenocarcinomas, Lung; Lung Adenocarcinoma",""
"phs002253.v1.p1","CCG Multicentric Italian Lung Detection (MILD)","For the CCG-MILD project, NCI will utilize whole genome sequencing and/or whole exome sequencing in conjunction with transcriptome sequencing to try to identify recurrent genetic alterations (mutations, deletions, amplifications, rearrangements)  and/or gene expression signatures that would be important to the hypothesis(es) submitted by the investigators. The samples will be processed","Not Applicable","Lung Neoplasms","Case Set","Not Provided","Not Provided","2 phenotype datasets, 4 variables, 160 subjects, 160 samples","","NCI","GRU --- General Research Use","2022-09-21","2022-09-21","Lung Tumor; Lung cancer; Lung neoplasm; Lung tumour; Neoplasm of Lung; Neoplasm of the Lung",""
"phs002941.v1.p1","CALGB/SWOG 80405 ct DNA Biomarker Evaluation","To investigate treatment-specific mutations that underlie resistance to treatment with chemotherapy +/- bevacizumab or cetuximab in first line metastatic Colorectal Cancer (mCRC) patients, we performed targeted sequencing of circulating free  DNA (cfDNA) from longitudinal plasma samples. These samples were collected at baseline (PRE, n 354), during treatment (OTH, n 259), and/or","Not Applicable","Colorectal Neoplasms","Clinical Genetic Testing","Not Provided","WXS","3 phenotype datasets, 10 variables, 968 samples sequenced, 367 subjects, 968 samples","","NCI","GRU-COL --- General Research Use (COL), DS-CA-COL --- Disease-Specific (Cancer, COL)","2022-07-29","2022-07-29","CRC; Cancer of Large Bowel; Cancer of Large Intestine; Cancer of the Large Bowel; Cancer of the Large Intestine; Cancer, Colorectal",""
"phs002599.v1.p1","NCI CCSG CCDI Supplement Additional Genomic Submission","The implementation of targeted therapies for acute myeloid leukaemia (AML) has been challenging because of the complex mutational patterns within and across patients as well as a dearth of pharmacologic  agents for most mutational events. This supplement data from the Beat AML program provides Adolescent and Young Adult (AYA) and pediatric tumor","Not Applicable","Leukemia, Myeloid, Acute","Case Set","Not Provided","RNA-Seq, Targeted-Capture, WXS","3 phenotype datasets, 7 variables, 152 samples sequenced, 104 subjects, 203 samples","","NCI","GRU --- General Research Use","2022-06-09","2022-06-09","AML; AML - Acute Myeloid Leukemia; AML - Acute myeloblastic leukemia; AML - acute myeloid leukaemia; AML adult; ANLL","NCI's Collection of Datasets for General Research Use (phs003014.v1.p1)"
"phs002620.v1.p1","Feasibility and Clinical Utility of Whole Genome Profiling in Pediatric    and Young Adult Cancers","Comprehensive Whole Genome Sequencing and Whole Transcriptome (RNASeq) analyses from 114 pediatric patients at Memorial Sloan Kettering. This dataset was used as a prospective clinical utility and feasibility study. By  using our Isabl infrastructure for precision medicine, we developed a 2-week end-to-end pipeline to analyze cfDNA, WGS and WTS, which we refer","Not Applicable","Neoplasms","Prospective Longitudinal Cohort","Not Provided","RNA-Seq, WGS","3 phenotype datasets, 14 variables, 326 samples sequenced, 114 subjects, 326 samples","","NCI","GRU --- General Research Use","2022-05-02","2022-05-02","Blastoma; CA; CA - Cancer; Cancer; MT; Malignancies","NCI's Collection of Datasets for General Research Use (phs003014.v1.p1); NCI's Collection of Datasets for Pediatric and Adolescent and Young    Adults Research (phs003964.v2.p2)"
