coreproject,pmid,title,authors,publication_date,citation_count,relative_citation_ratio,project_id,project_start_date,day_diff
P50CA092629,10614618,Calcitriol-induced apoptosis in LNCaP cells is blocked by overexpression of Bcl-2.,S E Blutt;T J McDonnell;T C Polek;N L Weigel,2000-01-01,165,3.54,P50CA092629,2001-09-14T00:00:00,622
P50CA092629,10686616,Prostate specific expression of Cre recombinase in transgenic mice.,L A Maddison;H Nahm;F DeMayo;N M Greenberg,2000-02-01,28,0.47,P50CA092629,2001-09-14T00:00:00,591
P50CA092629,10706079,"A calcitriol analogue, EB1089, inhibits the growth of LNCaP tumors in nude mice.",S E Blutt;T C Polek;L V Stewart;M W Kattan;N L Weigel,2000-02-15,78,1.72,P50CA092629,2001-09-14T00:00:00,577
P50CA092629,10766182,Resistance to lysis by cytotoxic T cells: a dominant effect in metastatic mouse prostate cancer cells.,H M Lee;T L Timme;T C Thompson,2000-04-01,45,0.68,P50CA092629,2001-09-14T00:00:00,531
P50CA092629,10786685,E-7869 (R-flurbiprofen) inhibits progression of prostate cancer in the TRAMP mouse.,W J Wechter;D D Leipold;E D Murray;D Quiggle;J D McCracken;R S Barrios;N M Greenberg,2000-04-15,132,2.76,P50CA092629,2001-09-14T00:00:00,517
P50CA092629,10799174,Suicide gene therapy toxicity after multiple and repeat injections in patients with localized prostate cancer.,M Shalev;D Kadmon;B S Teh;E B Butler;E Aguilar-Cordova;T C Thompson;J R Herman;H L Adler;P T Scardino;B J Miles,2000-06-01,105,2.18,P50CA092629,2001-09-14T00:00:00,470
P50CA092629,10820429,Dimerization-dependent block of the proapoptotic effect of p75(NTR).,J J Wang;S Rabizadeh;A Tasinato;S Sperandio;X Ye;M Green;N Assa-Munt;D Spencer;D E Bredesen,2000-06-01,37,0.56,P50CA092629,2001-09-14T00:00:00,470
P50CA092629,10843289,Lymphovascular invasion as a predictor of disease progression in prostate cancer.,C M Herman;G E Wilcox;M W Kattan;P T Scardino;T M Wheeler,2000-06-01,73,1.75,P50CA092629,2001-09-14T00:00:00,470
P50CA092629,10861502,Epidemiologic determinants of clinically relevant prostate cancer.,M R Spitz;S S Strom;Y Yamamura;P Troncoso;R J Babaian;P T Scardino;T Wheeler;C I Amos;A von Eschenbach;J Kagan,2000-05-20,33,0.72,P50CA092629,2001-09-14T00:00:00,482
P50CA092629,10861743,Mouse prostate reconstitution model system: A series of in vivo and in vitro models for benign and malignant prostatic disease.,T C Thompson;T L Timme;S H Park;G Yang;C Ren,2000-06-01,25,0.53,P50CA092629,2001-09-14T00:00:00,470
P50CA092629,10861744,Isolation and characterization of mouse probasin: An androgen-regulated protein specifically expressed in the differentiated prostate.,M A Johnson;I Hernandez;Y Wei;N Greenberg,2000-06-01,42,0.92,P50CA092629,2001-09-14T00:00:00,470
P50CA092629,10910968,Genomic instability-based transgenic models of prostate cancer.,C Voelkel-Johnson;D J Voeks;N M Greenberg;R Barrios;F Maggouta;D T Kurtz;D A Schwartz;G M Keller;T Papenbrock;G A Clawson;J S Norris,2000-08-01,20,0.48,P50CA092629,2001-09-14T00:00:00,409
P50CA092629,10918582,Caveolin-1 is regulated by c-myc and suppresses c-myc-induced apoptosis.,T L Timme;A Goltsov;S Tahir;L Li;J Wang;C Ren;R N Johnston;T C Thompson,2000-07-06,116,2.14,P50CA092629,2001-09-14T00:00:00,435
P50CA092629,10923926,Cytopathic effect of in situ gene therapy in prostate cancer.,G Ayala;T M Wheeler;M Shalev;T C Thompson;B Miles;E Aguilar-Cordova;S Chakraborty;D Kadmon,2000-07-01,33,0.67,P50CA092629,2001-09-14T00:00:00,440
P50CA092629,10967136,"The WFDC1 gene encoding ps20 localizes to 16q24, a region of LOH in multiple cancers.",M Larsen;S J Ressler;M J Gerdes;B Lu;M Byron;J B Lawrence;D R Rowley,2000-09-01,31,0.61,P50CA092629,2001-09-14T00:00:00,378
R33CA212973,11231557,Large-scale analysis of the yeast proteome by multidimensional protein identification technology.,M P Washburn;D Wolters;J R Yates,2001-03-01,3637,72.72,R33CA212973,2017-03-10T00:00:00,5853
R21CA094392,11237705,A Novel mRNA-cDNA interference phenomenon for silencing bcl-2 expression in human LNCaP cells.,S L Lin;C M Chuong;S Y Ying,2001-03-02,25,0.41,R21CA094392,2002-09-01T00:00:00,548
R43CA094404,11429448,Selective open-channel block of Shaker (Kv1) potassium channels by s-nitrosodithiothreitol (SNDTT).,M W Brock;C Mathes;W F Gilly,2001-07-01,28,0.55,R43CA094404,2002-07-15T00:00:00,379
R33CA083232,11444807,Aptamer beacons for the direct detection of proteins.,N Hamaguchi;A Ellington;M Stanton,2001-07-15,395,8.48,R33CA083232,2003-06-01T00:00:00,686
