program_1,program_2,program_3,unique_core_project_count
AllofUs,CancerSystemsBiologyConsortiumCSBC,,12
AllofUs,HumanTumorAtlasNetwork,,9
AllofUs,OncologyModelsForumU24,,8
AllofUs,FusionOncoproteinsinChildhoodCancersFusOnc2,,7
AllofUs,PediatricPreclinicalinVivoTestingPIVOT,,5
CONSORTIUMFORPANCREATICDUCTALADENOCARCINOMAPDACTRANSLATIONALSTUDIES,PancreaticCancerMicroenvironmentNetwork,,5
AcquiredResistancetoTherapyNetworkARTNet,AllofUs,,5
AllofUs,BarrettsEsophagusTranslationalResearchNetworkBETRNet,,4
CANCERIMMUNEMONITORINGANDANALYSISCENTERS,CancerImmunologicDataCommons,,4
AllofUs,TranslationalandBasicScienceResearchinEarlyLesions,,3
AllofUs,ImprovingManagementofSymptomsAcrossCancerTreatments,,2
AllofUs,HIVAssociatedMalignancyResearchCenters,,2
AllofUs,CellularCancerBiologyImagingResearch,,2
AllofUs,CONSORTIUMFORPANCREATICDUCTALADENOCARCINOMAPDACTRANSLATIONALSTUDIES,PancreaticCancerMicroenvironmentNetwork,1
ADMIRALStudyAdmixtureanalysisofacutelymphoblasticleukemiainAfricanAmericanchildren,AllofUs,,1
AllofUs,SpecializedProgramOfResearchExcellenceSPOREinLeukemia,,1
AllofUs,SPOREUniversityofTexasMDAndersonCancerCenterLeukemia,,1
AllofUs,SPOREinBreastCancer,,1
AcceleratingColorectalCancerScreeningandfollowupthroughImplementationScienceACCSIS,AllofUs,,1
AllofUs,ChildhoodCancerSurvivorStudy,,1
AllofUs,PancreaticAdenocarcinomaStromalReprogramingConSortiumPSRCPASSCODE,,1
AllofUs,VanderbiltIngramCancerCenterSPOREinGastrointestinalCancer,,1
AllofUs,TheAdjuvantLungCancerEnrichmentMarkerIdentificationandSequencingTrialsALCHEMIST,,1
AllofUs,CancerImmunologicDataCommons,,1
ADVANCEDDEVELOPMENTOFINFORMATICSTECHNOLOGIESFORCANCERRESEARCHANDMANAGEMENT,AllofUs,,1
