program_name,program_acronym,focus_area,doc,contact_pi,contact_pi_email,contact_nih,contact_nih_email,nofo,award,program_link,data_link,cancer_type,core_project_count,grant_count,total_nci_funding
CANCER IMMUNE MONITORING AND ANALYSIS CENTERS,CIMAC,Cancer Moonshot,"CTEP,DCTD",,,"Thurin, Magdalena",thurinm@mail.nih.gov,RFA-CA-17-005;RFA-CA-22-038,,https://dctd.cancer.gov/ResearchNetworks/cimacs_cidc_network.htm,,This program focuses on cancer broadly - not limited to a primary cancer type,4,8,55551765
Cellular Cancer Biology Imaging Research,CCBIR,,DCB,"PROVENZANO, PAOLO; BACKMAN, VADIM; WIRTZ, DENIS; DANUSER, GAUDENZ",pprovenz@umn.edu; v-backman@northwestern.edu; WIRTZ@JHU.EDU; gaudenz.danuser@utsouthwestern.edu,"BECKER, STEVEN",beckersteven@mail.nih.gov,RFA-CA-21-002,,https://www.cancer.gov/about-nci/organization/dcb/research-programs/ccbir,,This program focuses on cancer broadly - not limited to a primary cancer type,4,8,12810400
Barrett’s Esophagus Translational Research Network (BETRNet),BETRNet,"DCC,Clinical Networks",DCP,,,"RICHMOND, ELLEN S.; YASSIN, RIHAB R.",er115z@nih.gov; ry38k@nih.gov,RFA-CA-16-007; RFA-CA-16-006; RFA-CA-10-014,,https://prevention.cancer.gov/major-programs/barretts-esophagus-translational-research-network-betrnet,,Esophageal Cancer,4,40,38637870
Fusion Oncoproteins in Childhood Cancers (FusOnc2),FusOnc2,"Pediatric/AYA,Cancer Moonshot",DCB,"Keren Witkin, Ph.D.",witkinkeren@mail.nih.gov,"Smith,Malcolm",Malcolm.Smith@nih.gov,RFA-CA-17-049;RFA-CA-19-016,,https://www.cancer.gov/research/key-initiatives/moonshot-cancer-initiative/implementation/childhood-cancer-research#fusion-oncoproteins-in-childhood-cancers-fusonc2-consortium,,This program focuses on cancer broadly - not limited to a primary cancer type,9,16,73063983
The Early Detection Research Network (EDRN),EDRN,"DCC,Clinical Networks",DCP,,,"MARQUEZ, GUILLERMO; SORBARA, LYNN R",gm186p@nih.gov; lynns@mail.nih.gov,CA-14-017;CA-21-034;CA-21-033;CA-21-035;CA-14-015;CA-14-016;CA-16-009,,https://edrn.nci.nih.gov/,https://edrn.nci.nih.gov/data-and-resources/data/,This program focuses on cancer broadly - not limited to a primary cancer type,32,149,130748148
Cancer Prevention-Interception Targeted Agent Discovery Program,CAP-IT,DCC,DCP,,,"Sei, Shizuko",shizuko.sei@nih.gov,RFA-CA-21-038;RFA-CA-22-055;RFA-CA-21-039,,https://prevention.cancer.gov/major-programs/cancer-prevention-interception-targeted-agent-discovery-program,,This program focuses on cancer broadly - not limited to a primary cancer type,2,2,2412236
 Small Cell Lung Cancer (SCLC) Consortium ,SCLC,DCC,DCP,,,"UJHAZY, PETER",ujhazyp@mail.nih.gov,PAR21-346;PAR-16-049;PAR-16-050;PAR-16-051;PAR-19-361,,https://prevention.cancer.gov/major-programs/small-cell-lung-cancer-sclc-consortium,,Lung Cancer,21,93,53617109
Acquired Resistance to Therapy Network (ARTNet),ARTNet,"DCC,Cancer Moonshot,Clinical Networks",DCTD,,,"hildesheim, jeff",hildesheimj@mail.nih.gov,RFA-CA-21-052;RFA-CA-21-053,,https://www.cancer.gov/about-nci/organization/dcb/research-programs/artnet,,This program focuses on cancer broadly - not limited to a primary cancer type,6,6,7357128
All of Us,,"Pediatric/AYA,DCC",NIH/OD,,help@joinallofus.org,,,HG21-041;LM21-002;MH22-200;OD21-144;OD22-150;OD22-153;OTA17-002;OTA18-001;OTA19-002;OTA19-003;OTA19-004;OTA20-001;OTA20-009;OTA22-006;OTA23-001;OTA23-003;A17-446;PA18-91;PA20-145;PA20-185;PA20-272;PAR20-150;PM23-001;PM23-002;RM21-002;RM21-003;RM21-005;RM21-006;RM21-016;SM18-009;SM21-007;SP20-002,,https://allofus.nih.gov/,,This program focuses on cancer broadly - not limited to a primary cancer type,1866,3208,1440658962
The Adjuvant Lung Cancer Enrichment Marker Identification and Sequencing Trials (ALCHEMIST),,Clinical Networks,DCTD,,,"MOONEY, MARGARET M",mooneym@mail.nih.gov,,U10CA180821;U10CA180830;U10CA031946,https://www.cancer.gov/types/lung/research/alechmist-launch-qa,https://www.cancer.gov/types/lung/research/alechmist-launch-qa,Lung Cancer,3,69,294483788
