project_num	core_project_num	appl_id	fiscal_year	project_title	abstract_text	pref_terms	org_name	org_city	org_state	org_country	principal_investigators	program_officers	award_amount	agency_ic_fundings	award_notice_date	project_start_date	project_end_date	full_foa	api_source_search
3U10CA180821-10S1	U10CA180821	10755524	2023	Alliance for Clinical Trials in Oncology Operations Center - GY10 BIQSFP Supplement	"PROJECT SUMMARY
The Alliance is an experienced multi-institutional cancer clinical trials group that has been reorganized in
response to the IOM consensus report and NCI directives for cooperative group reorganization. Alliance provides
a comprehensive and highly efficient clinical trials infrastructure, access to experienced collaborators across all
disciplines of oncology clinical trials research, and a diverse portfolio of trials for patients with breast,
gastrointestinal, genitourinary, respiratory, central nervous system, hematological malignancies, and selected
rare tumors. Particular strengths of the Alliance include the long-standing tradition of collaborative research of
the legacy members, including many who have participated in cooperative group research since its inception in
1955.
The Mission of the Alliance for Clinical Trials in Oncology is to reduce the impact of cancer by:
 • Conducting high quality multidisciplinary cancer control, prevention, and treatment trials that engage a
 comprehensive research network;
 • Furthering our understanding of the biological basis of the cancer process and its treatment; from
 discovery, to validation, to clinical practice;
 • Providing a scientific and operational infrastructure for innovative clinical and translational research in
 the academic and community settings."	Biological;Breast;Cancer Control;Central Nervous System;Clinical Research;Clinical Trials;Clinical Trials Cooperative Group;Communities;Consensus;Discipline;Genitourinary system;Hematologic Neoplasms;Infrastructure;Institution;Malignant Neoplasms;Mission;Oncology;Patients;Persons;Prevention strategy;Prevention trial;Process;Reporting;Research;Scientist;Translational Research;Validation;cancer clinical trial;cancer therapy;clinical practice;community setting;control trial;experience;gastrointestinal;innovation;member;multidisciplinary;operation;rare cancer;respiratory;response;treatment trial	BRIGHAM AND WOMEN'S HOSPITAL	BOSTON	MA	UNITED STATES	Suzanne George, Olwen Hahn, Steven Piantadosi	Margaret M Mooney	2046686	2046686	2023-05-01T12:05:00Z	2014-04-17T12:04:00Z	2025-02-28T12:02:00Z	PA-20-272	award_U10CA180821
5U10CA180821-10	U10CA180821	10593894	2023	Alliance for Clinical Trials in Oncology Operations Center	"PROJECT SUMMARY
The Alliance is an experienced multi-institutional cancer clinical trials group that has been reorganized in
response to the IOM consensus report and NCI directives for cooperative group reorganization. Alliance
provides a comprehensive and highly efficient clinical trials infrastructure, access to experienced collaborators
across all disciplines of oncology clinical trials research, and a diverse portfolio of trials for patients with breast,
gastrointestinal, genitourinary, respiratory, central nervous system, hematological malignancies, and selected
rare tumors. Particular strengths of the Alliance include the long-standing tradition of collaborative research of
the legacy members, including many who have participated in cooperative group research since its inception in
1955.
The Mission of the Alliance for Clinical Trials in Oncology is to reduce the impact of cancer by:
 – Conducting high quality multidisciplinary cancer control, prevention, and treatment trials that engage a
 comprehensive research network;
 – Furthering our understanding of the biological basis of the cancer process and its treatment; from
 discovery, to validation, to clinical practice;
 – Providing a scientific and operational infrastructure for innovative clinical and translational research in
 the academic and community settings."	Address;Adolescent and Young Adult;Adult;Behavior;Biological;Breast;Cancer Control;Cancer Patient;Central Nervous System;Characteristics;Clinical;Clinical Research;Clinical Trials;Clinical Trials Cooperative Group;Collaborations;Communities;Community Clinical Oncology Program;Consensus;DNA;Data;Data Analyses;Data Collection;Discipline;Disease;Disease Resistance;Drug Combinations;Elderly;Electronic Health Record;Evaluation;Funding;Genitourinary system;Hematologic Neoplasms;Infrastructure;Institution;Lead;Leadership;Malignant Neoplasms;Medidata;Methods;Mission;Molecular;Molecular Analysis;National Clinical Trials Network;New Agents;Oncology;Pathogenesis;Patient-Focused Outcomes;Patients;Persons;Prevention strategy;Prevention trial;Principal Investigator;Process;Recording of previous events;Regimen;Reporting;Research;Research Design;Research Personnel;Resistance;Resources;Role;Scientist;Special Populations Research;Testing;Translational Research;Underrepresented Minority;Validation;Variant;Vision;Work;cancer clinical trial;cancer prevention;cancer therapy;clinical practice;community setting;control trial;data sharing;design;effective therapy;experience;gastrointestinal;improved;innovation;member;multidisciplinary;multimodality;novel strategies;operation;participant enrollment;patient engagement;prevent;programs;prospective;rare cancer;respiratory;response;therapy resistant;treatment trial;tumor	BRIGHAM AND WOMEN'S HOSPITAL	BOSTON	MA	UNITED STATES	Suzanne George, Olwen Hahn, Steven Piantadosi	Margaret M Mooney	7536799	7536799	2023-03-14T12:03:00Z	2014-04-17T12:04:00Z	2025-02-28T12:02:00Z	RFA-CA-17-056	award_U10CA180821
3U10CA180821-09S5	U10CA180821	10738475	2023	Alliance for Clinical Trials in Oncology Operations Center - GY9 NCCAPS Additional Capitation	"PROJECT SUMMARY
The Alliance is an experienced multi-institutional cancer clinical trials group that has been reorganized in
response to the IOM consensus report and NCI directives for cooperative group reorganization. Alliance provides
a comprehensive and highly efficient clinical trials infrastructure, access to experienced collaborators across all
disciplines of oncology clinical trials research, and a diverse portfolio of trials for patients with breast,
gastrointestinal, genitourinary, respiratory, central nervous system, hematological malignancies, and selected
rare tumors. Particular strengths of the Alliance include the long-standing tradition of collaborative research of
the legacy members, including many who have participated in cooperative group research since its inception in
1955.
The Mission of the Alliance for Clinical Trials in Oncology is to reduce the impact of cancer by:
 • Conducting high quality multidisciplinary cancer control, prevention, and treatment trials that engage a
 comprehensive research network;
 • Furthering our understanding of the biological basis of the cancer process and its treatment; from
 discovery, to validation, to clinical practice;
 • Providing a scientific and operational infrastructure for innovative clinical and translational research in
 the academic and community settings."	Biological;Breast;Cancer Control;Central Nervous System;Clinical Research;Clinical Trials;Clinical Trials Cooperative Group;Communities;Consensus;Discipline;Genitourinary system;Hematologic Neoplasms;Infrastructure;Institution;Malignant Neoplasms;Mission;Oncology;Patients;Persons;Prevention strategy;Prevention trial;Process;Reporting;Research;Scientist;Translational Research;Validation;cancer clinical trial;cancer therapy;clinical practice;community setting;control trial;experience;gastrointestinal;innovation;member;multidisciplinary;operation;rare cancer;respiratory;response;treatment trial	BRIGHAM AND WOMEN'S HOSPITAL	BOSTON	MA	UNITED STATES	Suzanne George, Olwen Hahn, Steven Piantadosi	Margaret M Mooney	817650	817650	2023-01-11T12:01:00Z	2014-04-07T12:04:00Z	2025-02-28T12:02:00Z	PA-20-272	award_U10CA180821
3U10CA180821-10S2	U10CA180821	10755545	2023	Alliance for Clinical Trials in Oncology Operations Center - GY10 irAE A151804 Administrative Supplement	"PROJECT SUMMARY
The Alliance is an experienced multi-institutional cancer clinical trials group that has been reorganized in
response to the IOM consensus report and NCI directives for cooperative group reorganization. Alliance provides
a comprehensive and highly efficient clinical trials infrastructure, access to experienced collaborators across all
disciplines of oncology clinical trials research, and a diverse portfolio of trials for patients with breast,
gastrointestinal, genitourinary, respiratory, central nervous system, hematological malignancies, and selected
rare tumors. Particular strengths of the Alliance include the long-standing tradition of collaborative research of
the legacy members, including many who have participated in cooperative group research since its inception in
1955.
The Mission of the Alliance for Clinical Trials in Oncology is to reduce the impact of cancer by:
 • Conducting high quality multidisciplinary cancer control, prevention, and treatment trials that engage a
 comprehensive research network;
 • Furthering our understanding of the biological basis of the cancer process and its treatment; from
 discovery, to validation, to clinical practice;
 • Providing a scientific and operational infrastructure for innovative clinical and translational research in
 the academic and community settings."	Administrative Supplement;Biological;Breast;Cancer Control;Central Nervous System;Clinical Research;Clinical Trials;Clinical Trials Cooperative Group;Communities;Consensus;Discipline;Genitourinary system;Hematologic Neoplasms;Infrastructure;Institution;Malignant Neoplasms;Mission;Oncology;Patients;Persons;Prevention strategy;Prevention trial;Process;Reporting;Research;Scientist;Translational Research;Validation;cancer clinical trial;cancer therapy;clinical practice;community setting;control trial;experience;gastrointestinal;innovation;member;multidisciplinary;operation;rare cancer;respiratory;response;treatment trial	BRIGHAM AND WOMEN'S HOSPITAL	BOSTON	MA	UNITED STATES	Suzanne George, Olwen Hahn, Steven Piantadosi	Margaret M Mooney	1529099	1529099	2023-05-26T12:05:00Z	2014-04-17T12:04:00Z	2025-02-28T12:02:00Z	PA-20-272	award_U10CA180821
3U10CA180821-09S4	U10CA180821	10593808	2022	A-STOR Cancer Clinical Trial Artificial Intelligence & Machine Learning Readiness	"PROJECT SUMMARY
High-dimensional molecular profiling, including genomic sequencing and digital pathology, has revolutionized
our understanding of cancer and has led to the identification of multiple new targets and biomarkers. However,
barriers impede unlocking the full potential of these data because most ‘omic data generated from National
Cancer Institute’s National Clinical Trials Network (NCTN) clinical trials are decentralized, with data housed at a
variety of sites and analyses taking place locally. To overcome these barriers for Alliance NCTN cooperative
group trials, in 2020 we established A-STOR: Alliance Standardized Translational Omics Resource, a secure,
HIPAA-compliant centralized repository of raw, and processed genomic and pathology image data from Alliance
clinical trials, with standardized genomic data harmonization to facilitate cross-study analyses. In this proposal
(a supplement to the Alliance U10 grant), we aim to realize the potential of A-STOR for artificial intelligence
(AI)/machine learning (ML) modeling by rapidly expanding our existing infrastructure to: host data from over a
dozen existing or ongoing Alliance/NCTN clinical trials (Aim 1), optimize infrastructure for cloud-based AI/ML
analyses including engagement with and feedback from AI/ML applications (Aim 1-2), ensure FAIR principles in
developing a unified clinical and adverse event (AE) data dictionary to facilitate clinical data harmonization (Aim
2), and complete an already-approved pooled multi-modal ML-based predictor as a pilot study (Aim 3). The
impact of these aims will collectively capitalize on the expertise of Alliance A-STOR Co-Chairs Dr. Daniel Stover
(clinical informatics, genomics) and Dr. James Blachly (computational biology, computer science), to optimize
foundational infrastructure, clinical/AE harmonization to facilitate data reuse as part of AI/ML efforts, and cloud-
based AI/ML compute optimization for data generated through Alliance NCTN cancer clinical trials."	Acceleration;Address;Adoption;Adverse event;Artificial Intelligence;Biological Markers;Cancer and Leukemia Group B;Clinical;Clinical Data;Clinical Informatics;Clinical Trials;Clinical Trials Network;Cloud Computing;Complement;Computational Biology;DNA sequencing;Data;Data Pooling;Data Set;Decentralization;Development;Disease;Doctor of Philosophy;Ensure;FAIR principles;Feedback;Foundations;Future;Genomics;Goals;Grant;Health Insurance Portability and Accountability Act;Image;Infrastructure;Machine Learning;Malignant Neoplasms;Manuals;Meta-Analysis;Metadata;Modeling;Modernization;Molecular;Molecular Profiling;National Cancer Institute;National Clinical Trials Network;Neoadjuvant Therapy;Ontology;Outcome;Output;Performance;Phase;Phase III Clinical Trials;Pilot Projects;Procedures;Process;Public Health;Publications;Randomized Clinical Trials;Readiness;Research;Research Design;Research Personnel;Resources;Secure;Site;Standardization;Structure;Testing;Translational Research;base;cBioPortal;cancer clinical trial;chemotherapy;cloud based;computer science;dashboard;data dictionary;data exploration;data harmonization;data repository;data reuse;data submission;data visualization;database of Genotypes and Phenotypes;digital pathology;encryption;flexibility;genomic data;high dimensionality;improved;interoperability;machine learning algorithm;machine learning model;multimodality;neoplasm resource;operation;pathology imaging;precision oncology;predicting response;prospective;repository;targeted biomarker;transcriptome sequencing;triple-negative invasive breast carcinoma	BRIGHAM AND WOMEN'S HOSPITAL	BOSTON	MA	UNITED STATES	Suzanne George, Olwen Hahn, Steven Piantadosi	Margaret M Mooney	207570	0	2022-08-24T12:08:00Z	2014-04-17T12:04:00Z	2025-02-28T12:02:00Z	PA-20-272	award_U10CA180821
3U10CA180821-09S3	U10CA180821	10669309	2022	Alliance for Clinical Trials in Oncology Operations Center	"PROJECT SUMMARY
The Alliance is an experienced multi-institutional cancer clinical trials group that has been reorganized in
response to the IOM consensus report and NCI directives for cooperative group reorganization. Alliance
provides a comprehensive and highly efficient clinical trials infrastructure, access to experienced collaborators
across all disciplines of oncology clinical trials research, and a diverse portfolio of trials for patients with breast,
gastrointestinal, genitourinary, respiratory, central nervous system, hematological malignancies, and selected
rare tumors. Particular strengths of the Alliance include the long-standing tradition of collaborative research of
the legacy members, including many who have participated in cooperative group research since its inception in
1955.
The Mission of the Alliance for Clinical Trials in Oncology is to reduce the impact of cancer by:
 – Conducting high quality multidisciplinary cancer control, prevention, and treatment trials that engage a
 comprehensive research network;
 – Furthering our understanding of the biological basis of the cancer process and its treatment; from
 discovery, to validation, to clinical practice;
 – Providing a scientific and operational infrastructure for innovative clinical and translational research in
 the academic and community settings."	Address;Adolescent and Young Adult;Adult;Behavior;Biological;Breast;Cancer Control;Cancer Patient;Characteristics;Clinical;Clinical Research;Clinical Trials;Clinical Trials Cooperative Group;Collaborations;Communities;Community Clinical Oncology Program;Consensus;DNA;Data;Data Analyses;Data Collection;Discipline;Disease;Disease Resistance;Drug Combinations;Elderly;Electronic Health Record;Evaluation;Funding;Genitourinary system;Hematologic Neoplasms;Infrastructure;Lead;Leadership;Malignant Neoplasms;Medidata;Methods;Mission;Molecular;Molecular Analysis;National Clinical Trials Network;Neuraxis;New Agents;Oncology;Pathogenesis;Patient-Focused Outcomes;Patients;Persons;Prevention strategy;Prevention trial;Principal Investigator;Process;Recording of previous events;Regimen;Reporting;Research;Research Design;Research Personnel;Resistance;Resources;Role;Scientist;Special Populations Research;Testing;Translational Research;Underrepresented Minority;Validation;Variant;Vision;Work;base;cancer clinical trial;cancer prevention;cancer therapy;clinical practice;community setting;control trial;data sharing;design;effective therapy;experience;gastrointestinal;improved;innovation;member;multidisciplinary;multimodality;novel strategies;operation;participant enrollment;patient engagement;prevent;programs;prospective;rare cancer;respiratory;response;therapy resistant;treatment trial;tumor	BRIGHAM AND WOMEN'S HOSPITAL	BOSTON	MA	UNITED STATES	Suzanne George, Olwen Hahn, Steven Piantadosi	Margaret M Mooney	1221951	1221951	2022-07-29T12:07:00Z	2014-04-17T12:04:00Z	2025-02-28T12:02:00Z	RFA-CA-17-056	award_U10CA180821
5U10CA180821-09	U10CA180821	10361387	2022	Alliance for Clinical Trials in Oncology Operations Center	"PROJECT SUMMARY
The Alliance is an experienced multi-institutional cancer clinical trials group that has been reorganized in
response to the IOM consensus report and NCI directives for cooperative group reorganization. Alliance
provides a comprehensive and highly efficient clinical trials infrastructure, access to experienced collaborators
across all disciplines of oncology clinical trials research, and a diverse portfolio of trials for patients with breast,
gastrointestinal, genitourinary, respiratory, central nervous system, hematological malignancies, and selected
rare tumors. Particular strengths of the Alliance include the long-standing tradition of collaborative research of
the legacy members, including many who have participated in cooperative group research since its inception in
1955.
The Mission of the Alliance for Clinical Trials in Oncology is to reduce the impact of cancer by:
 – Conducting high quality multidisciplinary cancer control, prevention, and treatment trials that engage a
 comprehensive research network;
 – Furthering our understanding of the biological basis of the cancer process and its treatment; from
 discovery, to validation, to clinical practice;
 – Providing a scientific and operational infrastructure for innovative clinical and translational research in
 the academic and community settings."	Address;Adolescent and Young Adult;Adult;Behavior;Biological;Breast;Cancer Control;Cancer Patient;Characteristics;Clinical;Clinical Research;Clinical Trials;Clinical Trials Cooperative Group;Collaborations;Communities;Community Clinical Oncology Program;Consensus;DNA;Data;Data Analyses;Data Collection;Discipline;Disease;Disease Resistance;Drug Combinations;Elderly;Electronic Health Record;Evaluation;Funding;Genitourinary system;Hematologic Neoplasms;Infrastructure;Lead;Leadership;Malignant Neoplasms;Medidata;Methods;Mission;Molecular;Molecular Analysis;National Clinical Trials Network;Neuraxis;New Agents;Oncology;Pathogenesis;Patient-Focused Outcomes;Patients;Persons;Prevention strategy;Prevention trial;Principal Investigator;Process;Recording of previous events;Regimen;Reporting;Research;Research Design;Research Personnel;Resistance;Resources;Role;Scientist;Special Populations Research;Testing;Translational Research;Underrepresented Minority;Validation;Variant;Vision;Work;base;cancer clinical trial;cancer prevention;cancer therapy;clinical practice;community setting;control trial;data sharing;design;effective therapy;experience;gastrointestinal;improved;innovation;member;multidisciplinary;multimodality;novel strategies;operation;participant enrollment;patient engagement;prevent;programs;prospective;rare cancer;respiratory;response;therapy resistant;treatment trial;tumor	BRIGHAM AND WOMEN'S HOSPITAL	BOSTON	MA	UNITED STATES	Suzanne George, Olwen Hahn, Steven Piantadosi	Margaret M Mooney	8643786	8643786	2022-03-17T12:03:00Z	2014-04-17T12:04:00Z	2025-02-28T12:02:00Z	RFA-CA-17-056	award_U10CA180821
3U10CA180821-09S2	U10CA180821	10542289	2022	Alliance Grant Year 9 Administrative Supplements	"PROJECT SUMMARY
The Alliance is an experienced multi-institutional cancer clinical trials group that has been reorganized in
response to the IOM consensus report and NCI directives for cooperative group reorganization. Alliance provides
a comprehensive and highly efficient clinical trials infrastructure, access to experienced collaborators across all
disciplines of oncology clinical trials research, and a diverse portfolio of trials for patients with breast,
gastrointestinal, genitourinary, respiratory, central nervous system, hematological malignancies, and selected
rare tumors. Particular strengths of the Alliance include the long-standing tradition of collaborative research of
the legacy members, including many who have participated in cooperative group research since its inception in
1955.
The Mission of the Alliance for Clinical Trials in Oncology is to reduce the impact of cancer by:
 • Conducting high quality multidisciplinary cancer control, prevention, and treatment trials that engage a
 comprehensive research network;
 • Furthering our understanding of the biological basis of the cancer process and its treatment; from
 discovery, to validation, to clinical practice;
 • Providing a scientific and operational infrastructure for innovative clinical and translational research in
 the academic and community settings."	Administrative Supplement;Biological;Breast;Cancer Control;Clinical Research;Clinical Trials;Clinical Trials Cooperative Group;Communities;Consensus;Discipline;Genitourinary system;Grant;Hematologic Neoplasms;Infrastructure;Malignant Neoplasms;Mission;Neuraxis;Oncology;Patients;Persons;Prevention strategy;Prevention trial;Process;Reporting;Research;Scientist;Translational Research;Validation;cancer clinical trial;cancer therapy;clinical practice;community setting;control trial;experience;gastrointestinal;innovation;member;multidisciplinary;rare cancer;respiratory;response;treatment trial	BRIGHAM AND WOMEN'S HOSPITAL	BOSTON	MA	UNITED STATES	Suzanne George, Olwen Hahn, Steven Piantadosi	Margaret M Mooney	1400000	1400000	2022-06-24T12:06:00Z	2014-04-17T12:04:00Z	2025-02-28T12:02:00Z	PA-20-272	award_U10CA180821
3U10CA180821-09S1	U10CA180821	10542466	2022	Alliance Grant Year 9 BIQSFP Supplements	"Contact PD/PI: Bertagnolli, Monica M.
PROJECT SUMMARY
The Alliance is an experienced multi-institutional cancer clinical trials group that has been reorganized in
response to the IOM consensus report and NCI directives for cooperative group reorganization. Alliance provides
a comprehensive and highly efficient clinical trials infrastructure, access to experienced collaborators across all
disciplines of oncology clinical trials research, and a diverse portfolio of trials for patients with breast,
gastrointestinal, genitourinary, respiratory, central nervous system, hematological malignancies, and selected
rare tumors. Particular strengths of the Alliance include the long-standing tradition of collaborative research of
the legacy members, including many who have participated in cooperative group research since its inception in
1955.
The Mission of the Alliance for Clinical Trials in Oncology is to reduce the impact of cancer by:
 • Conducting high quality multidisciplinary cancer control, prevention, and treatment trials that engage a
 comprehensive research network;
 • Furthering our understanding of the biological basis of the cancer process and its treatment; from
 discovery, to validation, to clinical practice;
 • Providing a scientific and operational infrastructure for innovative clinical and translational research in
 the academic and community settings."	Biological;Breast;Cancer Control;Clinical Research;Clinical Trials;Clinical Trials Cooperative Group;Communities;Consensus;Discipline;Genitourinary system;Grant;Hematologic Neoplasms;Infrastructure;Malignant Neoplasms;Mission;Neuraxis;Oncology;Patients;Persons;Prevention strategy;Prevention trial;Process;Reporting;Research;Scientist;Translational Research;Validation;cancer clinical trial;cancer therapy;clinical practice;community setting;control trial;experience;gastrointestinal;innovation;member;multidisciplinary;rare cancer;respiratory;response;treatment trial	BRIGHAM AND WOMEN'S HOSPITAL	BOSTON	MA	UNITED STATES	Suzanne George, Olwen Hahn, Steven Piantadosi	Margaret M Mooney	2408803	2408803	2022-04-22T12:04:00Z	2014-04-17T12:04:00Z	2025-02-28T12:02:00Z	PA-20-272	award_U10CA180821
5U10CA180821-08	U10CA180821	10143040	2021	Alliance for Clinical Trials in Oncology Operations Center	"PROJECT SUMMARY
The Alliance is an experienced multi-institutional cancer clinical trials group that has been reorganized in
response to the IOM consensus report and NCI directives for cooperative group reorganization. Alliance
provides a comprehensive and highly efficient clinical trials infrastructure, access to experienced collaborators
across all disciplines of oncology clinical trials research, and a diverse portfolio of trials for patients with breast,
gastrointestinal, genitourinary, respiratory, central nervous system, hematological malignancies, and selected
rare tumors. Particular strengths of the Alliance include the long-standing tradition of collaborative research of
the legacy members, including many who have participated in cooperative group research since its inception in
1955.
The Mission of the Alliance for Clinical Trials in Oncology is to reduce the impact of cancer by:
 – Conducting high quality multidisciplinary cancer control, prevention, and treatment trials that engage a
 comprehensive research network;
 – Furthering our understanding of the biological basis of the cancer process and its treatment; from
 discovery, to validation, to clinical practice;
 – Providing a scientific and operational infrastructure for innovative clinical and translational research in
 the academic and community settings."	Address;Adolescent and Young Adult;Adult;Behavior;Biological;Breast;Cancer Control;Cancer Patient;Characteristics;Clinical;Clinical Research;Clinical Trials;Clinical Trials Cooperative Group;Collaborations;Communities;Community Clinical Oncology Program;Consensus;DNA;Data;Data Analyses;Data Collection;Discipline;Disease;Disease Resistance;Drug Combinations;Elderly;Electronic Health Record;Evaluation;Funding;Genitourinary system;Hematologic Neoplasms;Infrastructure;Lead;Leadership;Malignant Neoplasms;Medidata;Methods;Mission;Molecular;Molecular Analysis;National Clinical Trials Network;Neuraxis;New Agents;Oncology;Pathogenesis;Patient-Focused Outcomes;Patients;Prevention strategy;Prevention trial;Principal Investigator;Process;Recording of previous events;Regimen;Reporting;Research;Research Design;Research Personnel;Resistance;Resources;Role;Scientist;Special Populations Research;Testing;Translational Research;Underrepresented Minority;Validation;Variant;Vision;Work;base;cancer clinical trial;cancer prevention;cancer therapy;clinical practice;community setting;control trial;data sharing;design;effective therapy;experience;gastrointestinal;improved;innovation;member;multidisciplinary;multimodality;novel strategies;operation;participant enrollment;patient engagement;prevent;programs;prospective;rare cancer;respiratory;response;therapy resistant;treatment trial;tumor	BRIGHAM AND WOMEN'S HOSPITAL	BOSTON	MA	UNITED STATES	Monica M. Bertagnolli, Suzanne George, Olwen Hahn	Margaret M Mooney	11020715	11020715	2021-03-01T12:03:00Z	2014-04-17T12:04:00Z	2025-02-28T12:02:00Z	RFA-CA-17-056	award_U10CA180821
