coreproject,pmid,title,authors,publication_date,citation_count,relative_citation_ratio,project_id,project_start_date,day_diff
P50CA092629,10614618,Calcitriol-induced apoptosis in LNCaP cells is blocked by overexpression of Bcl-2.,S E Blutt;T J McDonnell;T C Polek;N L Weigel,2000-01-01,163,3.56,P50CA092629,2001-09-14T12:09:00Z,622
P50CA092629,10686616,Prostate specific expression of Cre recombinase in transgenic mice.,L A Maddison;H Nahm;F DeMayo;N M Greenberg,2000-02-01,27,0.46,P50CA092629,2001-09-14T12:09:00Z,591
P50CA092629,10706079,"A calcitriol analogue, EB1089, inhibits the growth of LNCaP tumors in nude mice.",S E Blutt;T C Polek;L V Stewart;M W Kattan;N L Weigel,2000-02-15,78,1.74,P50CA092629,2001-09-14T12:09:00Z,577
P50CA092629,10766182,Resistance to lysis by cytotoxic T cells: a dominant effect in metastatic mouse prostate cancer cells.,H M Lee;T L Timme;T C Thompson,2000-04-01,45,0.69,P50CA092629,2001-09-14T12:09:00Z,531
P50CA092629,10786685,E-7869 (R-flurbiprofen) inhibits progression of prostate cancer in the TRAMP mouse.,W J Wechter;D D Leipold;E D Murray;D Quiggle;J D McCracken;R S Barrios;N M Greenberg,2000-04-15,132,2.78,P50CA092629,2001-09-14T12:09:00Z,517
P50CA092629,10799174,Suicide gene therapy toxicity after multiple and repeat injections in patients with localized prostate cancer.,M Shalev;D Kadmon;B S Teh;E B Butler;E Aguilar-Cordova;T C Thompson;J R Herman;H L Adler;P T Scardino;B J Miles,2000-06-01,104,2.19,P50CA092629,2001-09-14T12:09:00Z,470
P50CA092629,10820429,Dimerization-dependent block of the proapoptotic effect of p75(NTR).,J J Wang;S Rabizadeh;A Tasinato;S Sperandio;X Ye;M Green;N Assa-Munt;D Spencer;D E Bredesen,2000-06-01,37,0.57,P50CA092629,2001-09-14T12:09:00Z,470
P50CA092629,10843289,Lymphovascular invasion as a predictor of disease progression in prostate cancer.,C M Herman;G E Wilcox;M W Kattan;P T Scardino;T M Wheeler,2000-06-01,72,1.73,P50CA092629,2001-09-14T12:09:00Z,470
P50CA092629,10861502,Epidemiologic determinants of clinically relevant prostate cancer.,M R Spitz;S S Strom;Y Yamamura;P Troncoso;R J Babaian;P T Scardino;T Wheeler;C I Amos;A von Eschenbach;J Kagan,2000-05-20,33,0.72,P50CA092629,2001-09-14T12:09:00Z,482
P50CA092629,10861743,Mouse prostate reconstitution model system: A series of in vivo and in vitro models for benign and malignant prostatic disease.,T C Thompson;T L Timme;S H Park;G Yang;C Ren,2000-06-01,25,0.53,P50CA092629,2001-09-14T12:09:00Z,470
