project_num	core_project_num	appl_id	fiscal_year	project_title	abstract_text	pref_terms	org_name	org_city	org_state	org_country	principal_investigators	program_officers	award_amount	agency_ic_fundings	award_notice_date	project_start_date	project_end_date	full_foa	api_source_search
3U24CA086368-20S1	U24CA086368	10375645	2021	The Early Detection Research Network: Data Management and Coordinating Center	"﻿   
DESCRIPTION (provided by applicant): The key for the Early Detection Research Network (EDRN)'s success lies in good communication among scientists in multiple disciplines; efficient evaluation and prioritization of promising biomarkers; and rigorous validation studies to demonstrate their clinical utility. The overall aims of the proposed renewal of the Data Management and Coordinating Center (DMCC) are to (i) provide coordination of EDRN in order to enhance communication and collaboration among EDRN investigators and with general scientific communities; (ii) coordinate EDRN validation studies; (iii) disseminate cancer biomarker information to broader scientific communities and the public; and (iv) mange the EDRN Core funds. Under the direction of the EDRN Steering Committee, the DMCC will 1) perform network coordination and promote collaborations among scientific investigators by providing support for EDRN meetings and workshops, developing and maintaining EDRN secure websites and listservs, producing and maintaining all EDRN documents, and maintaining the online review system for applications submitted to the EDRN; 2) support EDRN validation studies by developing and maintaining validation study data management systems; working with EDRN investigator on study design, protocol development, data forms, and study manuals; coordinating and monitoring studies; tracking specimens; and performing QA/QC and study evaluation; 3) work with the NCI and JPL to provide informatics resources for the EDRN Secure Web site for data security, data warehousing, and data sharing, and a Public Web site for dissemination; and 4) work closely with the EDRN SC and the NCI Project Coordinator and FHCRC OSR to timely activate the core funds after the EDRN SC approval and ensure the compliance of all regulatory requirements for sub-award management."	Adherence;Award;Biological Markers;Cancer Burden;Clinical;Collaborations;Collection;Communication;Communities;Computing Methodologies;Data;Data Analyses;Data Collection;Data Coordinating Center;Data Management Resources;Data Security;Development;Discipline;Early Detection Research Network;Early Diagnosis;Educational workshop;Ensure;Evaluation;Evaluation Studies;Fred Hutchinson Cancer Research Center;Funding;Informatics;Information Networks;Information Technology;Infrastructure;Lead;Logistics;Manuals;Manuscripts;Monitor;Multi-Institutional Clinical Trial;NIH Grants and Contracts;North Carolina;Observational Study;Preparation;Procedures;Protocols documentation;Public Health;Publishing;Quality Control;Reporting;Research;Research Design;Research Personnel;Resource Informatics;Scientist;Secure;Services;Site;Software Design;Specimen;System;Telephone;Testing;Time;To specify;Universities;University of Texas M D Anderson Cancer Center;Validation;Women&apos;s Health;Work;anticancer research;biomarker evaluation;biomedical informatics;cancer biomarkers;data management;data quality;data sharing;data submission;data warehouse;experience;innovation;mange;meetings;network informatics;operation;protocol development;public health relevance;quality assurance;response;sample collection;software development;statistical service;statistics;success;symposium;validation studies;web site	FRED HUTCHINSON CANCER RESEARCH CENTER	SEATTLE	WA	UNITED STATES	James Dai, Ziding Feng, Yingye Zheng	Guillermo Marquez	1333448	1333448	2021-04-19T12:04:00Z	2000-04-14T12:04:00Z	2022-03-31T12:03:00Z	RFA-CA-14-017	nofo_CA-14-017
6U24CA086368-21	U24CA086368	10656932	2021	The Early Detection Research Network: Data Management and Coordinating Center	"﻿   
DESCRIPTION (provided by applicant): The key for the Early Detection Research Network (EDRN)'s success lies in good communication among scientists in multiple disciplines; efficient evaluation and prioritization of promising biomarkers; and rigorous validation studies to demonstrate their clinical utility. The overall aims of the proposed renewal of the Data Management and Coordinating Center (DMCC) are to (i) provide coordination of EDRN in order to enhance communication and collaboration among EDRN investigators and with general scientific communities; (ii) coordinate EDRN validation studies; (iii) disseminate cancer biomarker information to broader scientific communities and the public; and (iv) mange the EDRN Core funds. Under the direction of the EDRN Steering Committee, the DMCC will 1) perform network coordination and promote collaborations among scientific investigators by providing support for EDRN meetings and workshops, developing and maintaining EDRN secure websites and listservs, producing and maintaining all EDRN documents, and maintaining the online review system for applications submitted to the EDRN; 2) support EDRN validation studies by developing and maintaining validation study data management systems; working with EDRN investigator on study design, protocol development, data forms, and study manuals; coordinating and monitoring studies; tracking specimens; and performing QA/QC and study evaluation; 3) work with the NCI and JPL to provide informatics resources for the EDRN Secure Web site for data security, data warehousing, and data sharing, and a Public Web site for dissemination; and 4) work closely with the EDRN SC and the NCI Project Coordinator and FHCRC OSR to timely activate the core funds after the EDRN SC approval and ensure the compliance of all regulatory requirements for sub-award management."		FRED HUTCHINSON CANCER CENTER	Seattle	WA	UNITED STATES	James Dai, Ziding Feng, Yingye Zheng	Guillermo Marquez	739346	739346	2022-07-01T12:07:00Z	2000-04-14T12:04:00Z	2022-08-31T12:08:00Z	RFA-CA-14-017	nofo_CA-14-017
5U24CA086368-20	U24CA086368	9904496	2020	The Early Detection Research Network: Data Management and Coordinating Center	"﻿   
DESCRIPTION (provided by applicant): The key for the Early Detection Research Network (EDRN)'s success lies in good communication among scientists in multiple disciplines; efficient evaluation and prioritization of promising biomarkers; and rigorous validation studies to demonstrate their clinical utility. The overall aims of the proposed renewal of the Data Management and Coordinating Center (DMCC) are to (i) provide coordination of EDRN in order to enhance communication and collaboration among EDRN investigators and with general scientific communities; (ii) coordinate EDRN validation studies; (iii) disseminate cancer biomarker information to broader scientific communities and the public; and (iv) mange the EDRN Core funds. Under the direction of the EDRN Steering Committee, the DMCC will 1) perform network coordination and promote collaborations among scientific investigators by providing support for EDRN meetings and workshops, developing and maintaining EDRN secure websites and listservs, producing and maintaining all EDRN documents, and maintaining the online review system for applications submitted to the EDRN; 2) support EDRN validation studies by developing and maintaining validation study data management systems; working with EDRN investigator on study design, protocol development, data forms, and study manuals; coordinating and monitoring studies; tracking specimens; and performing QA/QC and study evaluation; 3) work with the NCI and JPL to provide informatics resources for the EDRN Secure Web site for data security, data warehousing, and data sharing, and a Public Web site for dissemination; and 4) work closely with the EDRN SC and the NCI Project Coordinator and FHCRC OSR to timely activate the core funds after the EDRN SC approval and ensure the compliance of all regulatory requirements for sub-award management."	Adherence;Award;Biological Markers;Cancer Burden;Clinical;Collaborations;Collection;Communication;Communities;Computing Methodologies;Data;Data Analyses;Data Collection;Data Coordinating Center;Data Management Resources;Data Security;Development;Discipline;Early Detection Research Network;Early Diagnosis;Educational workshop;Ensure;Evaluation;Evaluation Studies;Fred Hutchinson Cancer Research Center;Funding;Informatics;Information Networks;Information Technology;Infrastructure;Lead;Logistics;Manuals;Manuscripts;Monitor;Multi-Institutional Clinical Trial;NIH Grants and Contracts;North Carolina;Observational Study;Preparation;Procedures;Protocols documentation;Public Health;Publishing;Quality Control;Reporting;Research;Research Design;Research Personnel;Resource Informatics;Scientist;Secure;Services;Site;Software Design;Specimen;System;Telephone;Testing;Time;To specify;Universities;University of Texas M D Anderson Cancer Center;Validation;Women&apos;s Health;Work;anticancer research;biomarker evaluation;biomedical informatics;cancer biomarkers;data management;data quality;data sharing;data submission;data warehouse;experience;innovation;mange;meetings;network informatics;operation;protocol development;public health relevance;quality assurance;response;sample collection;software development;statistical service;statistics;success;symposium;validation studies;web site	FRED HUTCHINSON CANCER RESEARCH CENTER	SEATTLE	WA	UNITED STATES	James Dai, Ziding Feng, Yingye Zheng	Guillermo Marquez	4684501	4684501	2020-04-01T12:04:00Z	2000-04-14T12:04:00Z	2022-03-31T12:03:00Z	RFA-CA-14-017	nofo_CA-14-017
5U24CA086368-19	U24CA086368	9672380	2019	The Early Detection Research Network: Data Management and Coordinating Center	"﻿   
DESCRIPTION (provided by applicant): The key for the Early Detection Research Network (EDRN)'s success lies in good communication among scientists in multiple disciplines; efficient evaluation and prioritization of promising biomarkers; and rigorous validation studies to demonstrate their clinical utility. The overall aims of the proposed renewal of the Data Management and Coordinating Center (DMCC) are to (i) provide coordination of EDRN in order to enhance communication and collaboration among EDRN investigators and with general scientific communities; (ii) coordinate EDRN validation studies; (iii) disseminate cancer biomarker information to broader scientific communities and the public; and (iv) mange the EDRN Core funds. Under the direction of the EDRN Steering Committee, the DMCC will 1) perform network coordination and promote collaborations among scientific investigators by providing support for EDRN meetings and workshops, developing and maintaining EDRN secure websites and listservs, producing and maintaining all EDRN documents, and maintaining the online review system for applications submitted to the EDRN; 2) support EDRN validation studies by developing and maintaining validation study data management systems; working with EDRN investigator on study design, protocol development, data forms, and study manuals; coordinating and monitoring studies; tracking specimens; and performing QA/QC and study evaluation; 3) work with the NCI and JPL to provide informatics resources for the EDRN Secure Web site for data security, data warehousing, and data sharing, and a Public Web site for dissemination; and 4) work closely with the EDRN SC and the NCI Project Coordinator and FHCRC OSR to timely activate the core funds after the EDRN SC approval and ensure the compliance of all regulatory requirements for sub-award management."	Adherence;Award;Biological Markers;Cancer Burden;Clinical;Collaborations;Collection;Communication;Communities;Computing Methodologies;Data;Data Analyses;Data Collection;Data Coordinating Center;Data Quality;Data Security;Development;Discipline;Early Detection Research Network;Early Diagnosis;Educational workshop;Ensure;Evaluation;Evaluation Studies;Fred Hutchinson Cancer Research Center;Funding;Informatics;Information Networks;Information Technology;Infrastructure;Lead;Logistics;Manuals;Manuscripts;Monitor;Multi-Institutional Clinical Trial;NIH Grants and Contracts;North Carolina;Observational Study;Preparation;Procedures;Protocols documentation;Public Health;Publishing;Quality Control;Reporting;Research;Research Design;Research Personnel;Resource Informatics;Scientist;Secure;Services;Site;Software Design;Specimen;System;Telephone;Testing;Time;To specify;Universities;University of Texas M D Anderson Cancer Center;Validation;Women&apos;s Health;Work;anticancer research;biomarker evaluation;biomedical informatics;cancer biomarkers;data management;data sharing;data submission;data warehouse;experience;innovation;mange;meetings;operation;protocol development;public health relevance;quality assurance;response;sample collection;software development;statistical service;statistics;success;symposium;validation studies;web site	FRED HUTCHINSON CANCER RESEARCH CENTER	SEATTLE	WA	UNITED STATES	Ziding Feng	Guillermo Marquez	3583736	3583736	2019-04-01T12:04:00Z	2000-04-14T12:04:00Z	2021-03-31T12:03:00Z	RFA-CA-14-017	nofo_CA-14-017
5U24CA086368-18	U24CA086368	9458091	2018	The Early Detection Research Network: Data Management and Coordinating Center	"﻿   
DESCRIPTION (provided by applicant): The key for the Early Detection Research Network (EDRN)'s success lies in good communication among scientists in multiple disciplines; efficient evaluation and prioritization of promising biomarkers; and rigorous validation studies to demonstrate their clinical utility. The overall aims of the proposed renewal of the Data Management and Coordinating Center (DMCC) are to (i) provide coordination of EDRN in order to enhance communication and collaboration among EDRN investigators and with general scientific communities; (ii) coordinate EDRN validation studies; (iii) disseminate cancer biomarker information to broader scientific communities and the public; and (iv) mange the EDRN Core funds. Under the direction of the EDRN Steering Committee, the DMCC will 1) perform network coordination and promote collaborations among scientific investigators by providing support for EDRN meetings and workshops, developing and maintaining EDRN secure websites and listservs, producing and maintaining all EDRN documents, and maintaining the online review system for applications submitted to the EDRN; 2) support EDRN validation studies by developing and maintaining validation study data management systems; working with EDRN investigator on study design, protocol development, data forms, and study manuals; coordinating and monitoring studies; tracking specimens; and performing QA/QC and study evaluation; 3) work with the NCI and JPL to provide informatics resources for the EDRN Secure Web site for data security, data warehousing, and data sharing, and a Public Web site for dissemination; and 4) work closely with the EDRN SC and the NCI Project Coordinator and FHCRC OSR to timely activate the core funds after the EDRN SC approval and ensure the compliance of all regulatory requirements for sub-award management."	Adherence;Award;Biological Markers;Cancer Burden;Clinical;Collaborations;Collection;Communication;Communities;Computing Methodologies;Data;Data Analyses;Data Collection;Data Coordinating Center;Data Quality;Data Security;Development;Discipline;Early Detection Research Network;Early Diagnosis;Educational workshop;Ensure;Evaluation;Evaluation Studies;Fred Hutchinson Cancer Research Center;Funding;Informatics;Information Networks;Information Technology;Lead;Logistics;Manuals;Manuscripts;Monitor;Multi-Institutional Clinical Trial;NIH Grants and Contracts;North Carolina;Observational Study;Preparation;Procedures;Protocols documentation;Public Health;Publishing;Quality Control;Reporting;Research;Research Design;Research Infrastructure;Research Personnel;Resource Informatics;Scientist;Secure;Services;Site;Software Design;Specimen;System;Telephone;Testing;Time;To specify;Universities;University of Texas M D Anderson Cancer Center;Validation;Women&apos;s Health;Work;anticancer research;biomarker evaluation;biomedical informatics;cancer biomarkers;data management;data sharing;data submission;data warehouse;experience;innovation;mange;meetings;operation;protocol development;public health relevance;quality assurance;response;sample collection;software development;statistical service;statistics;success;symposium;validation studies;web site	FRED HUTCHINSON CANCER RESEARCH CENTER	SEATTLE	WA	UNITED STATES	Ziding Feng, Margaret S. Pepe, Mark Thornquist	Guillermo Marquez	3911862	3911862	2018-03-23T12:03:00Z	2000-04-14T12:04:00Z	2021-03-31T12:03:00Z	RFA-CA-14-017	nofo_CA-14-017
5U24CA086368-17	U24CA086368	9274926	2017	The Early Detection Research Network: Data Management and Coordinating Center	"﻿   
DESCRIPTION (provided by applicant): The key for the Early Detection Research Network (EDRN)'s success lies in good communication among scientists in multiple disciplines; efficient evaluation and prioritization of promising biomarkers; and rigorous validation studies to demonstrate their clinical utility. The overall aims of the proposed renewal of the Data Management and Coordinating Center (DMCC) are to (i) provide coordination of EDRN in order to enhance communication and collaboration among EDRN investigators and with general scientific communities; (ii) coordinate EDRN validation studies; (iii) disseminate cancer biomarker information to broader scientific communities and the public; and (iv) mange the EDRN Core funds. Under the direction of the EDRN Steering Committee, the DMCC will 1) perform network coordination and promote collaborations among scientific investigators by providing support for EDRN meetings and workshops, developing and maintaining EDRN secure websites and listservs, producing and maintaining all EDRN documents, and maintaining the online review system for applications submitted to the EDRN; 2) support EDRN validation studies by developing and maintaining validation study data management systems; working with EDRN investigator on study design, protocol development, data forms, and study manuals; coordinating and monitoring studies; tracking specimens; and performing QA/QC and study evaluation; 3) work with the NCI and JPL to provide informatics resources for the EDRN Secure Web site for data security, data warehousing, and data sharing, and a Public Web site for dissemination; and 4) work closely with the EDRN SC and the NCI Project Coordinator and FHCRC OSR to timely activate the core funds after the EDRN SC approval and ensure the compliance of all regulatory requirements for sub-award management."	Adherence;Award;Biological Markers;Cancer Burden;Clinical;Collaborations;Collection;Communication;Communities;Computing Methodologies;Data;Data Analyses;Data Collection;Data Coordinating Center;Data Quality;Data Security;Development;Discipline;Early Detection Research Network;Early Diagnosis;Educational workshop;Ensure;Evaluation;Evaluation Studies;Fred Hutchinson Cancer Research Center;Funding;Informatics;Information Networks;Information Technology;Lead;Logistics;Manuals;Manuscripts;Monitor;Multi-Institutional Clinical Trial;NIH Grants and Contracts;North Carolina;Observational Study;Pathway Analysis;Preparation;Procedures;Protocols documentation;Public Health;Publishing;Quality Control;Reporting;Research;Research Design;Research Infrastructure;Research Personnel;Resource Informatics;Scientist;Secure;Services;Site;Software Design;Specimen;System;Telephone;Testing;Time;To specify;Universities;University of Texas M D Anderson Cancer Center;Validation;Women&apos;s Health;Work;anticancer research;biomarker evaluation;biomedical informatics;cancer biomarkers;data management;data sharing;experience;innovation;mange;meetings;operation;protocol development;public health relevance;quality assurance;response;sample collection;software development;statistical service;statistics;success;symposium;validation studies;web site	FRED HUTCHINSON CANCER RESEARCH CENTER	SEATTLE	WA	UNITED STATES	Ziding Feng, Margaret S. Pepe, Mark Thornquist	Guillermo Marquez	3081408	3081408	2017-03-21T12:03:00Z	2000-04-14T12:04:00Z	2021-03-31T12:03:00Z	RFA-CA-14-017	nofo_CA-14-017
2U24CA086368-16	U24CA086368	8996045	2016	The Early Detection Research Network: Data Management and Coordinating Center	"﻿   
DESCRIPTION (provided by applicant): The key for the Early Detection Research Network (EDRN)'s success lies in good communication among scientists in multiple disciplines; efficient evaluation and prioritization of promising biomarkers; and rigorous validation studies to demonstrate their clinical utility. The overall aims of the proposed renewal of the Data Management and Coordinating Center (DMCC) are to (i) provide coordination of EDRN in order to enhance communication and collaboration among EDRN investigators and with general scientific communities; (ii) coordinate EDRN validation studies; (iii) disseminate cancer biomarker information to broader scientific communities and the public; and (iv) mange the EDRN Core funds. Under the direction of the EDRN Steering Committee, the DMCC will 1) perform network coordination and promote collaborations among scientific investigators by providing support for EDRN meetings and workshops, developing and maintaining EDRN secure websites and listservs, producing and maintaining all EDRN documents, and maintaining the online review system for applications submitted to the EDRN; 2) support EDRN validation studies by developing and maintaining validation study data management systems; working with EDRN investigator on study design, protocol development, data forms, and study manuals; coordinating and monitoring studies; tracking specimens; and performing QA/QC and study evaluation; 3) work with the NCI and JPL to provide informatics resources for the EDRN Secure Web site for data security, data warehousing, and data sharing, and a Public Web site for dissemination; and 4) work closely with the EDRN SC and the NCI Project Coordinator and FHCRC OSR to timely activate the core funds after the EDRN SC approval and ensure the compliance of all regulatory requirements for sub-award management.   
   
"	Adherence;Award;Biological Markers;Cancer Burden;Clinical;Collaborations;Collection;Communication;Communities;Computing Methodologies;Data;Data Analyses;Data Collection;Data Coordinating Center;Data Quality;Data Security;Development;Discipline;Early Detection Research Network;Early Diagnosis;Educational workshop;Ensure;Evaluation;Evaluation Studies;Fred Hutchinson Cancer Research Center;Funding;Informatics;Information Technology;Lead;Manuals;Manuscripts;Monitor;Multi-Institutional Clinical Trial;NIH Grants and Contracts;North Carolina;Observational Study;Preparation;Procedures;Protocols documentation;Public Health;Publishing;Quality Control;Reporting;Research;Research Design;Research Infrastructure;Research Personnel;Resource Informatics;Scientist;Secure;Services;Site;Specimen;System;Telephone;Testing;To specify;Universities;University of Texas M D Anderson Cancer Center;Validation;Women&apos;s Health;Work;anticancer research;biomarker evaluation;biomedical informatics;cancer biomarkers;data management;data sharing;design;experience;innovation;mange;meetings;operation;protocol development;public health relevance;quality assurance;response;sample collection;software development;statistical service;statistics;success;symposium;validation studies;web site	FRED HUTCHINSON CANCER RESEARCH CENTER	SEATTLE	WA	UNITED STATES	Ziding Feng, Margaret S. Pepe, Mark Thornquist	Guillermo Marquez	3099999	3099999	2016-05-17T12:05:00Z	2000-04-14T12:04:00Z	2021-03-31T12:03:00Z	RFA-CA-14-017	nofo_CA-14-017
3U24CA086368-16S1	U24CA086368	9343187	2016	The Early Detection Research Network: Data Management and Coordinating Center	"﻿   
DESCRIPTION (provided by applicant): The key for the Early Detection Research Network (EDRN)'s success lies in good communication among scientists in multiple disciplines; efficient evaluation and prioritization of promising biomarkers; and rigorous validation studies to demonstrate their clinical utility. The overall aims of the proposed renewal of the Data Management and Coordinating Center (DMCC) are to (i) provide coordination of EDRN in order to enhance communication and collaboration among EDRN investigators and with general scientific communities; (ii) coordinate EDRN validation studies; (iii) disseminate cancer biomarker information to broader scientific communities and the public; and (iv) mange the EDRN Core funds. Under the direction of the EDRN Steering Committee, the DMCC will 1) perform network coordination and promote collaborations among scientific investigators by providing support for EDRN meetings and workshops, developing and maintaining EDRN secure websites and listservs, producing and maintaining all EDRN documents, and maintaining the online review system for applications submitted to the EDRN; 2) support EDRN validation studies by developing and maintaining validation study data management systems; working with EDRN investigator on study design, protocol development, data forms, and study manuals; coordinating and monitoring studies; tracking specimens; and performing QA/QC and study evaluation; 3) work with the NCI and JPL to provide informatics resources for the EDRN Secure Web site for data security, data warehousing, and data sharing, and a Public Web site for dissemination; and 4) work closely with the EDRN SC and the NCI Project Coordinator and FHCRC OSR to timely activate the core funds after the EDRN SC approval and ensure the compliance of all regulatory requirements for sub-award management."	Adherence;Award;Biological Markers;Cancer Burden;Clinical;Collaborations;Collection;Communication;Communities;Computing Methodologies;Data;Data Analyses;Data Collection;Data Coordinating Center;Data Quality;Data Security;Development;Discipline;Early Detection Research Network;Early Diagnosis;Educational workshop;Ensure;Evaluation;Evaluation Studies;Fred Hutchinson Cancer Research Center;Funding;Health;Informatics;Information Technology;Lead;Manuals;Manuscripts;Monitor;Multi-Institutional Clinical Trial;NIH Grants and Contracts;North Carolina;Observational Study;Preparation;Procedures;Protocols documentation;Public Health;Publishing;Quality Control;Reporting;Research;Research Design;Research Infrastructure;Research Personnel;Resource Informatics;Scientist;Secure;Services;Site;Specimen;System;Telephone;Testing;To specify;Universities;University of Texas M D Anderson Cancer Center;Validation;Women&apos;s Health;Work;anticancer research;biomarker evaluation;biomedical informatics;cancer biomarkers;data management;data sharing;design;experience;innovation;mange;meetings;operation;protocol development;quality assurance;response;sample collection;software development;statistical service;statistics;success;symposium;validation studies;web site	FRED HUTCHINSON CANCER RESEARCH CENTER	SEATTLE	WA	UNITED STATES	Ziding Feng, Margaret S. Pepe, Mark Thornquist	Hector Nelson Aguila	3574063	3574063	2016-09-02T12:09:00Z	2000-04-14T12:04:00Z	2021-03-31T12:03:00Z	RFA-CA-14-017	nofo_CA-14-017
5U24CA086368-23	U24CA086368	10686108	2023	The Early Detection Research Network: Data Management and Coordinating Center	"Project Summary
The key for the Early Detection Research Network (EDRN)'s success lies in good communication among
scientists in multiple disciplines; efficient evaluation and prioritization of promising biomarkers; and rigorous
validation studies to demonstrate their clinical utility. The overall aims of the proposed renewal of the Data
Management and Coordinating Center (DMCC) are to (i) provide coordination of EDRN in order to enhance
communication and collaboration among EDRN investigators and with general scientific communities; (ii)
coordinate EDRN validation studies and provide leadership in data science; (iii) disseminate cancer biomarker
information to broader scientific communities and the public; and (iv) manage the EDRN Core funds. Under the
direction of the EDRN Steering Committee, the DMCC will 1) perform network coordination and outreach and
promote collaborations among scientific investigators by providing support for EDRN meetings and workshops,
developing and maintaining EDRN secure websites and listservs, producing and maintaining all EDRN
documents, and maintaining the online review system for applications submitted to the EDRN; 2) support
EDRN validation studies by developing and maintaining validation study data management systems; working
with EDRN investigators on study design, protocol development, data forms, and study manuals; coordinating
and monitoring studies; tracking specimens; and performing QA/QC and study evaluation; and provide and
promote best statistical and computational practices to EDRN studies; 3) work with the NCI and JPL to provide
informatics resources for the EDRN Secure Web site for data security, data warehousing, and data sharing,
and a Public Web site for dissemination; and 4) work closely with the EDRN SC and the NCI Project
Coordinator and Fred Hutch OSR to timely activate the core funds after the EDRN SC approval and ensure the
compliance of all regulatory requirements for sub-award management."	Adherence;Biological Markers;Biometry;Cancer Burden;Clinical;Collaborations;Collection;Communication;Communities;Community Outreach;Computer Analysis;Computer software;Data;Data Analyses;Data Collection;Data Management Resources;Data Science;Data Security;Development;Discipline;Early Detection Research Network;Early Diagnosis;Educational workshop;Ensure;Evaluation;Evaluation Studies;Fred Hutchinson Cancer Research Center;Funding;Image;Informatics;Information Networks;Information Technology;Infrastructure;Lead;Leadership;Manuals;Manuscripts;Methodology;Mission;Modeling;Monitor;Multi-Institutional Clinical Trial;Multicenter Studies;NIH Grants and Contracts;Observational Study;Preparation;Procedures;Protocols documentation;Public Health;Publishing;Quality Control;Reporting;Research;Research Design;Research Personnel;Resource Informatics;Scientific Advances and Accomplishments;Scientist;Secure;Services;Software Design;Specific qualifier value;Specimen;System;Telephone;Testing;Time;Universities;Washington;Women&apos;s Health;Work;anticancer research;biomarker evaluation;biomedical informatics;cancer biomarkers;data management;data quality;data sharing;data submission;data warehouse;experience;innovation;meetings;network informatics;operation;outreach;protocol development;quality assurance;response;sample collection;software development;statistical service;success;symposium;tool;validation studies;web site	FRED HUTCHINSON CANCER CENTER	Seattle	WA	UNITED STATES	Ruth D Etzioni, Ziding Feng, Yingye Zheng	Guillermo Marquez	8841413	8841413	2023-07-27T12:07:00Z	2000-04-14T12:04:00Z	2027-07-31T12:07:00Z	RFA-CA-21-034	nofo_CA-21-034
2U24CA086368-22	U24CA086368	10484311	2022	The Early Detection Research Network: Data Management and Coordinating Center	"Project Summary
The key for the Early Detection Research Network (EDRN)'s success lies in good communication among
scientists in multiple disciplines; efficient evaluation and prioritization of promising biomarkers; and rigorous
validation studies to demonstrate their clinical utility. The overall aims of the proposed renewal of the Data
Management and Coordinating Center (DMCC) are to (i) provide coordination of EDRN in order to enhance
communication and collaboration among EDRN investigators and with general scientific communities; (ii)
coordinate EDRN validation studies and provide leadership in data science; (iii) disseminate cancer biomarker
information to broader scientific communities and the public; and (iv) manage the EDRN Core funds. Under the
direction of the EDRN Steering Committee, the DMCC will 1) perform network coordination and outreach and
promote collaborations among scientific investigators by providing support for EDRN meetings and workshops,
developing and maintaining EDRN secure websites and listservs, producing and maintaining all EDRN
documents, and maintaining the online review system for applications submitted to the EDRN; 2) support
EDRN validation studies by developing and maintaining validation study data management systems; working
with EDRN investigators on study design, protocol development, data forms, and study manuals; coordinating
and monitoring studies; tracking specimens; and performing QA/QC and study evaluation; and provide and
promote best statistical and computational practices to EDRN studies; 3) work with the NCI and JPL to provide
informatics resources for the EDRN Secure Web site for data security, data warehousing, and data sharing,
and a Public Web site for dissemination; and 4) work closely with the EDRN SC and the NCI Project
Coordinator and Fred Hutch OSR to timely activate the core funds after the EDRN SC approval and ensure the
compliance of all regulatory requirements for sub-award management."	Adherence;Award;Biological Markers;Biometry;Cancer Burden;Clinical;Collaborations;Collection;Communication;Communities;Community Outreach;Computer Analysis;Computer software;Data;Data Analyses;Data Collection;Data Coordinating Center;Data Management Resources;Data Science;Data Security;Development;Discipline;Early Detection Research Network;Early Diagnosis;Educational workshop;Ensure;Evaluation;Evaluation Studies;Fred Hutchinson Cancer Research Center;Funding;Image;Informatics;Information Networks;Information Technology;Infrastructure;Lead;Leadership;Logistics;Manuals;Manuscripts;Methodology;Mission;Modeling;Monitor;Multi-Institutional Clinical Trial;Multicenter Studies;NIH Grants and Contracts;Observational Study;Preparation;Procedures;Protocols documentation;Public Health;Publishing;Quality Control;Reporting;Research;Research Design;Research Personnel;Resource Informatics;Scientist;Secure;Services;Software Design;Specimen;System;Telephone;Testing;Time;To specify;Universities;Washington;Women&apos;s Health;Work;anticancer research;biomarker evaluation;biomedical informatics;cancer biomarkers;data management;data quality;data sharing;data submission;data warehouse;experience;innovation;meetings;network informatics;operation;outreach;protocol development;quality assurance;response;sample collection;software development;statistical service;success;symposium;tool;validation studies;web site	FRED HUTCHINSON CANCER CENTER	Seattle	WA	UNITED STATES	Ruth D Etzioni, Ziding Feng, Yingye Zheng	Guillermo Marquez	7273306	7273306	2022-08-18T12:08:00Z	2000-04-14T12:04:00Z	2027-07-31T12:07:00Z	RFA-CA-21-034	nofo_CA-21-034
