project_id,project_title,abstract_text,project_start_date,project_end_date,opportunity_number,api_source_search,org_name,org_city,org_state,org_country,program.program_id
26114002B91,Development and Expansion of Digital Tools to Support Smoking Cessation,"Earlier this year, NCI launched the Cancer Center Cessation Initiative. Begun as part of the Cancer Moonshot℠, the initiative is intended to provide resources for NCI-designated cancer centers (Centers) to expand existing efforts intended to help their patients who are smokers to stop smoking. The purpose of the initiative is to provide financial and technical support to cancer centers to over 40 Centers across the US that they will use to increase their resources for smoking cessation, to implement more comprehensive cessation services, and to provide those services to more patients being treated at their centers—what we call “reach.” This Task Order will support the development and extension of web-based and digital tools creating a virtual toolkit that Centers may draw from to extend their engagement, research, and evaluation efforts.",2019-09-15T12:09:00Z,2020-09-14T12:09:00Z,,award_26114002B91019F00132-0-0-1,"ICF MACRO, INC.",Reston,VA,UNITED STATES,c3i
26120080000,Burkitt Lymphoma Genome Sequencing Project (BLGSP),"Burkitt Lymphoma (BL) patients would benefit from improved treatment modalities. Current chemotherapy is ineffective in approximately 20% of cases and is associated with therapy-induced toxicity and death. BL patients over 70 years of age are ineligible for potentially curative therapy because of the toxicity. Young individuals exposed to the intensive regimens face the real possibility of secondary malignancies years later. Finally, African children with endemic BL in general do not receive these curative chemotherapy regimens due to the lack of hospital support for the management of post-treatment infections, and consequently most will die of their disease. The overall goal of the project are, (not all of them funded by the YT: to develop a comprehensive database of molecular changes in Burkitt Lymphoma (BL)and make the data available to the scientific community. This will be accomplished by comprehensive molecular characterization of the DNA and RNA from BL cases, analysis of the results to identify molecular alterations (mutations or other changes), and define affected pathways, correlations between genotype and phenotype and others Determine the frequency of these alterations in another cohort. BLGSP gets input from an expert group of clinicians and cancer researchers including NCI¿s Drs. Staudt, Wilson and Jaffe, Dr. Noy from MSKCC, Dr. Dalla-Favera from CU and John Chan from UNMC.",2008-09-26T12:09:00Z,2018-09-25T12:09:00Z,,award_261200800001E-52-0-113,"LEIDOS BIOMEDICAL RESEARCH, INC.",FREDERICK,MD,UNITED STATES,cgci
26120150000,HIV and Tumor Molecular Characterization Project (HTMCP),HIV and Tumor Molecular Characterization Project (HTMCP),2018-09-24T12:09:00Z,2022-03-31T12:03:00Z,,award_261201500003I-0-26100065-1,"LEIDOS BIOMEDICAL RESEARCH, INC.",FREDERICK,MD,UNITED STATES,cgci
P20CA242611,2/2 Howard-Georgetown Collaborative Partnership in Cancer Research,"Overall Abstract The overarching goal of the NCI Collaborative P20 Partnership in Cancer Research is to enhance cancer research capacity at Howard University and increase participation in cancer health disparities research at Georgetown Lombardi Comprehensive Cancer Center (GU). The Partnership goals will be achieved through two primary mechanisms: pilot research projects and cancer research education. The P20 will benefit from the guidance of an Internal Advisory Committee (IAC) made up of highly qualified and experienced scientists. The Research Pilot Projects will fund four 2-year collaborative research pilot projects. Each project will include at least one investigator from Howard and one from Georgetown. The investigators will benefit from the HU/GU CTSA and the Shared Resources available at GU. Pilot project 1 will identify candidate genes and genetic pathways associated with Non-Alcoholic Fatty Liver Disease (NAFLD). The research will inform possible biological mechanisms underlying the molecular and genetic signatures of perturbed metabolic and mechanistic pathways in NAFLD patients in an African–American population. Results may lead to innovative non-invasive biomarkers. Research Project 2 will investigate disparities in chronic stress, quality of life, and physical activity among Black and White breast cancer survivors. This study will provide insight into whether an association exists between physical activity and allostatic load in breast cancer survivors. During the course of the award, the P20 Partnership will elicit two additional pilot studies through a competitive process which will be driven by a merit review by the IAC. The expected outcome of the pilot projects is the submission of successful collaborative grant applications supported by the preliminary data obtained via the pilot research. The C-REP will contribute to the goals of the Partnership by engaging a diverse group students and faculty who are under-represented as investigators in biomedical research. A cohort consisting of a mix of college students in their junior or senior year, graduate and professional students will be recruited annually for an intensive 8-week mentored summer research experience. Follow-up mentoring will be provided to promote entry into a graduate or professional program or postdoctoral research training. Postdoctoral fellows and faculty will receive training and mentoring to support attaining a robust, high quality publication record and submission of highly competitive independent research proposals. Mentoring within the C-REP will occur via teams of at least one faculty member from both institutions. The Howard-Georgetown P20 Partnership brings many strengths including a large pool of under- represented students and faculty at Howard University, extensive research resources through GU, and a foundation of longstanding, productive partnerships between the two institutions.",2019-09-01T12:09:00Z,2024-08-31T12:08:00Z,PAR-18-911,nofo_PAR-18-911,GEORGETOWN UNIVERSITY,WASHINGTON,DC,UNITED STATES,pache
P20CA242617,1/2 Howard-Georgetown Collaborative Partnership In Cancer Research,"Overall Abstract The overarching goal of the NCI Collaborative P20 Partnership in Cancer Research is to enhance cancer research capacity at Howard University and increase participation in cancer health disparities research at Georgetown Lombardi Comprehensive Cancer Center (GU). The Partnership goals will be achieved through two primary mechanisms: pilot research projects and cancer research education. The P20 will benefit from the guidance of an Internal Advisory Committee (IAC) made up of highly qualified and experienced scientists. The Research Pilot Projects will fund four 2-year collaborative research pilot projects. Each project will include at least one investigator from Howard and one from Georgetown. The investigators will benefit from the HU/GU CTSA and the Shared Resources available at GU. Pilot project 1 will identify candidate genes and genetic pathways associated with Non-Alcoholic Fatty Liver Disease (NAFLD). The research will inform possible biological mechanisms underlying the molecular and genetic signatures of perturbed metabolic and mechanistic pathways in NAFLD patients in an African–American population. Results may lead to innovative non-invasive biomarkers. Research Project 2 will investigate disparities in chronic stress, quality of life, and physical activity among Black and White breast cancer survivors. This study will provide insight into whether an association exists between physical activity and allostatic load in breast cancer survivors. During the course of the award, the P20 Partnership will elicit two additional pilot studies through a competitive process which will be driven by a merit review by the IAC. The expected outcome of the pilot projects is the submission of successful collaborative grant applications supported by the preliminary data obtained via the pilot research. The C-REP will contribute to the goals of the Partnership by engaging a diverse group students and faculty who are under-represented as investigators in biomedical research. A cohort consisting of a mix of college students in their junior or senior year, graduate and professional students will be recruited annually for an intensive 8-week mentored summer research experience. Follow-up mentoring will be provided to promote entry into a graduate or professional program or postdoctoral research training. Postdoctoral fellows and faculty will receive training and mentoring to support attaining a robust, high quality publication record and submission of highly competitive independent research proposals. Mentoring within the C-REP will occur via teams of at least one faculty member from both institutions. The Howard-Georgetown P20 Partnership brings many strengths including a large pool of under- represented students and faculty at Howard University, extensive research resources through GU, and a foundation of longstanding, productive partnerships between the two institutions.",2019-09-09T12:09:00Z,2024-08-31T12:08:00Z,PAR-18-911,nofo_PAR-18-911,HOWARD UNIVERSITY,WASHINGTON,DC,UNITED STATES,pache
P20CA242619,1/2 Drug Development and Capacity Building: A UCR/CoH-CCC Partnership,"ABSTRACT Cancer drugs in the United States are almost exclusively developed by, tested in, and optimized for European- Americans. Disparities in U.S. drug development are the result of long-standing inequalities that occur throughout the entire drug discovery pipeline. Only a small number of basic, translational and clinical scientists are Latino/Hispanic or Black/African-American. Less than 2-5% of trial participants are Latino/Hispanic or Black/African-American. Yet, in spite of a lack of data, new drugs are approved by the U.S. Food and Drug Administration (FDA) and subsequently prescribed for Latino/Hispanic or Black/African-American patients, without sufficient testing. It is unacceptable, especially in this era of the Precision Medicine Initiative (PMI), that currently our drugs are developed by, and optimized for, only for an exclusive segment of our citizens. We seek to shift this paradigm by strengthening the existing partnership between University of California at Riverside (UCR) and City of Hope Comprehensive Cancer Center (CoH-CCC). In this proposed P20, UCR and CoH-CCC will partner to develop the resources, infrastructure, and training programs necessary to develop the next generation of therapeutics researchers that reflect the ethnic diversity of Inland Southern California. We anticipate that our P20 program will drive new collaborative R01 grants and K01 and T-type training grants. .",2019-09-02T12:09:00Z,2024-08-31T12:08:00Z,PAR-18-911,nofo_PAR-18-911,BECKMAN RESEARCH INSTITUTE/CITY OF HOPE,DUARTE,CA,UNITED STATES,pache
P20CA242620,2/2 Drug Development and Capacity Building: A UCR/CoH-CCC Partnership,"ABSTRACT Cancer drugs in the United States are almost exclusively developed by, tested in, and optimized for European- Americans. Disparities in U.S. drug development are the result of long-standing inequalities that occur throughout the entire drug discovery pipeline. Only a small number of basic, translational and clinical scientists are Latino/Hispanic or Black/African-American. Less than 2-5% of trial participants are Latino/Hispanic or Black/African-American. Yet, in spite of a lack of data, new drugs are approved by the U.S. Food and Drug Administration (FDA) and subsequently prescribed for Latino/Hispanic or Black/African-American patients, without sufficient testing. It is unacceptable, especially in this era of the Precision Medicine Initiative (PMI), that currently our drugs are developed by, and optimized for, only for an exclusive segment of our citizens. We seek to shift this paradigm by strengthening the existing partnership between University of California at Riverside (UCR) and City of Hope Comprehensive Cancer Center (CoH-CCC). In this proposed P20, UCR and CoH-CCC will partner to develop the resources, infrastructure, and training programs necessary to develop the next generation of therapeutics researchers that reflect the ethnic diversity of Inland Southern California. We anticipate that our P20 program will drive new collaborative R01 grants and K01 and T-type training grants. .",2019-09-02T12:09:00Z,2024-08-31T12:08:00Z,PAR-18-911,nofo_PAR-18-911,UNIVERSITY OF CALIFORNIA RIVERSIDE,RIVERSIDE,CA,UNITED STATES,pache
P20CA253251,1/2 CSUF/UCI-CFCCC Cancer Health Disparities Research Program (CHERP),"CSUF/UCI-CFCCC Cancer Health Equity Research Partnership (CHERP) Overall Component: Abstract California State University, Fullerton (CSUF) is an institution serving underserved populations and underrepresented students (ISUPS), and the University of California, Irvine Chao Family Comprehensive Cancer Center (UCI-CFCCC) is an NCI-designated comprehensive cancer center. Together, we plan to establish a collaborative partnership to develop pilot research projects between faculty members at CSUF and UCI-CFCCC that will generate preliminary data for R01 or other competitively funded grant applications, and educate undergraduates (at CSUF) and master's students (at CSUF and UCI) in cancer health disparities research. The Partnership plans to fund five pilot projects, and educate a total of 38 students during the length of the proposed grant period. The overall specific aims of this new cancer-specific partnership are to: plan, implement and evaluate a highly integrated and interactive cancer health disparities partnership between CSUF and UCI- CFCCC; conduct pilot cancer health disparities research projects involving at least one investigator at each institution that advance knowledge regarding cancer health disparities, leading to the submission of competitive grant applications by NIH/NCI and other federal/non-federal agencies; and provide cancer research education to underrepresented undergraduate and graduate students to increase their understanding of cancer health disparities, leading to a larger pool of highly talented future scientists from diverse backgrounds. To accomplish this we will undertake a set of activities organized under four components. The Administrative Core will be responsible for the overall administrative and fiscal aspects of all P20 activities, and will include the Executive Committee and Internal Advisory Committee. Activities will be implemented in three stages: initial planning, implementation, and evaluation. The evaluation effort will be spearheaded by an external evaluator with expertise in multi-component center reviews. The two pilot research projects each focus on a cancer health disparity: the first is a basic science study that will conduct lipidomic profiling, and DNA and RNA sequencing of tumor/NAT paired samples to optimize sample preparation and detect genetic/genomic and transcriptomic differences that are related to African American triple negative breast cancer risk. The second is an epidemiological study that will examine Asian sub-ethnic group differences in ovarian cancer mortality and treatment patterns. The long term goals of this collaborative partnership are to diversity the cancer research workforce and ultimately increase our scientific impact to address the cancer health disparity needs in Orange County, California.",2021-09-22T12:09:00Z,2025-08-31T12:08:00Z,PAR-18-911,nofo_PAR-18-911,CALIFORNIA STATE UNIVERSITY FULLERTON,FULLERTON,CA,UNITED STATES,pache
P20CA253254,2/2 CSUF/UCI-CFCCC Cancer Health Equity Research Partnership (CHERP),"CSUF/UCI-CFCCC Cancer Health Equity Research Partnership (CHERP) Overall Component: Abstract California State University, Fullerton (CSUF) is an institution serving underserved populations and underrepresented students (ISUPS), and the University of California, Irvine Chao Family Comprehensive Cancer Center (UCI-CFCCC) is an NCI-designated comprehensive cancer center. Together, we plan to establish a collaborative partnership to develop pilot research projects between faculty members at CSUF and UCI-CFCCC that will generate preliminary data for R01 or other competitively funded grant applications, and educate undergraduates (at CSUF) and master's students (at CSUF and UCI) in cancer health disparities research. The Partnership plans to fund five pilot projects, and educate a total of 38 students during the length of the proposed grant period. The overall specific aims of this new cancer-specific partnership are to: plan, implement and evaluate a highly integrated and interactive cancer health disparities partnership between CSUF and UCI- CFCCC; conduct pilot cancer health disparities research projects involving at least one investigator at each institution that advance knowledge regarding cancer health disparities, leading to the submission of competitive grant applications by NIH/NCI and other federal/non-federal agencies; and provide cancer research education to underrepresented undergraduate and graduate students to increase their understanding of cancer health disparities, leading to a larger pool of highly talented future scientists from diverse backgrounds. To accomplish this we will undertake a set of activities organized under four components. The Administrative Core will be responsible for the overall administrative and fiscal aspects of all P20 activities, and will include the Executive Committee and Internal Advisory Committee. Activities will be implemented in three stages: initial planning, implementation, and evaluation. The evaluation effort will be spearheaded by an external evaluator with expertise in multi-component center reviews. The two pilot research projects each focus on a cancer health disparity: the first is a basic science study that will conduct lipidomic profiling, and DNA and RNA sequencing of tumor/NAT paired samples to optimize sample preparation and detect genetic/genomic and transcriptomic differences that are related to African American triple negative breast cancer risk. The second is an epidemiological study that will examine Asian sub-ethnic group differences in ovarian cancer mortality and treatment patterns. The long term goals of this collaborative partnership are to diversity the cancer research workforce and ultimately increase our scientific impact to address the cancer health disparity needs in Orange County, California.",2021-09-23T12:09:00Z,2025-08-31T12:08:00Z,PAR-18-911,nofo_PAR-18-911,UNIVERSITY OF CALIFORNIA-IRVINE,IRVINE,CA,UNITED STATES,pache
P20CA253255,2/2 Cherokee Nation/OSU and SCC Collaborative Partnership for Cancer Research,"Abstract A serious shortage of scientists conducting AI cancer disparities research persists, which may have contributed to cancer disparities affecting tribal nations. Cherokee Nation and the Stephenson Cancer Center have partnered to build tribal cancer research capacity through a previous “Partnerships to Advance Cancer Health Equity (PACHE)” P20 planning grant. However, it was recognized that further expansion and sustainability of Cherokee Nation's cancer research workforce requires increased access to an academic ally with a large number of AI students entering scientific fields. Oklahoma State University fulfills this need, as one of the nation's leading universities for AI students and Early Stage Investigators (ESIs). The overall mission of the proposed Cherokee Nation/Oklahoma State University (OSU) and Stephenson Cancer Center (SCC) Collaborative for Cancer Research is to develop durable research capacity within the context of an American Indian (AI) tribal nation to address cancer disparities. To achieve this goal, the four Specific Aims of the Collaborative are: 1. to strengthen administrative infrastructure, including a joint Internal Advisory Committee that ensures integration of cancer research education and outreach and pilot research activities among Cherokee Nation, OSU, and the SCC; 2. to conduct innovative pilot research in tobacco use and cancer risk capable of seeding large-scale research projects performed by AI researchers within the Cherokee Nation setting; 3. to educate the next generation of cancer researchers to engage meaningfully with Cherokee Nation in the context of this research, focusing on ESIs, graduate, professional, and undergraduate students; and 4. to evaluate activities of the partnership, including monitoring progress of pilot research projects and the cancer research education program (C-REP). This evaluation will inform future, jointly executed efforts to reduce AI cancer disparities. The Collaborative provides a crucial opportunity to solidify the foundation for tribal capacity in cancer disparities research. The addition of OSU strengthens the Collaborative by its remarkable success in the education of AI ESIs and students in scientific fields. Moreover, Cherokee Nation and OSU have broken ground at Cherokee Nation on the first tribally affiliated medical school in the US. The Collaborative therefore provides an unprecedented environment in which a tribe, a university, and a research-intensive cancer center will work synergistically to reduce the unacceptable burden of cancer that continues to affect AI people.",2020-09-14T12:09:00Z,2024-08-31T12:08:00Z,PAR-18-911,nofo_PAR-18-911,CHEROKEE NATION,TAHLEQUAH,OK,UNITED STATES,pache
