type	resource_uuid	resource_source_id	resource_title	resource_short_description	resource_source_url	resource_tool_type	resource_tool_subtype	resource_research_area	resource_research_type	resource_access	resource_doc	resource_poc_email	resource_poc_name	resource_full_description
resource	7fa3feb2-80eb-5754-9c4d-99067d1a4dc5	r4r_0001	Enhancer Linking by Methylation/Expression Relationships (ELMER)	ELMER is a R tool for analysis of DNA methylation and expression datasets.	http://bioconductor.org/packages/release/bioc/html/ELMER.html	Analysis Tools	R Software	Cancer Omics	Basic	Open Access	Informatics Technology for Cancer Research (ITCR)			ELMER is a R tool for analysis of DNA methylation and expression datasets. Integrative analysis allows reconstruction of <em>in vivo</em> transcription factor networks altered in cancer, along with identification of the underlying gene regulatory sequences.
resource	f6b4323f-7325-54df-bf64-e5fa972572f3	r4r_0002	Next-Generation Clustered Heat Maps (NG-CHM)	NG-CHMs are interactive heat maps of multiple tumor types and multiple data types profiled by The Cancer Genome Atlas (TCGA) Project .	http://bioinformatics.mdanderson.org/TCGA/NGCHMPortal	Analysis Tools	Data Visualization	Cancer Omics	Basic	Open Access	Informatics Technology for Cancer Research (ITCR)			NG-CHMs are interactive heat maps of multiple tumor types and multiple data types profiled by TCGA. The NG-CHM tool enables users to zoom and pan across the heatmap, alter its color scheme, generate production-quality PDFs, and link out from rows, columns, and individual heatmap entries to related statistics, databases, and other information. The maps provide an exploratory environment invaluable for identifying cancer sub-types or investigating genes or pathways of interest.
resource	863d6bc4-2a20-5ac1-8cd5-d1d002f4ffa1	r4r_0003	The BioMedical Evidence Graph (BMEG)	The BMEG is a cancer data integration platform that utilizes methods collected from Dialogue for Reverse Engineering Assessments and Methods (DREAM) challenges and applied to large datasets, such as The Cancer Genome Atlas, and makes them available for analysis using a high performance graph database.	http://bmeg.io	Analysis Tools;Datasets and Databases	Biological Networks;Data Visualization	Cancer Biology;Cancer Omics	Basic	Open Access	Informatics Technology for Cancer Research (ITCR)			The BMEG is a cancer data integration platform that utilizes methods collected from DREAM challenges and applied to large datasets, such as The Cancer Genome Atlas, and makes them available for analysis using a high performance graph database. DREAM challenges are crowdsourcing challenges designed to evaluate model predictions and pathway inference algorithms in systems biology and medicine.
resource	8afb7ff9-0f22-5b1a-895d-7ddadf1784af	r4r_0004	Driver-gene Inference by Genetical-Genomics and Information Theory (DIGGIT)	DIGGIT is a bioconductor package for identifying genetic variants that lie upstream of master regulators and drive cellular phenotypes.	http://www.bioconductor.org/packages/release/bioc/html/diggit.html	Analysis Tools	Genomic Analysis;R Software	Cancer Biology;Cancer Omics;Cancer Treatment	Translational	Open Access	Center for Cancer Genomics (CCG)	ac2248@cumc.columbia.edu;af2202@cumc.columbia.edu	Andrea Califano;Aristidis Floratos	Genomic alterations that contribute to aberrant master regulator (MR) activity must be upstream of the MR, although the specific pathways involved may not be known. Master regulators are transcription factors that control the majority of genes differentially expressed between two molecular phenotypes. The DIGGIT package integrates patient-matched genomic mutation and gene expression data with corresponding gene regulatory networks to identify candidate driver mutations that are upstream of and directly perturb master regulators.
resource	6c37e8b9-8447-594c-9411-64e37ceac9cd	r4r_0005	Cancer Slide Digital Archive (CDSA)	The CDSA is a web-based platform to support the sharing, management, and analysis of digital pathology data.	http://cancer.digitalslidearchive.net	Analysis Tools;Datasets and Databases	Imaging;Imaging Analysis	Cancer Diagnosis	Basic;Translational	Open Access	Informatics Technology for Cancer Research (ITCR)			The CDSA is a web-based platform to support the sharing, management, and analysis of digital pathology data. Emory University currently hosts over 23,000 images from The Cancer Genome Atlas, and the software is being developed within the Informatics Technology for Cancer Research (ITCR) grant to be deployable as a digital pathology platform for other labs and cancer institutes.
resource	294f71be-3aff-51a9-a071-2804878105b3	r4r_0006	Cancer and Phenomics Toolkit (CaPTK)	CaPTk is a tool that facilitates translation of highly sophisticated methods that help researchers gain a comprehensive understanding of the underlying mechanisms of cancer from medical imaging research to the clinic.	http://captk.projects.nitrc.org	Analysis Tools	Imaging Analysis	Cancer Diagnosis;Screening and Detection	Translational	Open Access	Informatics Technology for Cancer Research (ITCR)			CaPTk is a tool that facilitates translation of highly sophisticated methods that help researchers gain a comprehensive understanding of the underlying mechanisms of cancer from medical imaging research to the clinic. It replicates basic interactive functionalities of radiological workstations and is distributed under a Berkeley Software Distribution (BSD)-style license.
resource	df46c5c6-1781-54ba-9789-aedc6a1f6dc4	r4r_0007	Cloud-based Image Biomarker Platform (C-BIBOP)	C-BIBOP is a cloud-based platform for medical imaging algorithm comparisons. C-BIBOP is used to conduct challenges and benchmarks and uses Docker containers to share algorithm.	http://cbibop.github.io	Analysis Tools;Datasets and Databases	Data Visualization;Imaging	Cancer Diagnosis;Screening and Detection	Translational	Open Access	Informatics Technology for Cancer Research (ITCR)			C-BIBOP is a cloud-based platform for medical imaging algorithm comparisons. C-BIBOP is used to conduct challenges and benchmarks and uses Docker containers to share algorithm.
resource	26ffde67-dfad-5868-bb8c-b4593af9ce24	r4r_0008	Cistrome	Cistrome has curated and processed human/mouse ChIP/DNase-seq datasets in Gene Expression Omnibus (GEO ), allowing users to search, browse, download ChIP-seq data signals, peaks, quality control, motifs, target genes and similar datasets.	http://cistrome.org/Cistrome/Cistrome_Project.html	Analysis Tools;Datasets and Databases	Genomic Analysis;Genomic Datasets	Cancer Biology;Cancer Omics	Basic	Open Access	Informatics Technology for Cancer Research (ITCR)			Cistrome has curated and processed human/mouse ChIP/DNase-seq datasets in GEO, allowing users to search, browse, download ChIP-seq data signals, peaks, quality control, motifs, target genes and similar datasets.
resource	f2846e98-8fc8-5a78-8c32-575de6bd4d23	r4r_0009	CLAMP-Cancer	CLAMP-Cancer is a tool that can be used to quickly build customized natural language processing pipelines for extracting cancer information from pathology reports through a user-friendly interface with minimum programming knowledge.	https://clamp.uth.edu/	Analysis Tools;Datasets and Databases	Clinical Data;Natural Language Processing	Bioinformatics;Cancer Diagnosis;Cancer Treatment	Translational	Open Access	Informatics Technology for Cancer Research (ITCR)			CLAMP-Cancer is a tool that can be used to quickly build customized natural language processing pipelines for extracting cancer information from pathology reports through user-friendly interface with minimum programming knowledge.
resource	1ad0893a-f3cb-5d39-ad11-4ebec0fe432c	r4r_0010	Apache Clinical Text and Knowledge Extraction System (cTAKES)	cTAKES extracts deep phenotypic information from the clinical narrative at the document, episode, and patient level.	http://ctakes.apache.org	Analysis Tools	Natural Language Processing	Cancer Diagnosis;Cancer Treatment	Translational	Open Access	Informatics Technology for Cancer Research (ITCR)			cTAKES extracts deep phenotypic information from the clinical narrative at the document, episode, and patient level. The final output is a Fast Healthcare Interoperability Resources (FHIR)-compliant, patient-level phenotypic summary which can be consumed by research warehouses or the DeepPhe native visualization tool.
