Resource ID	Resource Name	Field	Issue Type	Issue	New Link	Priority	Redirect Flag
r4r_0210	Common Terminology Criteria for Adverse Events (CTCAE)	website	Broken Link	General CTEP page instead of CTC	https://dctd.cancer.gov/research/ctep-trials/for-sites/adverse-events	2	
r4r_0224	Functional Annotation of Somatic Mutations in Cancer (FASMIC)	website	Broken Link	"Not found, redirected to main page"	https://bioinformatics.mdanderson.org/public-software/fasmic/	2	
r4r_0231	"Investigation of Serial Studies to Predict Your Therapeutic Response with Imaging and Molecular Analysis, I-SPY1"	website	Broken Link	Links to active ftp server not supported by modern browsers. Try GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse22226	2	
r4r_0233	NCI Brain Neoplasia Data	website	Broken Link	Links to active ftp server not supported by modern browsers. Try GEO	https://www.cancerimagingarchive.net/collection/rembrandt/	2	
r4r_0240	Investigational New Drug (IND) Regulatory and Manufacturing Resources	website	Broken Link	DCTD page not found	https://dctd.cancer.gov/drug-discovery-development/reagents-materials/imaging-ind-resources	2	
r4r_0245	RAS Pathway Gene Set	website	Broken Link	Redirects to general RAS page	https://frederick.cancer.gov/investigator-resources/data-repositories/ras-reagents-tools	2	
r4r_0247	Wild-Type and Mutant RAS Genes	website	Broken Link	Redirects to general RAS page	https://frederick.cancer.gov/investigator-resources/data-repositories/ras-reagents-tools	2	
r4r_0248	RAS-Dependent Mouse Cell Lines	website	Broken Link	Redirects to general RAS page	https://frederick.cancer.gov/investigator-resources/data-repositories/ras-reagents-tools#cell-line	2	
r4r_0249	Reagents for Producing Fully Processed KRAS Protein	website	Broken Link	Redirects to general RAS page	https://frederick.cancer.gov/investigator-resources/data-repositories/ras-reagents-tools	2	
r4r_0256	Human Cancer Models Initiative (HCMI) Case Report Forms (CRFs)	website	Broken Link	Redirects to CCG main page	https://www.cancer.gov/ccg/research/functional-genomics/hcmi/using-hcmi/case-report-forms	2	
r4r_0257	Human Cancer Models Initiative (HCMI) Informed Consent Template	website	Broken Link	Redirects to CCG main page	https://www.cancer.gov/ccg/research/functional-genomics/hcmi/using-hcmi	2	
r4r_0276	Data Science Training Hub	website	Broken Link	Redirects to CBIIT main page	https://www.cancer.gov/about-nci/organization/cbiit/training	2	
r4r_0023	The Cancer Proteome Atlas	entire record	Content	Keep this id. Consolidate r4r_0121 and r4r_0147. Check/rewrite all fields		2	
r4r_0073	Personalized Cancer Therapy	entire record	Content	"Keep this id. Consolidate cbiit_catalog_0011. Check/rewrite fields, use longer description."		2	
r4r_0080	"Surveillance, Epidemiology, and End Results (SEER) Research Data"	POC email	Content	Likely wrong POC. Change to cronink@mail.nih.gov		2	
r4r_0082	Health Drivers Calculator (HD*Calc)	description	Content	Escaped asterisk is causing italic display on frontend		2	
r4r_0051	Bayesian Phase II Single Arm Clinical Trials	title	Content	Deduplicate title: Bayesian Phase II Single Arm Clinical Trials - Time to Event Outcomes Calculator		1	
r4r_0052	Bayesian Phase II Single Arm Clinical Trials	title	Content	Deduplicate title: Bayesian Phase II Single Arm Clinical Trials - Binary Outcomes Calculator		1	
r4r_0170	Age Period Cohort Analysis Web Tool	access	Content	List as Open Access		1	
r4r_0208	"Surveillance, Epidemiology and End Results (SEER)-Medicare Linked Database"	access	Content	List Access as Requires Registration; List Research Type as Clinical; Epidemiologic		1	
cbiit_catalog_001	Biospecimen Research Database (BRD)	entire record	Remove	Remove this. Duplicate of r4r_0049		2	Update redirect
cbiit_catalog_011	Personalized Cancer Therapy	entire record	Remove	Remove this. Consolidate to r4r_0073		2	Update redirect
r4r_0026	Chernobyl Tissue Bank (CTB)	entire record	Remove	Remove this. Older duplicate of r4r_273		2	Update redirect
r4r_0121	The Cancer Proteome Atlas (TCPA)	entire record	Remove	Remove this. Consolidate to r4r_0023		2	Update redirect
r4r_0147	MD Anderson Cell Line Project (MCLP) Data Portal	entire record	Remove	Remove this. Consolidate to r4r_0023		2	Update redirect
r4r_0251	Pediatric Genomic Data Inventory (PGDI)	entire record	Remove	Redirects to CCG main page. Project retired		2	
r4r_0263	TREAT (TREe-based Association Test)	entire record	Remove	Remove this. Older duplicate of r4r_0270		2	Update redirect
r4r_0269	Thyroid Cancer Risk Assessment Tool (TCRAT)	entire record	Remove	Remove this. Older duplicate of r4r_0274		2	Update redirect
r4r_0130	Geographic Information Systems (GIS) and Science for Cancer Control	contact name	Typo	fix email: …nih.gov…		2	
r4r_0145	Head*Bang PC Software	short_description	Typo	nNon-parametric		2	
r4r_0024	The Cancer Imaging Archive (TCIA)	description	Typo	pathothogy		1	
r4r_0031	Patient-Derived Xenograft (PDX) Finder	description 	Typo	dessiminating		1	
r4r_0054	Cancer Intervention and Surveillance Modeling Network	short_description 	Typo	"Pluralize ""investigator"""		1	
r4r_0071	"Repository of Biologicals-Monoclonal Antibodies, Cytokines, and Biological Reagents"	short_description 	Typo	NCI-sponsered		1	
r4r_0085	Cancer Stat Fact Sheets (Stat Facts)	description	Typo	Extra space/period		1	
r4r_0098	NCI-60 Growth inhibition Data	title; description	Typo	Capitalize title; resouce (2x)		1	
r4r_0137	Therapeutically Applicable Research to Generate Effective Treatments (TARGET) Data Matrix	description 	Typo	Add a href to dbGaP link		1	
