dataset_title,description,dbGaP_phs,dbGaP_URL,PI_name,GPA,dataset_doc,dataset_pmid,funding_source,release_date,limitations_for_reuse,assay_method,study_type,primary_disease,participant_count,sample_count,study_links,related_genes,related_diseases,related_terms
A genotype-phenotype study of tumors from patients with inherited    mutations in DNA repair genes,This study investigated the genomic landscape of tumors from patients with inherited mutations in DNA repair genes. The aim of this study was to determine the relationship between locus-specific loss  of heterozygosity (LOH) and genomic signatures of homologous recombination-based DNA repair (HR) deficiency in tumors associated with pathogenic,phs003348.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003348,"Kara N. Maxwell, MD, PhD",Mariam Eljanne,Center for Cancer Training (CCT),37535879,,2024-08-28,GRU,WXS,Clinical Cohort;Cohort;Exome Sequencing;Individual-Level Genomic Data;Sequencing;Tumor vs. Matched-Normal,Neoplasms,39.0,39.0,,BRCA1;BRCA2;ATM;CHEK2;TP53;PALB2;BRIP1;RAD51C;RAD51D,Hereditary Breast and Ovarian Cancer Syndrome;Li Fraumeni Syndrome,"BRCA1- and BRCA2-associated hereditary breast and ovarian cancer; BRCA1- and BRCA2-associated hereditary breast and ovarian cancer (HBOC); Breast and ovarian cancer; Familial Breast and Ovarian Cancer Syndrome; Familial Breast/Ovarian Cancer (BRCA1, BRCA2); HBOC Syndrome"
The Somatic Mutational Landscape of Thyroid Cancer in Patients with    Germline PTEN Mutations,"PTEN hamartoma tumor syndrome (PHTS) is associated with a high rate of thyroid cancer and benign thyroid disease, yet nothing is known of the genomic landscape of PHTS-associated thyroid tumors.  In this study, exome sequencing was performed on 58 thyroid tumors (28 cancers, 30 benign nodules) from 19 patients with PHTS, sequenced in",phs003640.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003640,"Charis Eng, MD PhD",Freddie Pruitt,Center for Cancer Genomics (CCG),"No PMID: The Genomic Landscape of Benign and Malignant Thyroid Tumors from Individuals Carrying Germline PTEN Variants is Distinct from Sporadic Thyroid Cancers | Plitt G., Brewer T., Yehia L., Rabinowitz
  L., Griffith C.C., Eng C.",Crile Fellowship at the Cleveland Clinic Genomic Medicine Institute;Ambrose Monell Foundation Cancer Genomic Medicine Fellowship,2024-08-26,DS-CWDN;DS-CWDN-COL-NPU,WXS;Seq_DNA_SNP_MAF_Sum,Case-Control;Exome Sequencing,"Hamartoma Syndrome, Multiple",16.0,68.0,,PTEN;BRAF;BRCA2;RB1;TSHR,Thyroid Neoplasms,BANNAYAN-RILEY-RUVALCABA SYNDROME; BANNAYAN-ZONANA SYNDROME; BBRS; BZS; CD; CS
Molecular Analysis of Alliance A031201 Study,This is the first study examining the relationship between clonal hematopoiesis and clinical outcomes in prostate cancer patients. We used a targeted gene sequencing panel to identify patients in the  A031201 clinical trial with and without clonal hematopoiesis. We found that clonal hematopoiesis did not affect overall or progression free survival,phs003717.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003717,"Catherine C. Coombs, MD",Grace Mishkin,Division of Cancer Treatment and Diagnosis (DCTD),36996380,P30CA008748;U10CA180821;U10CA180882;U24CA196171;UG1CA233253;UG1CA233290;UG1CA233180;UG1CA233339;UG1CA233373,2024-08-23,DS-PC,Targeted-Capture,Case Set,Prostatic Neoplasms,957.0,957.0,,DNMT3A;TET2;ASXL1;PPM1D;TP53;CHEK2;SRSF2;SF3B1;JAK2,,"NGP - New growth of prostate; Neoplasm of Prostate; Neoplasm of the Prostate; Neoplasm, Prostate; Neoplasm, Prostatic; Neoplasms, Prostate"
"Botensilimab, an Fc-enhanced Anti-CTLA-4 Antibody, is Effective Against    Tumors Poorly Responsive to Conventional Immunotherapy",This study explores the genomic landscape associated with a novel Fc-engineered anti-CTLA-4 antibody (botensilimab) in advanced solid tumors. We seek to understand if enhancing the Fc-region affinity of anti-CTLA-4 antibodies  can improve anti-tumor efficacy and expand clinical benefit to tumors poorly responsive to conventional immunotherapy. As part of an ongoing,phs003704.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003704,"Dhan Chand, PhD",Joseph Flores-Toro,Office of Data Sharing (ODS),39083809,,2024-08-23,GRU-NPU,RNA-Seq,Clinical Trial;Genotype/Expression;Individual-Level Genomic Data;RNA Sequencing;Tumor,Immunotherapy,70.0,95.0,,CCL5;CD27;CD274;CD276;CD8A;CMKLR1;CXCL10;CXCL9;CXCR6;HLA-DQA1;HLA-DRA;HLA-DRB1;HLA-E;IDO1;IFNG;LAG3;NKG7;PDCD1LG2;PSMB10;STAT1;TIGIT,Colorectal Neoplasms;Ovarian Neoplasms;Sarcoma;Melanoma;Renal Cell Carcinoma;Head and Neck Neoplasms,Sarcoma; CRC; Cancer of Large Bowel; Cancer of Large Intestine; Cancer of the Large Bowel; Cancer of the Large Intestine
Somatic Mutations in Individual Skin Cells,"Ultraviolet (UV) radiation is the primary cause of melanoma through the acquisition of driver mutations in melanocytes. It also plays a significant role in oncogenesis in other skin cells, such  as keratinocytes. However, the mutational profiles vary widely among different skin cancers, and the early mutational processes in different cell",phs003683.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003683,"A. Hunter Shain, PhD",Justin Benavidez,Division of Cancer Biology (DCB),,R01 CA265786;R01 AR080626;ME210014;Team Science Award;Dermatology Fellows Award;LEO Foundation Region Americas Award;Tracy and Guy Jaquier;P30CA082103;Greg and Anna Brown Family;IDP Professorship Award,2024-08-22,GRU,RNA-Seq;WXS,Cross-Sectional,"Carcinoma, Squamous Cell",16.0,347.0,,TP53;NOTCH1;NOTCH2;NOTCH3;PBRM1;KMT2D;FAT1;AJUBA;CHUK;BRAF;NRAS;RAC1;NF1;PTEN;RASA2;CDKN2A;RB1;ARID2;DDX3X,Melanoma;Melanocyte;Keratinocyte;Fibroblast;Skin Neoplasms,"Skin Neoplasms; Carcinoma, Epidermoid; Carcinoma, Planocellular; Carcinoma, Squamous; Carcinomas, Epidermoid; Carcinomas, Planocellular"
Chromothripsis in Small Cell Lung Carcinoma Associated with Carcinoid    Transformation,"Small cell lung carcinoma (SCLC) is typically associated with tobacco exposure and inactivation of RB1 and TP53 genes. We performed detailed clinicopathologic, genomic, and transcriptomic profiling of an atypical subset  of SCLC in never/light smokers that lacked RB1 and TP53 co-inactivation and found that most cases were associated with chromothripsis &#x02013;",phs003676.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003676,Charles Rudin;Natasha Rekhtman,Tamara Walton,Division of Cancer Treatment and Diagnosis (DCTD),,,2024-08-22,GRU,RNA-Seq;WGS,Case Set;Genotype;RNA Sequencing,"Carcinoma, Small Cell",12.0,29.0,,TP53;RB1,Chromothripsis;Carcinoid Tumor,Carcinoid Tumor; Chromothripsis; Carcinoid; Carcinoid tumor (disease); Carcinoid tumors; Carcinoid tumour
Genomic and Transcriptomic Sequencing of CAR-T-Treated Patients,"Chimeric Antigen Receptor (CAR)-T cell therapy has revolutionized the treatment of hematologic malignancies. Approximately half of patients with refractory large B-cell lymphomas achieve durable responses from CD19-targeting CAR-T treatment; however,  failure mechanisms are identified in only a fraction of cases. Here we use next-generation sequencing technologies to characterize the genomic and",phs002922.v2.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002922,"Marcela Maus, PhD;Catherine J. Wu, MD",,,,"IBM Research;Kite, A Gilead Company",2024-08-22,HMB,OTHER,Cohort,"Lymphoma, B-Cell",58.0,155.0,,,"Immunotherapy, Adoptive",
Evolving Cell States and Oncogenic Drivers during the Progression of    IDH-Mutant Gliomas,"The study aims to understand the changes in cell states during the progression of IDH mutant gliomas. We generated scATAC-seq data from tumor samples of patients with IDH mutant gliomas,  ranging from grade 2 to grade 4, including both IDH mutant oligodendroglioma and IDH mutant astrocytoma samples. Additionally, we have generated",phs003697.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003697,Bradley E. Bernstein,Justin Benavidez,Division of Cancer Biology (DCB),,,2024-08-15,GRU,RNA-Seq;ATAC-seq,Case-Cohort;Single Cell Analysis,Glioma,11.0,15.0,,,,Glial Cell Tumor; Glial Cell Tumors; Glial Neoplasm; Glial Tumor; Neoplasm of Neuroglia; Neoplasm of the Neuroglia
Lung Cancer Genetic Study Among Asian Never Smokers,"The Lung Cancer Genetic Study Among Asian Never Smokers includes data from four population-based studies conducted among Asian women: the Shanghai Women's Health Study (SWHS), the Hwasun Cancer Epidemiology Study  (HCES1 and HCES2), the Female Lung Cancer Consortium in Asia (FLCCA, including sFLCA), and the Guangzhou Lung Cancer Study (GLCS). Shanghai Women's",phs002366.v2.p2,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002366,"Qiuyin Cai, MD, PhD",,,,U01CA161045,2024-08-13,HMB-PUB-NPU;HMB-PUB;GRU-NPU;DS-LC,WXS;Seq_DNA_SNP_CNV;Array_SNP,Case-Control;Cohort,Lung Neoplasms,8310.0,8369.0,,,,Lung Tumor; Lung cancer; Lung neoplasm; Lung tumour; Neoplasm of Lung; Neoplasm of the Lung
"The Genetic Basis of Aggressive Prostate Cancer, The Role of Rare    Variation","In this study, we will apply a multi-staged approach to reveal genes harboring rare variants that are associated with aggressive PCa. Whole-exome sequencing (Aim 1a) of 2,774 aggressive cases and  2,776 non-aggressive cases of European ancestry will be conducted followed by rare variant analysis of single sites and gene burden testing to",phs001524.v3.p2,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001524,Christopher Haiman,,,32853339,"5R01CA196931-02;HHSN268201200008I, NIH contract ""High throughput genotyping for studying the genetic contributions to human disease"";HHSN26800080, NIH contract ""High throughput genotyping for studying the genetic contributions to human disease""",2024-08-12,DS-PC;HMB-PUB;DS-CA-NPU-GSO;DS-CA-PUB;GRU;DS-PC-NPU-MDS;MHNSI-MDS;NRUP;DS-PC-MDS;CADM,WXS;Targeted-Capture;Seq_DNA_SNP_CNV,Case Set,Prostatic Neoplasms,21789.0,21898.0,,,,"NGP - New growth of prostate; Neoplasm of Prostate; Neoplasm of the Prostate; Neoplasm, Prostate; Neoplasm, Prostatic; Neoplasms, Prostate"
APOLLO-OV: Applied Proteogenomics of High Grade Serous Ovarian Carcinoma,"APOLLO is a proteogenomic study seeking to describe the major genome, transcriptome, proteome and phosphoproteome alterations, subtypes, and molecular predictors of patient outcomes. This study includes 70 high grade serous  ovarian carcinoma tissues from the Gynecologic Cancer Center of Excellence",phs003488.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003488,"George L. Maxwell, MD",Sean Hanlon,Center for Strategic Scientific Initiatives (CSSI),38480868,"HU0001-16-2-0006, HU0001-
  19-2-0031, HU0001-20-2-0033,
  HU0001-21-2-0027, HU0001-18-2-0032",2024-08-09,GRU,,Tumor,Ovarian Neoplasms,70.0,70.0,https://www.nature.com/articles/s41698-024-00519-8,,,"Neoplasm of Ovary; Neoplasm of the Ovary; Neoplasm of the ovaries; Neoplasm, Ovarian; Neoplasm, Ovary; Neoplasms, Ovarian"
Genetic Analysis of Skin Cells,"Cutaneous squamous cell carcinoma (cSCC) is a form of skin cancer originating from keratinocytes in the skin. They have high mutation burdens, primarily driven by UV-radiation-induced DNA damage. The order  in which mutations undergo selection during the evolution of cSCC is not known. A subset of cSCCs grow out of benign neoplasms called actinic",phs003282.v2.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003282,A. Hunter Shain,,,38037084,,2024-08-09,GRU,RNA-Seq;Targeted-Capture,Aggregate Genomic Data;Copy Number Variation (CNV);Exome Sequencing;Methods Development;Transcriptome Analysis;Transcriptome Sequencing;Tumor vs. Matched-Normal,DNA Copy Number Variations,16.0,54.0,https://github.com/limin321/stmut,,"Sequence Analysis, RNA",Not Provided
Transfer Learning Associates CAFs with EMT and Inflammation in Tumor    Cells in Human Tumors and Organoid Co-Culture in Pancreatic Ductal    Adenocarcinoma,"This study examined the transcriptional changes induced by cancer associated fibroblasts (CAFs) in pancreatic ductal adenocarcinoma patient-derived tumor organoids. We hypothesized that cancer associated fibroblasts impacted tumor cell transcription to  promote tumorigenic behavior. Using patient-matched cells from 3 patients, we compared the transcriptional profiles of patient-derived organoids in",phs003563.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003563,Elana J. Fertig;Jacquelyn W. Zimmerman;Richard A. Burkhart;Elizabeth M. Jaffee,Tamara Walton,Division of Cancer Treatment and Diagnosis (DCTD),38587552,P01CA247886,2024-08-08,HMB-IRB-NPU,RNA-Seq,Cohort,Pancreatic Neoplasms,3.0,12.0,,VEGFA;ITGB1,Epithelial-Mesenchymal Transition;Inflammation,"Inflammation; Inflammatory Response, Innate; Innate Inflammatory Response; Innate Inflammatory Responses; Cancer of the pancreas; Neoplasia of the pancreas"
Phase II Study of Cryoablation and Post-Progression Immune Checkpoint    Inhibition in Metastatic Melanoma,"Percutaneous cryoablation guided by imaging is a well-established, minimally invasive treatment for oncological conditions. We posited that cryoablation could alter the immune microenvironment by directly influencing the tumor, potentially eliciting  an anti-tumor response in cases resistant to immune checkpoint inhibition (ICI). In this non-randomized phase II single-center study (NCT03290677),",phs003579.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003579,"Nir Hacohen, PhD",Grace Mishkin,Division of Cancer Treatment and Diagnosis (DCTD),32151777;31899108;31608067;30657859;30388456;25891173;20656228,U54CA224068,2024-08-05,DS-MSC-MDS,RNA-Seq,Case Set;Clinical Trial;Cohort;RNA Sequencing;Single Cell Analysis,Melanoma,15.0,20.0,,CMKLR1;GGH;IL10;MARCKS;MTHFD2;TXK,Immunotherapy;Cryosurgery,"Cancer of skin pigment cells; MM - malignant melanoma; Malignant Melanoma; Malignant Melanomas; Melanoma, Malignant; Melanomas"
Multi-Omic Profiling of Glioma Patient Tumors and Patient-Derived Model    Systems,"We have created a resource of transcriptomic (RNAseq), genomic (whole-exome seq), and lipidomic (untargeted shotgun) profiling data from over 175 molecularly diverse glioma tumors and derivative models in orthotopic mouse  xenografts and gliomasphere cultures from over 110 unique patient tumor lines. Provided in this dataset are matched bulk RNA and whole-exome",phs003286.v2.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003286,"David A. Nathanson, PhD",Ian Fingerman,Division of Cancer Biology (DCB),37236196,,2024-08-05,GRU-NPU,RNA-Seq;Seq_RNA_Expression;Seq_DNA_CNV_Segments;WXS,Exome Sequencing;Transcriptome Sequencing;Tumor vs. Matched-Normal;Xenograft,Glioblastoma,119.0,461.0,,CDKN2A;TP53,Ferroptosis;Lipidomics;Apoptosis;Glioma,"Astrocytoma, Grade IV; Astrocytomas, Grade IV; GBM; GBM (glioblastoma); Giant cell glioblastoma (histologic variant); Glioblastoma multiforme"
