type	dataset_uuid	dataset_source_repo	dataset_title	description	dataset_source_id	dataset_source_url	PI_name	GPA	dataset_doc	dataset_pmid	funding_source	release_date	limitations_for_reuse	assay_method	study_type	primary_disease	participant_count	sample_count	study_links	related_genes	related_diseases	related_terms
dataset	0e4eb3c6-994c-4a62-a071-061845d38797	dbGaP	A genotype-phenotype study of tumors from patients with inherited mutations in DNA repair genes	<p>This study investigated the genomic landscape of tumors from patients with inherited mutations in DNA repair genes. The aim of this study was to determine the relationship between locus-specific loss of heterozygosity (LOH) and genomic signatures of homologous recombination-based DNA repair (HR) deficiency in tumors associated with pathogenic germline variants in DNA repair genes. Cohorts of pathogenic germline variant (PGV) carriers with different cancer types were identified via a cancer genetics registry and clinical practice at Penn Medicine and through our collaborator network. Tumors were analyzed with next generation sequencing (whole exome and/or targeted panel sequencing) with or without transcriptomic analyses. </p><p>Sub-study #1 'Non-breast/ovarian tumors in germline BRCA1/2 carriers'. This study investigated primary non-breast/ovarian tumors that arise in individuals with <a href='https://www.ncbi.nlm.nih.gov/gene/672' target='_blank'>BRCA1</a>/<a href='https://www.ncbi.nlm.nih.gov/gene/675' target='_blank'>BRCA2</a> pathogenic germline variants (PGVs). Whole exome sequencing (WES) using Agilent All-Exon Kit v7 hybrid capture probes was performed on matched tumor and blood germline normal DNA on an Illumina HiSeq. Individual WES data from DNA samples from tumor and normal are available. </p><p>Sub-study #2: 'Breast tumors in germline CHEK2 carriers'. This study investigated primary breast tumors that arise in individuals with <a href='https://www.ncbi.nlm.nih.gov/gene/11200' target='_blank'>CHEK2</a> pathogenic germline variants (PGVs). Whole exome sequencing (WES) using Agilent All-Exon Kit v7 hybrid capture probes was performed on matched tumor and blood germline normal DNA on an Illumina HiSeq. Whole transcriptome RNAseq was performed on tumors. Individual WES data from DNA samples from tumor and normal and RNAseq data from tumor are available. </p><p>Sub-study #3: 'Breast tumors in germline TP53 carriers'. This study investigated primary breast tumors that arise in individuals with <a href='https://www.ncbi.nlm.nih.gov/gene/7157' target='_blank'>TP53</a> pathogenic germline variants (PGVs). Whole genome sequencing (WGS) and/or custom panel targeted sequencing was performed on matched tumor and blood germline normal DNA on an Illumina HiSeq. Whole transcriptome RNAseq was performed on tumors and normal breast tissue. Individual WGS or targeted data from DNA samples from tumor and normal and RNASeq data from tumor and normal are available. </p><p>Sub-study #4: 'Prostate tumors in germline DNA repair carriers'. This study investigated prostate tumors that arise in individuals with a variety of pathogenic germline variants (PGVs). Whole genome sequencing (WGS) and/or custom panel targeted sequencing was performed on matched tumor and blood germline normal DNA on an Illumina HiSeq. Whole transcriptome RNAseq was performed on tumors and normal prostate tissue. Individual WGS or targeted data from DNA samples from tumor and normal and RNASeq data from tumor and normal are available. </p>	phs003348	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003348	Kara N. Maxwell, MD, PhD	Mariam Eljanne	Center for Cancer Training (CCT)	37535879		8/28/2024	GRU	WXS	Clinical Cohort;Cohort;Exome Sequencing;Individual-Level Genomic Data;Sequencing;Tumor vs. Matched-Normal	Neoplasms	39.0	39.0		BRCA1;BRCA2;ATM;CHEK2;TP53;PALB2;BRIP1;RAD51C;RAD51D	Hereditary Breast and Ovarian Cancer Syndrome;Li Fraumeni Syndrome	BRCA1- and BRCA2-associated hereditary breast and ovarian cancer;BRCA1- and BRCA2-associated hereditary breast and ovarian cancer (HBOC);Breast and ovarian cancer;Familial Breast and Ovarian Cancer Syndrome;Familial Breast/Ovarian Cancer (BRCA1, BRCA2);HBOC Syndrome
dataset	b3bf1488-c079-4b5e-a37d-e3865b35c1c3	dbGaP	The Somatic Mutational Landscape of Thyroid Cancer in Patients with Germline PTEN Mutations	<p>PTEN hamartoma tumor syndrome (PHTS) is associated with a high rate of thyroid cancer and benign thyroid disease, yet nothing is known of the genomic landscape of PHTS-associated thyroid tumors. In this study, exome sequencing was performed on 58 thyroid tumors (28 cancers, 30 benign nodules) from 19 patients with PHTS, sequenced in tumor-normal pairs. Somatic variant calling was utilized to determine the somatic mutational landscape of thyroid tumors in this population. This was then compared to the known mutational landscape of sporadic thyroid cancer in the general population using sequencing data from The Cancer Genome Atlas. The primary finding of the study was that PHTS-associated thyroid tumors had a unique genomic landscape, including a high frequency of second-hit somatic PTEN alterations compared to the sporadic thyroid tumors. Additionally, PHTS-associated thyroid cancers were found to have somatic alterations in BRAF, RAS family members, and genes associated with DNA double stranded break repair. Data available through dbGAP will include tumor BAM files for each tumor, normal BAM files for each patient, and MAF files for PHTS-associated thyroid cancer and PHTS associated benign thyroid nodules.</p>	phs003640	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003640	Charis Eng, MD PhD	Freddie Pruitt	Center for Cancer Genomics (CCG)	No PMID: The Genomic Landscape of Benign and Malignant Thyroid Tumors from Individuals Carrying Germline PTEN Variants is Distinct from Sporadic Thyroid Cancers | Plitt G., Brewer T., Yehia L., Rabinowitz  L., Griffith C.C., Eng C.	Crile Fellowship at the Cleveland Clinic Genomic Medicine Institute;Ambrose Monell Foundation Cancer Genomic Medicine Fellowship	8/26/2024	DS-CWDN;DS-CWDN-COL-NPU	WXS;Seq_DNA_SNP_MAF_Sum	Case-Control;Exome Sequencing	Hamartoma Syndrome, Multiple	16.0	68.0		PTEN;BRAF;BRCA2;RB1;TSHR	Thyroid Neoplasms	BANNAYAN-RILEY-RUVALCABA SYNDROME;BANNAYAN-ZONANA SYNDROME;BBRS;BZS;CD;CS
dataset	6aa04af2-3e79-41dd-acd1-03676f6aeeb4	dbGaP	Molecular Analysis of Alliance A031201 Study	<p>This is the first study examining the relationship between clonal hematopoiesis and clinical outcomes in prostate cancer patients. We used a targeted gene sequencing panel to identify patients in the A031201 clinical trial with and without clonal hematopoiesis. We found that clonal hematopoiesis did not affect overall or progression free survival in A031201 but was associated more adverse cardiac events.</p>	phs003717	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003717	Catherine C. Coombs, MD	Grace Mishkin	Division of Cancer Treatment and Diagnosis (DCTD)	36996380	P30CA008748;U10CA180821;U10CA180882;U24CA196171;UG1CA233253;UG1CA233290;UG1CA233180;UG1CA233339;UG1CA233373	8/23/2024	DS-PC	Targeted-Capture	Case Set	Prostatic Neoplasms	957.0	957.0		DNMT3A;TET2;ASXL1;PPM1D;TP53;CHEK2;SRSF2;SF3B1;JAK2		NGP - New growth of prostate;Neoplasm of Prostate;Neoplasm of the Prostate;Neoplasm, Prostate;Neoplasm, Prostatic;Neoplasms, Prostate
dataset	7315f87e-2a66-4982-ab34-68d8bc07b92b	dbGaP	Botensilimab, an Fc-enhanced Anti-CTLA-4 Antibody, is Effective Against Tumors Poorly Responsive to Conventional Immunotherapy	<p>This study explores the genomic landscape associated with a novel Fc-engineered anti-CTLA-4 antibody (botensilimab) in advanced solid tumors. We seek to understand if enhancing the Fc-region affinity of anti-CTLA-4 antibodies can improve anti-tumor efficacy and expand clinical benefit to tumors poorly responsive to conventional immunotherapy. As part of an ongoing open-label, Phase 1, multicenter study, we conducted an exploratory sub-analysis of genomics data. The primary study evaluates the safety, tolerability, pharmacokinetics, and pharmacodynamics of botensilimab monotherapy and in combination with an anti-PD-1 antibody (balstilimab) in participants with advanced solid tumors. RNA from formalin-fixed paraffin-embedded (FFPE) tumor biopsies and matched normal blood samples were isolated and subjected to RNA-sequencing using the Personalis ImmunoID NeXT Platform. We demonstrated that anti-CTLA-4 engineered for enhanced Fc&#947;R affinity leverages Fc&#947;R-dependent mechanisms to potentiate T cell responsiveness, reduce intratumoral Tregs, and enhance antigen presenting cell activation. This genomic analysis contributes to our understanding of the molecular mechanisms underlying patient responses to Fc-engineered anti-CTLA-4 therapy and may inform future strategies to expand the clinical benefit of immune checkpoint blockade in cancer immunotherapy.</p>	phs003704	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003704	Dhan Chand, PhD	Joseph Flores-Toro	Office of Data Sharing (ODS)	39083809		8/23/2024	GRU-NPU	RNA-Seq	Clinical Trial;Genotype/Expression;Individual-Level Genomic Data;RNA Sequencing;Tumor	Immunotherapy	70.0	95.0		CCL5;CD27;CD274;CD276;CD8A;CMKLR1;CXCL10;CXCL9;CXCR6;HLA-DQA1;HLA-DRA;HLA-DRB1;HLA-E;IDO1;IFNG;LAG3;NKG7;PDCD1LG2;PSMB10;STAT1;TIGIT	Colorectal Neoplasms;Ovarian Neoplasms;Sarcoma;Melanoma;Renal Cell Carcinoma;Head and Neck Neoplasms	Sarcoma;CRC;Cancer of Large Bowel;Cancer of Large Intestine;Cancer of the Large Bowel;Cancer of the Large Intestine
dataset	ccb45ec7-14da-4027-bc57-a2c9b17d35b2	dbGaP	Somatic Mutations in Individual Skin Cells	<p>Ultraviolet (UV) radiation is the primary cause of melanoma through the acquisition of driver mutations in melanocytes. It also plays a significant role in oncogenesis in other skin cells, such as keratinocytes. However, the mutational profiles vary widely among different skin cancers, and the early mutational processes in different cell types from the same skin, is not well understood. Additionally, our preliminary studies also suggest that the mutation burden in different skin cells vary significantly based on risk factors such as the anatomical site and the use of tanning beds. To explore this, we employed innovative Next Generation Sequencing (NGS) tools to perform a site-matched comparison of the genomic landscapes of melanocytes, keratinocytes, and fibroblasts. From 20 biopsies of physiologically normal skin, collected from various anatomical sites across 16 donors, we have performed DNA-sequencing on 106 melanocytes, 78 keratinocytes and 13 fibroblasts. Of these samples, we have also simultaneously performed RNA-sequencing on 78 melanocytes, 46 keratinocytes and 9 fibroblasts. For normal bulk DNA, we also performed targeted (UCSF500; n=9) or exome sequencing (n=8) of skin or saliva samples from the donors.</p>	phs003683	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003683	A. Hunter Shain, PhD	Justin Benavidez	Division of Cancer Biology (DCB)		R01 CA265786;R01 AR080626;ME210014;Team Science Award;Dermatology Fellows Award;LEO Foundation Region Americas Award;Tracy and Guy Jaquier;P30CA082103;Greg and Anna Brown Family;IDP Professorship Award	8/22/2024	GRU	RNA-Seq;WXS	Cross-Sectional	Carcinoma, Squamous Cell	16.0	347.0		TP53;NOTCH1;NOTCH2;NOTCH3;PBRM1;KMT2D;FAT1;AJUBA;CHUK;BRAF;NRAS;RAC1;NF1;PTEN;RASA2;CDKN2A;RB1;ARID2;DDX3X	Melanoma;Melanocyte;Keratinocyte;Fibroblast;Skin Neoplasms	Skin Neoplasms;Carcinoma, Epidermoid;Carcinoma, Planocellular;Carcinoma, Squamous;Carcinomas, Epidermoid;Carcinomas, Planocellular
dataset	c9441611-3c61-44ba-9354-8af0410d48a3	dbGaP	Chromothripsis in Small Cell Lung Carcinoma Associated with Carcinoid Transformation	<p>Small cell lung carcinoma (SCLC) is typically associated with tobacco exposure and inactivation of <a href='https://www.ncbi.nlm.nih.gov/gene/5925' target='_blank'>RB1</a> and <a href='https://www.ncbi.nlm.nih.gov/gene/7157' target='_blank'>TP53</a> genes. We performed detailed clinicopathologic, genomic, and transcriptomic profiling of an atypical subset of SCLC in never/light smokers that lacked RB1 and TP53 co-inactivation and found that most cases were associated with chromothripsis &#8211; massive, localized chromosome shattering, recurrently involving chromosomes 11 or 12, among other findings. Uniquely, these clinically aggressive tumors exhibited genomic and pathologic links to pulmonary carcinoids. Conversely, SCLC never smokers harboring inactivated RB1 and TP53 exhibited hallmarks of adenocarcinoma-to-SCLC derivation, supporting two distinct pathways of plasticity-mediated pathogenesis of SCLC in never smokers.</p>	phs003676	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003676	Charles Rudin;Natasha Rekhtman	Tamara Walton	Division of Cancer Treatment and Diagnosis (DCTD)			8/22/2024	GRU	RNA-Seq;WGS	Case Set;Genotype;RNA Sequencing	Carcinoma, Small Cell	12.0	29.0		TP53;RB1	Chromothripsis;Carcinoid Tumor	Carcinoid Tumor;Chromothripsis;Carcinoid;Carcinoid tumor (disease);Carcinoid tumors;Carcinoid tumour
dataset	7bf1491c-90a3-40f1-bc80-8613712cfd95	dbGaP	Genomic and Transcriptomic Sequencing of CAR-T-Treated Patients	<p>Chimeric Antigen Receptor (CAR)-T cell therapy has revolutionized the treatment of hematologic malignancies. Approximately half of patients with refractory large B-cell lymphomas achieve durable responses from CD19-targeting CAR-T treatment; however, failure mechanisms are identified in only a fraction of cases. Here we use next-generation sequencing technologies to characterize the genomic and transcriptomic features of CAR-T cells and tumors that influence therapeutic responses. Please see our submission to NCBI GEO (<a href='https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE273170' target='_blank'>GSE273170</a>) for additional data. </p>	phs002922	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002922	Marcela Maus, PhD;Catherine J. Wu, MD				IBM Research;Kite, A Gilead Company	8/22/2024	HMB	OTHER	Cohort	Lymphoma, B-Cell	58.0	155.0			Immunotherapy, Adoptive	
dataset	8500805e-f28c-4cfa-9c2d-1d2ed4c774f2	dbGaP	Evolving Cell States and Oncogenic Drivers during the Progression of IDH-Mutant Gliomas	<p>The study aims to understand the changes in cell states during the progression of <a href='https://www.ncbi.nlm.nih.gov/gene/3417' target='_blank'>IDH</a> mutant gliomas. We generated scATAC-seq data from tumor samples of patients with IDH mutant gliomas, ranging from grade 2 to grade 4, including both IDH mutant oligodendroglioma and IDH mutant astrocytoma samples. Additionally, we have generated scRNA-seq data from patient-derived organoids that were treated with a <a href='https://www.ncbi.nlm.nih.gov/gene/1786' target='_blank'>DNMT1</a> inhibitor.</p>	phs003697	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003697	Bradley E. Bernstein	Justin Benavidez	Division of Cancer Biology (DCB)			8/15/2024	GRU	RNA-Seq;ATAC-seq	Case-Cohort;Single Cell Analysis	Glioma	11.0	15.0				Glial Cell Tumor;Glial Cell Tumors;Glial Neoplasm;Glial Tumor;Neoplasm of Neuroglia;Neoplasm of the Neuroglia
dataset	a4749161-1a3a-4364-bb59-918eaabea060	dbGaP	Lung Cancer Genetic Study Among Asian Never Smokers	<p><b>The Lung Cancer Genetic Study Among Asian Never Smokers</b> includes data from four population-based studies conducted among Asian women: the Shanghai Women's Health Study (SWHS), the Hwasun Cancer Epidemiology Study (HCES1 and HCES2), the Female Lung Cancer Consortium in Asia (FLCCA, including sFLCA), and the Guangzhou Lung Cancer Study (GLCS).</p><p> </p><div> </div><div> <b>Shanghai Women's Health Study (SWHS)</b>: The SWHS is a population-based prospective cohort study of approximately 75,000 adult women who were recruited between 1997 and 2000. The cohort has been followed by a combination of record linkage and active follow-ups. Lung cancer patients identified in the SWHS and non-cases were included in the current study.</div><div><b><br></b></div><div><b>Hwasun Cancer Epidemiology Study-Lung Cancer (HCES1 and HCES2)</b>: The HCES is a hospital-based case-control study whose goal is to identify factors of the cancer development and clinical progression in a Korean population. Included in this project were 299 female lung cancer cases from HCES2, who were diagnosed between April 2004 and February 2013 at Chonnam National University Hwasun Hospital, a cancer specified hospital in Jeollanam-do province, South Korea. Controls were randomly selected from women with no previous cancer diagnosis at enrollment in the Namwon Study and the Dong-gu study, ongoing community-based cohort studies in South Korea. A total of 1,103 controls (273 from HCES1 and 830 from HCES2) were genotyped by MEGA.</div><br><div> <b>Guangzhou Lung Cancer Study (GLCS)</b>: The GLCS is a case-control study including never-smoking women lung cancer cases and controls from Guangzhou, China.</div><br><div>In this study, the DNA samples of 1,195 subjects from SWHS and GLCS were genotyped using whole exome sequencing (WES), and the DNA samples of 7,174 subjects from SWHS, HCES1, HCES2, FLCCA, and sFLCA were genotyped using the Multi-Ethnic Global Array (MEGA).</div><div> </div><div> </div><div> </div><div> </div><p></p>	phs002366	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002366	Qiuyin Cai, MD, PhD				U01CA161045	8/13/2024	HMB-PUB-NPU;HMB-PUB;GRU-NPU;DS-LC	WXS;Seq_DNA_SNP_CNV;Array_SNP	Case-Control;Cohort	Lung Neoplasms	8310.0	8369.0				Lung Tumor;Lung cancer;Lung neoplasm;Lung tumour;Neoplasm of Lung;Neoplasm of the Lung
dataset	8d471a14-66f3-4078-8095-a36e0ad0514a	dbGaP	The Genetic Basis of Aggressive Prostate Cancer, The Role of Rare Variation	<p>In this study, we will apply a multi-staged approach to reveal genes harboring rare variants that are associated with aggressive PCa. Whole-exome sequencing (Aim 1a) of 2,774 aggressive cases and 2,776 non-aggressive cases of European ancestry will be conducted followed by rare variant analysis of single sites and gene burden testing to identify novel susceptibility loci/genes for aggressive disease. We will validate the most significantly associated genes (~500) through targeted sequencing in an additional 6,415 aggressive and 5,586 non-aggressive cases and 1,890 controls (Aim 1b). Next, we will investigate the clinical predictive utility of the genes/variants identified in 2,291 cases in the STHM3 trial who are undergoing biopsy based on PSA and genetic risk score stratification (Aim 2). Through this tiered approach we expect to significantly advance knowledge of aggressive PCa etiology and health disparities as well as guide the development of early detection and prognostic strategies for the subset of men who are most susceptible to this fatal form of disease. In this case-case study of aggressive vs non aggressive prostate cancer, aggressive cases are defined as prostate cancer as cause of death, (T4 disease or T3 disease) and Gleason 8+. Non-aggressive cases are men with T1/2 disease and Gleason <=6. In Aim 2, a clinically important disease is defined as a case with Gleason 7+. Clinically non-important disease is defined as Gleason <=6.</p> <p><b>ACKNOWLEDGMENTS and CONTRIBUTING SITES </b><br></p><ul><li>CAPS, PROCAP, STHM1, STHM2: Swedish Cancer Society (CAN 2016/818), Swedish Research Council (2014/2269).</li><li>STHM3: Stockholm County Council (Stockholms L&#228;ns Landsting).</li><li>MEC: Funding provided by the National Cancer Institute: Understanding Ethnic Differences in Cancer, 2U01CA164973 and The Genetic Basis of Aggressive Prostate Cancer, The Role of Rare Variation, 5R01CA196931-02.<br></li><li>ATBC: The ATBC Study is supported by the Intramural Research Program of the U.S. National Cancer Institute, National Institutes of Health, and by U.S. Public Health Service contract HHSN261201500005C from the National Cancer Institute, Department of Health and Human Services.<br></li><li>COSM: The Swedish Research Council/National Research Infrastructure Grant (VR 2014/6397; VR 2015/5997) The Swedish Cancer Foundation (CAN 2013/456; CAN 2016/727)<br></li><li>CPSII: The authors express sincere appreciation to all Cancer Prevention Study II participants and to each member of the study and biospecimen management group. The American Cancer Society funds the creation, maintenance, and updating of the Cancer Prevention Study-II cohort.<br></li><li>MCCS/APCS/PCFS: The Melbourne Collaborative Cohort Study (MCCS) recruitment was funded by VicHealth and Cancer Council Victoria and further supported by Australian National Health and Medical Research Council (NHMRC) grants 209057 and 396414. The Aggressive Prostate Cancer Case-Control Study (APCS) was funded by NHMRC grant 623204. The Prostate Cancer Family Study (PCFS) was fully funded by Cancer Council Victoria. Cancer Council Victoria funds the continuing maintenance and updating of the MCCS, APCS and PCFS. Cases and their vital status are ascertained and followed up through the Victorian Cancer Registry and the Australian Institute of Health and Welfare, including the National Death Index and the Australian Cancer Database.<br></li><li>PLCO: The Prostate Lung Colorectal Ovarian Cancer Screening Trial (PLCO) was supported by the Intramural Research Program of the Division of Cancer Epidemiology and Genetics and by contracts from the Division of Cancer Prevention, National Cancer Institute, US National Institutes of Health, Department of Health and Human Services. <br></li><li>EPIC: The coordination of EPIC is financially supported by International Agency for Research on Cancer (IARC) and also by the Department of Epidemiology and Biostatistics, School of Public Health, Imperial College London which has additional infrastructure support provided by the NIHR Imperial Biomedical Research Centre (BRC). <br></li><li>The national cohorts are supported by: Danish Cancer Society (Denmark); Ligue Contre le Cancer, Institut Gustave Roussy, Mutuelle Ge&#769;ne&#769;rale de l'Education Nationale, Institut National de la Sante&#769; et de la Recherche Me&#769;dicale (INSERM) (France); German Cancer Aid, German Cancer Research Center (DKFZ), German Institute of Human Nutrition Potsdam- Rehbruecke (DIfE), Federal Ministry of Education and Research (BMBF) (Germany); Associazione Italiana per la Ricerca sul Cancro-AIRC-Italy, Compagnia di SanPaolo and National Research Council (Italy); Dutch Ministry of Public Health, Welfare and Sports (VWS), Netherlands Cancer Registry (NKR), LK Research Funds, Dutch Prevention Funds, Dutch ZON (Zorg Onderzoek Nederland), World Cancer Research Fund (WCRF), Statistics Netherlands (The Netherlands); Health Research Fund (FIS) - Instituto de Salud Carlos III (ISCIII), Regional Governments of Andaluci&#769;a, Asturias, Basque Country, Murcia and Navarra, and the Catalan Institute of Oncology - ICO (Spain); Swedish Cancer Society, Swedish Research Council and County Councils of Ska&#778;ne and Va&#776;sterbotten (Sweden); Cancer Research UK (14136 to EPIC-Norfolk; C8221/A19170 and C8221/A29017 to EPIC-Oxford), Medical Research Council (1000143 to EPIC-Norfolk; MR/M012190/1 to EPIC-Oxford). (United Kingdom). </li><li>DFCI: Linda and Arthur Gelb and Rebecca and Nathan Milikowsky. </li><li>HPFS and PHS: The Health Professionals Follow-up Study was supported by U01 167552 and P01 CA228696 from the National Cancer Institute, and with support from the Prostate Cancer Foundation. The Physicians' Health Study was supported by grants CA34944, CA40360, CA097193, HL26490 and HL34595.<br></li><li>Northwestern: P50CA180995 (Catalona) 08/01/15 &#8211; 07/31/20 NIH/NCI SPORE in Prostate Cancer; The Urological Research Foundation<br></li><li>PROMPT: MRC UK - Project reference G0500966, Cambridge BRC infrastructure funding, Cambridge Biomedical Research Campus (BRC-1215-20014), CRUK Cambridge Cancer Centre infrastructure funding (they are requesting this statement is written in blue for publications).<br></li><li>ICR: This work was supported by the NIH R01 grant 5R01CA196931-02. The samples from the UK were from UKGPCS and PrompT. The UKGPCS study was supported by Cancer Research UK (grant numbers C5047/A7357, C1287/A10118, C1287/A5260, C5047/A3354, C5047/A10692, C16913/A6135 and C16913/A6835). We would like to acknowledge the NCRN nurses and Consultants for their work in the UKGPCS study. We thank all the patients who took part in this study. We also acknowledge The Institute of Cancer Research, The National Cancer Research Network UK, The National Cancer Research Institute (NCRI) UK for their ongoing support. We are grateful for support of NIHR funding to the NIHR Biomedical Research Centre at The Institute of Cancer Research and The Royal Marsden NHS Foundation Trust.<br></li></ul><p><b>Funding</b>:<br></p><p>CIDR grant X01HG008336 </p>	phs001524	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001524	Christopher Haiman			32853339	5R01CA196931-02;HHSN268201200008I, NIH contract 'High throughput genotyping for studying the genetic contributions to human disease';HHSN26800080, NIH contract 'High throughput genotyping for studying the genetic contributions to human disease'	8/12/2024	DS-PC;HMB-PUB;DS-CA-NPU-GSO;DS-CA-PUB;GRU;DS-PC-NPU-MDS;MHNSI-MDS;NRUP;DS-PC-MDS;CADM	WXS;Targeted-Capture;Seq_DNA_SNP_CNV	Case Set	Prostatic Neoplasms	21789.0	21898.0				NGP - New growth of prostate;Neoplasm of Prostate;Neoplasm of the Prostate;Neoplasm, Prostate;Neoplasm, Prostatic;Neoplasms, Prostate
